seed_base,fold,model,task,cell,n,n_patients,n_folds,spearman,pearson,r2,mae,rmse,b0_rmse,rmse_gain_over_b0,target_variance,prediction_variance,prediction_target_variance_ratio
2026,0,G1,static,T0,69,69,1,0.7509316770186336,0.42639137069035754,0.16187985657691273,17.555001838582296,51.03933771824835,58.09880520752063,0.12150796327147986,3108.16297061886,617.1024814579121,0.19854251121685618
2026,0,G1,static,T1,69,69,1,0.6512239678480088,0.10089378411700031,-0.05648448861467781,17.515497379686447,58.79021125120733,59.15534805072164,0.006172506992964199,3271.4999379628057,263.69431907695946,0.08060349199980864
2026,0,G1,static,T2,69,69,1,0.4972963098282792,0.09186384698223372,-0.4729262401488097,15.341597459468865,55.7309625823483,47.178623111415305,-0.18127573267104682,2108.686847782217,1295.434050658482,0.614332114804499
2026,0,G1,static,T3,69,69,1,0.24702228717573987,0.41675634188159877,0.07500035536963279,2.6467458394222407,6.9157081369798945,7.58995725176126,0.08883437579637289,51.704905308370954,3.0341001558229275,0.05868108910996711
2026,0,G1,change,T0→T1,69,69,1,0.3575812933869201,0.22246549625075734,-0.02695306753628457,0.5186768565997859,0.6900330854594686,0.6885005845537826,-0.0022258527299279384,0.46364889894239597,0.09206844324514298,0.19857362641247556
2026,0,G1,change,T1→T2,69,69,1,0.3091340884179759,0.29251716361252966,0.08458036630531773,0.9122860963234539,1.1546945933789048,1.2080237080390086,0.044145751697765315,1.456511915302849,0.10098838761360049,0.06933577854912516
2026,0,G1,change,T2→T3,69,69,1,0.24033613445378155,0.33856538338014924,0.10177169626934968,0.9122520464197148,1.1764342684531106,1.2431813954936295,0.05369057748327679,1.540808258037059,0.24974516813859868,0.16208711683358065
2026,1,G1,static,T0,67,67,1,0.722124670763828,0.7924861206371183,0.5069284566817218,11.032668837183031,19.250818893512232,28.118717433721507,0.3153735073838896,751.6029531470826,189.88423068312264,0.2526390162359618
2026,1,G1,static,T1,67,67,1,0.6670524383430442,0.5516750875914034,0.20978763295731206,6.371636923137836,12.582295492545832,14.697400535509962,0.14391014505278577,200.34381447890817,28.61226353208517,0.1428158069491954
2026,1,G1,static,T2,67,67,1,0.672519754170325,0.6229484669889668,0.36824753987473724,3.2313584041622665,6.296107197781865,8.25213733479715,0.23703315367367997,62.74762402682321,16.71047057530449,0.26631240360847985
