seed_base,fold,effective_seed,model,selected_epoch,selection_mode,val_state_loss,val_ftv_loss,representation_std,lambda_ftv,selected_scalars_finite,checkpoint_tensors_finite,checkpoint_tensor_count,feature_finite,no_collapse,architecture_contract_verified,test_data_used,checkpoint_sha256,feature_sha256,shared_initialization_sha256,paired_baseline,base_degradation_fraction,base_pass
3026,0,3026,G3,3,primary,0.08515116763262709,0.13212897571719298,0.6600756645202637,0.25,True,True,491,True,True,True,False,1e4b2039bfe0894ce18facfd84b609776a7c4b199c70ad2d5d18fb02e52e9218,ce12318e38b1e85d26045b61d50f03a2db7d3d230b330b796bfa98023b8da633,f993c4dbafc97303573892fea4c9b6d581f11f4e965996e021dfd8a9c1cfbdbc,G1,0.03359474854079419,True
3026,1,3027,G3,2,primary,0.1141440663948532,0.14992409685383673,0.5468807816505432,0.25,True,True,491,True,True,True,False,1493b9e72b6d074aadaa8e9906dfe2ce01727db4cf342092dd5d1448e19ac19f,e4b6b8d311fbf6691c9c579891cbbf7cd0e30f1db6ad10a4f15202a49046fa2c,9b234ede4fdaad5eea744c53eb1df95d72774e51a2d05111eac6ff8d22c2ce9a,G1,0.01852378510188273,True
3026,2,3028,G3,3,primary,0.12145182385671237,0.15026736316772607,0.6367073059082031,0.25,True,True,491,True,True,True,False,b058efe7ddb8fcc25bf5323d9118dbd5de83c8c2d0d8017c8c35ca2dca860444,f3205f516273c0b93415e31227cf632085a094bfa316e4e5801edcc4c4b97b59,02ca4d12fa2161da3432873a478dd16a953914764515fdc5a42d574b2422fd09,G1,0.01414303318955151,True
3026,3,3029,G3,2,fallback_base_gate_failed,0.056480331361786394,0.11350099510345303,0.1794731765985489,0.25,True,True,491,True,True,True,False,b68b94138b9d182071eebea7ea57b40fb23d163f8cbd957536d2bbc1b88491b6,4eead33902f6f5bb825e09d84ed233e2f789d4967c4ff1fa3a95afbc358589de,55af9c832f4a581ef8bd6d4c1e968b372c09d181486851a67c929572bab0ef50,G1,0.1806212022682326,False
3026,4,3030,G3,3,primary,0.09744780960161824,0.17144779951283426,0.5603751540184021,0.25,True,True,491,True,True,True,False,bef4ad3c15cd227bad8aebe2bc48c6fa5f0681225e725c44dd0b90e65b9335ca,dcf171725bc5dc960c25e2fa0494164f2c61c1dd1aea641f3f1760a952a95602,a443c81052e7d609e22c94c8c16912a4bab15eeaa76fa8f1cca7e82a3d2f495c,G1,-0.008130606681864936,True
4026,0,4026,G1,3,primary,0.0933449785571453,0.0,0.5918132662773132,0.0,True,True,481,True,True,True,False,234876e7469bb58cad0896889cfb3373adbc5581f73e9c97f2639f42381d8999,134ef1e70b9f334975a508225db0abc6143376fa9f0c5a4ffd1bd673a82da219,8b681305721b96ceaa5e746c34df2c0a763ad2c9f7afa69b99e51641acba57eb,,,
4026,1,4027,G1,3,primary,0.08262574531076368,0.0,0.5771510004997253,0.0,True,True,481,True,True,True,False,5edce5d2ec9b99ce7a3afbc61a29128318e56d59b7fc1570cb0014aed88e8b4b,da9245f33e0a772f0f04f65049366674f48ae522a989c8cad133bd0273daf398,1b968a6fe0928e1ff03e5b508529d4f76206303bc03fed205e61005e5592a8f6,,,
4026,2,4028,G1,2,primary,0.08004519374163682,0.0,0.24196402728557587,0.0,True,True,481,True,True,True,False,4bff290d9fb2a9c8b2f59d0398dfece83d4c0fbd24647072fa16e95da9fe328d,56d0ad70ec8de4d8575d2e9dc554d07bbba3121dbefff300051d6f4f16669ca9,d8204558ee3c046180eb79b32c7defb1ce0b67549de53b86fbf3d46ae0a9a39a,,,
4026,3,4029,G1,2,primary,0.07225776993292422,0.0,0.28728798031806946,0.0,True,True,481,True,True,True,False,7c8e0458a99f21889058e52b6aa4b7ddb7a8d240a67108e1ea11e62e42c3c185,af866e63f0c05a2a06a2f9c1ab09bdd12b63af615ca88d5420cc3d420423ad0a,f9c030a3bbf5e14df4ee86c57925afd426dada1eab31dc130d95f03d9a9ec284,,,
4026,4,4030,G1,3,primary,0.07951895818730031,0.0,0.6481199860572815,0.0,True,True,481,True,True,True,False,8896b541587f919250e2ae9f93bc0271d319a58b983494b6987f68fcc0e7daaf,7c4d23e324a2268580ad8fcb0d482e8041e30d158f5f25927dba6c9e0ba5e903,c73906a49387774c2ef66394154451196046d69c1deed6bc66bcd13cd311ef1f,,,
4026,0,4026,G3,3,primary,0.09798956853299101,0.15219270349559139,0.5820637345314026,0.25,True,True,491,True,True,True,False,059c924a192eab6f50820f2989f802719b50a5a8129bc46d2639fe440c78215b,848d5bee83fa55fb28a40a2fbeb7e165428222d9bf634b844a1515458379c979,8b681305721b96ceaa5e746c34df2c0a763ad2c9f7afa69b99e51641acba57eb,G1,0.049757255801417544,True
4026,1,4027,G3,3,primary,0.08440526433227476,0.14201350250969763,0.5498549938201904,0.25,True,True,491,True,True,True,False,e35e63f5256316a330433b134861876d882ba8b2406932173d11ba78cbec3d44,6ef41754190e8052ca5ce7b06b7795276192d5adade99813a70d50695c17f225,1b968a6fe0928e1ff03e5b508529d4f76206303bc03fed205e61005e5592a8f6,G1,0.02153710099458866,True
4026,2,4028,G3,2,primary,0.08274820059045288,0.12402809067414357,0.26739051938056946,0.25,True,True,491,True,True,True,False,9ded31108df3f3fa9df2ac2e68915cb543f39fc931b3631902adae16b6cad3f5,fe3d1634e5734e0abedf80e4caf02e535b4f8df3d23e88b5c21874fb0ee39250,d8204558ee3c046180eb79b32c7defb1ce0b67549de53b86fbf3d46ae0a9a39a,G1,0.03376850904428556,True
4026,3,4029,G3,2,primary,0.0734020333029022,0.15609172475142558,0.30617034435272217,0.25,True,True,491,True,True,True,False,472d2bf1bbc7db114aa4a2a1524de4abc7782161d539280614681a18d25e2aed,da5e7d82d3a225f5597a2ac5f9e7c87ac73398118cddac3203cceb9ffb01a7af,f9c030a3bbf5e14df4ee86c57925afd426dada1eab31dc130d95f03d9a9ec284,G1,0.01583585226945384,True
4026,4,4030,G3,3,primary,0.08188378004249462,0.15134344724091617,0.6539222598075867,0.25,True,True,491,True,True,True,False,30be1dbf094ad9f5b94d3892160362ec6ba9f54618d617559374be12d34862b9,7b9576db8c1f81bde654ceb560e79bd49b725212c6de0b7b345d09829aa4bf2c,c73906a49387774c2ef66394154451196046d69c1deed6bc66bcd13cd311ef1f,G1,0.029739095042268605,True
5026,0,5026,G1,2,primary,0.051686144903425345,0.0,0.11776179075241089,0.0,True,True,481,True,True,True,False,3cffbfab5a7088976e149a4e3400538514b8788f78eb8d820de79f41a5532380,568b7359736b41ec805e44f31755d68a9fc56f696dc116c00835671e01c0d1ba,08c8806681ed205a2e71ebe9f44d0ca3b5ec034cbbe01b8a7d32d4d2725e552e,,,
5026,1,5027,G1,2,primary,0.08312595026059584,0.0,0.20858730375766754,0.0,True,True,481,True,True,True,False,bfb98bc8d7d69ff5b5485d1eb4e1edd0280f33abcac0139dd65f87c6e38554f2,69cf22dbc79f2905048e54c97adbdd0c35eab64708bd0a8da12f602e3a177ca7,4b0bfff9d5bbe1ef78dccd9d4897fba583468634ff829890418474469612903d,,,
5026,2,5028,G1,2,primary,0.11147707940872051,0.0,0.3737632930278778,0.0,True,True,481,True,True,True,False,71054e28d6fb416f44cae8e7dfdae48bab974b89606a4eb9d4a9a052db661148,519b48ca563414469daa7ba5c622cdd5f35c8a7862a7b00101609a18553c15f7,3ad7c3b6ff8fe5df109d7cac7234e16ec23b46eea0764d53744c7b50e1a61c01,,,
5026,3,5029,G1,2,primary,0.11134369006334258,0.0,0.5224664807319641,0.0,True,True,481,True,True,True,False,11236b31bd42ae623cc7521d99d5ffd96761e76cfa012651fcc5ca90c1b13543,4e03682860c72bf2423420d73862e17d2a5991bb5ee0398b634290f6e2a391bb,09c42d28ef30b1f875c597bf21cb2e1a592e61e0e6b43565b2e97e06c0456a52,,,
5026,4,5030,G1,2,primary,0.11843865882020352,0.0,0.48390984535217285,0.0,True,True,481,True,True,True,False,b356d42b13ef8557bfd83bd3fefd251b7040f8b00549537db833f703828d3b7c,27bafd5830704aa90b1ebe075a09a4a422ea4de3d41d0c7bf9573e5ad3ed3d1a,131fb931dc4d096149e805ab0482bf2e09efd59d4acc5ffd89e34b1ffc99f0d9,,,
5026,0,5026,G3,2,fallback_base_gate_failed,0.05463923757110745,0.14199074711334908,0.18971602618694305,0.25,True,True,491,True,True,True,False,fbe2aba856d5a89e8e99f11f1ce7944631bb5751f3486dfb682f57f73b3e0eb4,0a5dd70ae5fa3c00603607904e399f613e7c7d59ee5e6d5a0b19fbb3fbd58d24,08c8806681ed205a2e71ebe9f44d0ca3b5ec034cbbe01b8a7d32d4d2725e552e,G1,0.05713509245465899,False
5026,1,5027,G3,2,fallback_base_gate_failed,0.09000570776541371,0.1121348029245501,0.2424040287733078,0.25,True,True,491,True,True,True,False,c0b6f3858562934de6f7621fa2224fd1a571dfe9009c5ebe3a0819b87a92f002,7c2d818431a88654ede530164aa8d892dd294c3693da384fb23ee485eae91ce6,4b0bfff9d5bbe1ef78dccd9d4897fba583468634ff829890418474469612903d,G1,0.08276305393502463,False
5026,2,5028,G3,2,fallback_base_gate_failed,0.11744468991667771,0.13679871077720934,0.39694729447364807,0.25,True,True,491,True,True,True,False,d724160ceb32a8eb51087e9968e33c90513ae716cacd8af51ba896ec7082e4de,794488b6cee6f76c0a891ad8c17123fc72e0a427f9de7a71a15c9b381150ee4f,3ad7c3b6ff8fe5df109d7cac7234e16ec23b46eea0764d53744c7b50e1a61c01,G1,0.05353217486150229,False
5026,3,5029,G3,2,primary,0.10658476981988624,0.14690660160095964,0.42682668566703796,0.25,True,True,491,True,True,True,False,5d567e15c783e2b21996f8ebf46d83986bb8ed30f7459b3326c122ae1997fddd,a4ef2a914ed0800b3acbdc35ebaf933d1fd4304163701e7f88e3a0a0d4221691,09c42d28ef30b1f875c597bf21cb2e1a592e61e0e6b43565b2e97e06c0456a52,G1,-0.04274081666189637,True
5026,4,5030,G3,2,primary,0.12095950494620426,0.13207892475254607,0.49337515234947205,0.25,True,True,491,True,True,True,False,ef98004005f7e4b6bbd2e88a2114a2cad925be4e6c66d5c656f1267142b71fb1,926ae686581065774578cf66a6f7c476fea812fb4de5fec6e981d2e1bfc76cb0,131fb931dc4d096149e805ab0482bf2e09efd59d4acc5ffd89e34b1ffc99f0d9,G1,0.021283980679209898,True
6026,0,6026,G1,3,primary,0.09608663766344716,0.0,0.6468266844749451,0.0,True,True,481,True,True,True,False,cbc67b1bf26c0670d92cec2300d2599d49c5d86dcaef136b6b652fa15984a54d,f783cd285823553940ab90ac0cefc23fdfb0d33e51dde8b053e82a61fbc84981,c9d7f74163c723c76734ae4f44e49f4f86449ae3532386ddda6f6fd0d83f1d50,,,
6026,1,6027,G1,2,primary,0.06993125847055892,0.0,0.20435060560703278,0.0,True,True,481,True,True,True,False,3df57edae13e3e0fb33a4f20121ede9565db962a0a67b90b1cf75514a0a5419f,ecc450c1cf8ff3ca981ed43ac15d41cbbe95bc8ebf38fd9c5ccbab345b8830e7,f54eced6a7c28332895f7e2af7f2b06f1f6ad1b2fd85d6eb3aefbb3afd5516c1,,,
6026,2,6028,G1,3,primary,0.08488065780194337,0.0,0.38286924362182617,0.0,True,True,481,True,True,True,False,ccc9c6f213a92e443c62e303c46777d9927304ad78edd840204cd5704f47f1b8,b9a8e25ff666be18a478e7256ee3e6e5165fb2d9e9a1b8dd6ffe393cd3ac144f,733c8917292fecbeab210fb3cffbfa18e8e1b790675dd3c26811492050abf912,,,
6026,3,6029,G1,2,primary,0.08628127877869882,0.0,0.307605117559433,0.0,True,True,481,True,True,True,False,9f6816af6067c5dc15f84af7d138c1acb7f65b3aafa4a4e6d3e4301b0ceb179e,322e28adf0a14f43487a75fa765d0a92bfbb27e67ba76a04fd30431f4f314ec0,f21c74a33158a4a872da3add97956ea9a67d03d7814bf2cfd30362d374a0eb97,,,
6026,4,6030,G1,3,primary,0.038304715979197795,0.0,0.14495839178562164,0.0,True,True,481,True,True,True,False,7512855d16486fd0bc04bc027ed81845a8a462d87a064f1ade0da14bee4a41ea,1418b3aacae9e5daeda2de4dcddd6c74ac8ab06a7dca6179892d4469d1db880a,e6bf89fc748c69fc327632080810f19b651406aa4bd045f63c190121ed12cee8,,,
6026,0,6026,G3,3,primary,0.10028625550595197,0.15105198601544914,0.6372418403625488,0.25,True,True,491,True,True,True,False,e348e585b8be1dc026ad911e2b5120979fdd40cdc9bd86a16fad75e14650a365,b0a5cfddad717504e4a16ecaea6fff71e0a8503ff653c5520f86a26facd13f98,c9d7f74163c723c76734ae4f44e49f4f86449ae3532386ddda6f6fd0d83f1d50,G1,0.043706575072533775,True
6026,1,6027,G3,2,fallback_base_gate_failed,0.07465563837654335,0.11504683567993883,0.2435813546180725,0.25,True,True,491,True,True,True,False,2bca1f8e6b0eb01a909a026d14036bb50cfcae591a96ab35ce5d2db1a33a55ac,1f3f7bc63f17e4c4926ee26341fc56617bcf0d46e73fb831b0ed3ca38715ef58,f54eced6a7c28332895f7e2af7f2b06f1f6ad1b2fd85d6eb3aefbb3afd5516c1,G1,0.06755748443985736,False
6026,2,6028,G3,3,fallback_base_gate_failed,0.09233015868043111,0.12738439727288026,0.4584830105304718,0.25,True,True,491,True,True,True,False,c1a27b3a500a63149d4f4bc1a68f167886d79eba864821ef9a7848de6fdc5faf,a3276919aafe39c433f3fb2e5cb0137d5c26fb3d866c508e2eb726ea40ef499e,733c8917292fecbeab210fb3cffbfa18e8e1b790675dd3c26811492050abf912,G1,0.08776441030735249,False
6026,3,6029,G3,2,primary,0.0875360731743584,0.15077477925625005,0.3173433840274811,0.25,True,True,491,True,True,True,False,e5b2f8d206a768be3f20dd0391d080e5778d0fa157ff7ef8d30c19a361f3d662,33aadff39e250129bc2c1dcf9b1f6f912fa26c68d7f5c7daf94e1e8ad3f029a4,f21c74a33158a4a872da3add97956ea9a67d03d7814bf2cfd30362d374a0eb97,G1,0.014543066739633936,True
6026,4,6030,G3,3,fallback_base_gate_failed,0.04400564440764672,0.17545899455294464,0.23202945291996002,0.25,True,True,491,True,True,True,False,e95e2f705d547fdad3edbe69d15710a26041b50d47d24be19d8ad00e0c0a43f0,c328a6355122677280a422344701aa5cd7b26209b25c0edefb3798b3b04b137e,e6bf89fc748c69fc327632080810f19b651406aa4bd045f63c190121ed12cee8,G1,0.14883098027785757,False
