seed_base,dS,static_delta_spearman,dD,delta_ftv_delta_spearman,dD_R2,delta_ftv_delta_r2,pcr_longitudinal_delta_auroc,pcr_longitudinal_delta_auprc,failed_fold_count,static_positive,dynamic_positive,pooled_oof_probe_patients,pcr_T0_delta_auroc,pcr_T0_delta_auprc,pcr_T0_T1_delta_auroc,pcr_T0_T1_delta_auprc,pcr_T0_T2_delta_auroc,pcr_T0_T2_delta_auprc
2026,0.06736082106002705,0.06736082106002705,0.07597610649675735,0.07597610649675735,0.05457293599986743,0.05457293599986743,0.0024833702882483544,0.003732274916743522,1,True,True,375,-0.0011461709022684285,0.0010225633492289,0.006494968446188021,0.004170039590866426,-0.001528227869691312,0.0032945102426206185
3026,0.07012268314054398,0.07012268314054398,0.080275875146964,0.080275875146964,0.055771360291026625,0.055771360291026625,-0.0004946273238955468,0.00104989502723693,1,True,True,375,0.011693672181476988,0.009661694941751842,-0.0008664506225480872,0.007177695667542228,-0.00012280402524300627,-0.0050779056130683675
4026,0.04527582777258188,0.04527582777258188,0.08769977623544584,0.08769977623544584,0.06620465668672455,0.06620465668672455,-0.005867303428279069,0.001405401665749234,0,True,True,375,-1.1102230246251565e-16,-0.0035407630016229263,-0.021210984137813416,-0.005506023731975618,0.009476377281255277,0.008316827063474086
5026,0.061048043967619314,0.061048043967619314,0.08329153866575645,0.08329153866575645,0.053273794279613804,0.053273794279613804,0.004045710387173829,0.005945840948051229,3,True,True,375,0.022882483370288254,0.014720594767603346,0.0017874808118710783,0.0013496994096974246,0.006303939962476579,0.010541982486405033
6026,0.041952981174642634,0.041952981174642634,0.11987939469791786,0.11987939469791786,0.07242623869173083,0.07242623869173083,0.02353743817158449,0.026241483296728457,3,True,True,375,-0.010663482858604856,-0.02258335308999626,-0.019730513389049964,0.004704656685797337,0.06680538973221894,0.04777830990765958
