kind,seed_base,model,fold,cells,test_once,source_feature_sha256,source_checkpoint_sha256
probe_selection,3026,G3,0,7,True,ce12318e38b1e85d26045b61d50f03a2db7d3d230b330b796bfa98023b8da633,1e4b2039bfe0894ce18facfd84b609776a7c4b199c70ad2d5d18fb02e52e9218
pcr_selection,3026,G3,0,3,True,ce12318e38b1e85d26045b61d50f03a2db7d3d230b330b796bfa98023b8da633,1e4b2039bfe0894ce18facfd84b609776a7c4b199c70ad2d5d18fb02e52e9218
probe_selection,3026,G3,1,7,True,e4b6b8d311fbf6691c9c579891cbbf7cd0e30f1db6ad10a4f15202a49046fa2c,1493b9e72b6d074aadaa8e9906dfe2ce01727db4cf342092dd5d1448e19ac19f
pcr_selection,3026,G3,1,3,True,e4b6b8d311fbf6691c9c579891cbbf7cd0e30f1db6ad10a4f15202a49046fa2c,1493b9e72b6d074aadaa8e9906dfe2ce01727db4cf342092dd5d1448e19ac19f
probe_selection,3026,G3,2,7,True,f3205f516273c0b93415e31227cf632085a094bfa316e4e5801edcc4c4b97b59,b058efe7ddb8fcc25bf5323d9118dbd5de83c8c2d0d8017c8c35ca2dca860444
pcr_selection,3026,G3,2,3,True,f3205f516273c0b93415e31227cf632085a094bfa316e4e5801edcc4c4b97b59,b058efe7ddb8fcc25bf5323d9118dbd5de83c8c2d0d8017c8c35ca2dca860444
probe_selection,3026,G3,3,7,True,4eead33902f6f5bb825e09d84ed233e2f789d4967c4ff1fa3a95afbc358589de,b68b94138b9d182071eebea7ea57b40fb23d163f8cbd957536d2bbc1b88491b6
pcr_selection,3026,G3,3,3,True,4eead33902f6f5bb825e09d84ed233e2f789d4967c4ff1fa3a95afbc358589de,b68b94138b9d182071eebea7ea57b40fb23d163f8cbd957536d2bbc1b88491b6
probe_selection,3026,G3,4,7,True,dcf171725bc5dc960c25e2fa0494164f2c61c1dd1aea641f3f1760a952a95602,bef4ad3c15cd227bad8aebe2bc48c6fa5f0681225e725c44dd0b90e65b9335ca
pcr_selection,3026,G3,4,3,True,dcf171725bc5dc960c25e2fa0494164f2c61c1dd1aea641f3f1760a952a95602,bef4ad3c15cd227bad8aebe2bc48c6fa5f0681225e725c44dd0b90e65b9335ca
probe_selection,4026,G1,0,7,True,134ef1e70b9f334975a508225db0abc6143376fa9f0c5a4ffd1bd673a82da219,234876e7469bb58cad0896889cfb3373adbc5581f73e9c97f2639f42381d8999
pcr_selection,4026,G1,0,3,True,134ef1e70b9f334975a508225db0abc6143376fa9f0c5a4ffd1bd673a82da219,234876e7469bb58cad0896889cfb3373adbc5581f73e9c97f2639f42381d8999
probe_selection,4026,G1,1,7,True,da9245f33e0a772f0f04f65049366674f48ae522a989c8cad133bd0273daf398,5edce5d2ec9b99ce7a3afbc61a29128318e56d59b7fc1570cb0014aed88e8b4b
pcr_selection,4026,G1,1,3,True,da9245f33e0a772f0f04f65049366674f48ae522a989c8cad133bd0273daf398,5edce5d2ec9b99ce7a3afbc61a29128318e56d59b7fc1570cb0014aed88e8b4b
probe_selection,4026,G1,2,7,True,56d0ad70ec8de4d8575d2e9dc554d07bbba3121dbefff300051d6f4f16669ca9,4bff290d9fb2a9c8b2f59d0398dfece83d4c0fbd24647072fa16e95da9fe328d
pcr_selection,4026,G1,2,3,True,56d0ad70ec8de4d8575d2e9dc554d07bbba3121dbefff300051d6f4f16669ca9,4bff290d9fb2a9c8b2f59d0398dfece83d4c0fbd24647072fa16e95da9fe328d
probe_selection,4026,G1,3,7,True,af866e63f0c05a2a06a2f9c1ab09bdd12b63af615ca88d5420cc3d420423ad0a,7c8e0458a99f21889058e52b6aa4b7ddb7a8d240a67108e1ea11e62e42c3c185
