scope,omitted_seed,omitted_fold,seed_base,static_mean,dynamic_mean,dynamic_r2_mean,spearman_recomputed_from_patient_rows,n_training_seeds
leave_one_seed_out,2026,,,0.05459988401384695,0.09278664618652104,0.06191901248727395,False,4
leave_one_seed_out,3026,,,0.05390941849371772,0.09171170402396937,0.06161940641448416,False,4
leave_one_seed_out,4026,,,0.06012113233570825,0.08985572875184891,0.05901108231555967,False,4
leave_one_seed_out,5026,,,0.05617807828694889,0.09095778814427126,0.06224379791733736,False,4
leave_one_seed_out,6026,,,0.06095184398519306,0.0818108241362309,0.0574556868143081,False,4
leave_one_fold_out_seed,,0,2026,0.06834449031690981,0.07917853743729569,0.05858363071541384,True,1
leave_one_fold_out_seed,,0,3026,0.08263307853615154,0.09502242576602027,0.060980765928486745,True,1
leave_one_fold_out_seed,,0,4026,0.047042803628490004,0.0681683256952057,0.04068480337608785,True,1
leave_one_fold_out_seed,,0,5026,0.0588074065705948,0.08825550191241127,0.06080636188478476,True,1
leave_one_fold_out_seed,,0,6026,0.04276215456002519,0.11354840150759216,0.07499876921364663,True,1
leave_one_fold_out_across_seed,,0,,0.05991798672243427,0.08883463846370501,0.05921086622368397,True,5
leave_one_fold_out_seed,,1,2026,0.07719471466465622,0.07871378697728271,0.050917704321509244,True,1
leave_one_fold_out_seed,,1,3026,0.06921115905686503,0.07492198934594813,0.0532996479923585,True,1
leave_one_fold_out_seed,,1,4026,0.04981940128293483,0.08773855831191152,0.0654666217586281,True,1
leave_one_fold_out_seed,,1,5026,0.05957085491514258,0.08277008087260762,0.04870258845265878,True,1
leave_one_fold_out_seed,,1,6026,0.03031588206547453,0.12705992551664735,0.07012075086337292,True,1
leave_one_fold_out_across_seed,,1,,0.057222402397014635,0.09024086820487946,0.05770146267770552,True,5
leave_one_fold_out_seed,,2,2026,0.06526647043258105,0.06903426448929417,0.04498838892752302,True,1
leave_one_fold_out_seed,,2,3026,0.06725732901534798,0.077391163103879,0.057550929520625446,True,1
leave_one_fold_out_seed,,2,4026,0.038609787379870086,0.09841555515818179,0.07146604586384205,True,1
leave_one_fold_out_seed,,2,5026,0.050378530635026286,0.10229284121539173,0.060967927684930576,True,1
leave_one_fold_out_seed,,2,6026,0.059705875406618536,0.12750427806051828,0.06897434788454274,True,1
leave_one_fold_out_across_seed,,2,,0.05624359857388879,0.094927620405453,0.06078952797629276,True,5
leave_one_fold_out_seed,,3,2026,0.059457490276737635,0.07278067472135857,0.054324157333852166,True,1
leave_one_fold_out_seed,,3,3026,0.0768536748237389,0.07043153339384134,0.05337519100437804,True,1
leave_one_fold_out_seed,,3,4026,0.043605639319595824,0.08730905767467656,0.06224080227850892,True,1
leave_one_fold_out_seed,,3,5026,0.06300805555459699,0.07975174478061253,0.054909338164172636,True,1
leave_one_fold_out_seed,,3,6026,0.04395343791088768,0.1318607810589354,0.07997435937525739,True,1
leave_one_fold_out_across_seed,,3,,0.0573756595771114,0.08842675832588488,0.06096476963123383,True,5
leave_one_fold_out_seed,,4,2026,0.06307134565972694,0.07970950268404847,0.06321393466504803,True,1
leave_one_fold_out_seed,,4,3026,0.054424056465087634,0.08088457536519122,0.05176593257877203,True,1
leave_one_fold_out_seed,,4,4026,0.04664126712319283,0.09442185417671056,0.09251896469038194,True,1
leave_one_fold_out_seed,,4,5026,0.07467695454184298,0.05973732523654851,0.040005618465878245,True,1
leave_one_fold_out_seed,,4,6026,0.0332210047699345,0.09476793166755137,0.06670034179622213,True,1
leave_one_fold_out_across_seed,,4,,0.054406925711956974,0.08190423782601003,0.06284095843926048,True,5
