protocol,population,scenario,view,timing,timing_label,model_type,model,fold,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,T0,logistic,N,1,67,20,47,0.5680851063829787,0.40342898462901194,0.550531914893617,0.20942873313704652
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,T0,logistic,N,2,83,24,59,0.5783898305084746,0.384904807039084,0.5194209039548022,0.2027200271315165
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,T0,logistic,N,3,72,23,49,0.5989352262644188,0.4627424114981506,0.6153504880212954,0.21917338651008697
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,T0,logistic,N,4,84,23,61,0.6336421952957948,0.4459634023701933,0.6104775481111903,0.19056098362827378
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,C,0,69,20,49,0.6724489795918368,0.5103028691021548,0.5438775510204081,0.1906445230215775
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,C,1,67,20,47,0.7574468085106383,0.537995652556363,0.5898936170212765,0.19814563353685835
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,C,2,83,24,59,0.6483050847457626,0.48743554652994403,0.6345338983050848,0.1921075681020469
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,C,3,72,23,49,0.7400177462289264,0.6132980714082653,0.7138420585625554,0.18563086424984737
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,C,4,84,23,61,0.7997148966500357,0.5624589646442884,0.7736992159657876,0.16263980352194368
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,C+F,0,69,20,49,0.7051020408163265,0.5475823197945179,0.6525510204081633,0.18970973054558243
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,C+F,1,67,20,47,0.8372340425531914,0.7022268738530514,0.7542553191489361,0.1810308070752094
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,C+F,2,83,24,59,0.7853107344632768,0.6115394642582002,0.7238700564971752,0.16869137295015313
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,C+F,3,72,23,49,0.6841171251109138,0.5754587179182071,0.6282165039929015,0.2040070459597472
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,C+F,4,84,23,61,0.8553100498930862,0.6636066712175309,0.7088382038488952,0.14086404221493873
