feature,FTV_T0,FTV_T1,FTV_T2,FTV_T3,LD_T0,LD_T1,LD_T2,LD_T3,SPH_T0,SPH_T1,SPH_T2,SPH_T3,BPE_T0,BPE_T1,BPE_T2,BPE_T3
FTV_T0,1.0,0.775957707436167,0.5671194177884779,0.5248208417833437,0.6184416635367851,0.4903598054050273,0.33473313198285776,0.21340916927054332,-0.5871566749177716,-0.5574281136617951,-0.5032662507205589,-0.46860991488928827,0.18266950086467057,0.10373906446034384,0.019832109796209012,0.018191046734094485
FTV_T1,0.775957707436167,1.0,0.7507093265742091,0.5803768830096946,0.5521659702353445,0.5880427628079112,0.5085761641390274,0.3701243140742681,-0.5081880912820861,-0.5385123851344478,-0.5598652978874911,-0.441047904445424,0.14030000678173002,0.18928507849852497,0.09053355260927062,0.05636955785746753
FTV_T2,0.5671194177884779,0.7507093265742091,1.0,0.7019715073015669,0.4007127574716758,0.4620850677609818,0.5492707947464005,0.44486511231061343,-0.4264824437964125,-0.36956825811264454,-0.6956009884371503,-0.4899060306534197,0.13564498491065072,0.17824081923298635,0.19046128479875216,0.13745662736971861
FTV_T3,0.5248208417833437,0.5803768830096946,0.7019715073015669,1.0,0.35156257973781346,0.3170449041777753,0.33115051172139304,0.3912963872207763,-0.47799437105782183,-0.408741565686437,-0.5568525438297149,-0.7702962752564498,0.16475154309532714,0.19806764129669044,0.18733565893703077,0.27758908721519676
LD_T0,0.6184416635367851,0.5521659702353445,0.4007127574716758,0.35156257973781346,1.0,0.7489733922688874,0.4532990956820728,0.31634456020585144,-0.4012026842919334,-0.4695698414814102,-0.42815109738032725,-0.36041749549259855,-0.03569671259715674,0.0008571069382525186,-0.00848192432500968,-0.04933301756560477
LD_T1,0.4903598054050273,0.5880427628079112,0.4620850677609818,0.3170449041777753,0.7489733922688874,1.0,0.5986968168434766,0.41493091075160354,-0.3029347594150185,-0.3858044143568111,-0.4016725845575934,-0.2664103879104271,-0.07454974602985853,-0.01895168682209978,-0.008386156132322636,-0.09520806469034704
LD_T2,0.33473313198285776,0.5085761641390274,0.5492707947464005,0.33115051172139304,0.4532990956820728,0.5986968168434766,1.0,0.6746411723951978,-0.1629385204289202,-0.1394318820787695,-0.2945221075463969,-0.1418879469863158,-0.053385149219334065,-0.011492658423684028,0.03410804629760818,-0.0276868929153625
LD_T3,0.21340916927054332,0.3701243140742681,0.44486511231061343,0.3912963872207763,0.31634456020585144,0.41493091075160354,0.6746411723951978,1.0,-0.1286596171691519,-0.10781182652099595,-0.23044616867952172,-0.18216858650855944,-0.06160887167261488,-0.058577820634844756,0.00029191658786762077,-0.06231250682185109
SPH_T0,-0.5871566749177716,-0.5081880912820861,-0.4264824437964125,-0.47799437105782183,-0.4012026842919334,-0.3029347594150185,-0.1629385204289202,-0.1286596171691519,1.0,0.7088588467668102,0.5786229273337629,0.554778788443932,-0.08714925740056288,-0.10115162252890712,-0.03454358956969923,-0.05741203747120556
SPH_T1,-0.5574281136617951,-0.5385123851344478,-0.36956825811264454,-0.408741565686437,-0.4695698414814102,-0.3858044143568111,-0.1394318820787695,-0.10781182652099595,0.7088588467668102,1.0,0.6102639364551897,0.5614704486114408,-0.10574878776575905,-0.17942338340510663,-0.07908154182631989,-0.06243073227359025
SPH_T2,-0.5032662507205589,-0.5598652978874911,-0.6956009884371503,-0.5568525438297149,-0.42815109738032725,-0.4016725845575934,-0.2945221075463969,-0.23044616867952172,0.5786229273337629,0.6102639364551897,1.0,0.6389322166084568,-0.07909107863415957,-0.17394586484012073,-0.17633833203350174,-0.10953485254764248
SPH_T3,-0.46860991488928827,-0.441047904445424,-0.4899060306534197,-0.7702962752564498,-0.36041749549259855,-0.2664103879104271,-0.1418879469863158,-0.18216858650855944,0.554778788443932,0.5614704486114408,0.6389322166084568,1.0,-0.09922370384185006,-0.15488941541487233,-0.11389597673866603,-0.21801514551854975
BPE_T0,0.18266950086467057,0.14030000678173002,0.13564498491065072,0.16475154309532714,-0.03569671259715674,-0.07454974602985853,-0.053385149219334065,-0.06160887167261488,-0.08714925740056288,-0.10574878776575905,-0.07909107863415957,-0.09922370384185006,1.0,0.7392833830660201,0.6081228171306501,0.5242685926790862
BPE_T1,0.10373906446034384,0.18928507849852497,0.17824081923298635,0.19806764129669044,0.0008571069382525186,-0.01895168682209978,-0.011492658423684028,-0.058577820634844756,-0.10115162252890712,-0.17942338340510663,-0.17394586484012073,-0.15488941541487233,0.7392833830660201,1.0,0.7173981045064596,0.6165624769859026
BPE_T2,0.019832109796209012,0.09053355260927062,0.19046128479875216,0.18733565893703077,-0.00848192432500968,-0.008386156132322636,0.03410804629760818,0.00029191658786762077,-0.03454358956969923,-0.07908154182631989,-0.17633833203350174,-0.11389597673866603,0.6081228171306501,0.7173981045064596,1.0,0.6553374627734078
BPE_T3,0.018191046734094485,0.05636955785746753,0.13745662736971861,0.27758908721519676,-0.04933301756560477,-0.09520806469034704,-0.0276868929153625,-0.06231250682185109,-0.05741203747120556,-0.06243073227359025,-0.10953485254764248,-0.21801514551854975,0.5242685926790862,0.6165624769859026,0.6553374627734078,1.0
