protocol,population,view,timing,timing_label,n,r2,spearman,fold_mean_r2,fold_min_r2,fold_max_r2,fold_mean_spearman,fold_min_spearman,fold_max_spearman
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T0,T0,384,0.520300420118687,0.724046605988327,0.4879871377169562,0.2934042888236408,0.633336433772324,0.7149252363845827,0.6311583153688417,0.7981938994986759
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T1,T1,384,0.4627462835722027,0.6715845172003234,0.45548515899874714,0.4046770273584006,0.5519911624103768,0.6754619561477979,0.6350754508649246,0.7631053157368947
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T2,T2,384,0.571212745752827,0.7629788286022503,0.5630605556198673,0.514935465694915,0.6001209170604838,0.7652078913990369,0.755368022572854,0.7839003102160995
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T3,T3 (late/pre-surgery),384,0.5288316333413446,0.7691848295210637,0.5139719948775127,0.3434852974900522,0.5740999412572996,0.7676305738465248,0.6995898838004101,0.8281718281718281
primary_stratified_384,clinical_radiomics_complete_384,static,T0,T0,384,0.520300420118687,0.724046605988327,0.4879871377169562,0.2934042888236408,0.633336433772324,0.7149252363845827,0.6311583153688417,0.7981938994986759
primary_stratified_384,clinical_radiomics_complete_384,static,T1,T1,384,0.4411030425725684,0.6438888781452825,0.43518058562545725,0.36256602429110774,0.5542542768194092,0.6464329328853109,0.5984541774015457,0.736920973763079
primary_stratified_384,clinical_radiomics_complete_384,static,T2,T2,384,0.5138672979943447,0.7530473018301496,0.5068599275932677,0.4753212987075969,0.5385254287681818,0.752110691507068,0.7042957042957043,0.7901835007098165
primary_stratified_384,clinical_radiomics_complete_384,static,T3,T3 (late/pre-surgery),384,0.5003969368533925,0.7870059482142924,0.48529869700841805,0.341590931855426,0.5511967145136998,0.7817711367998504,0.710946947789053,0.8197079895884004
