fit_scope,protocol,scenario,view,timing,feature_set,fold,n_train,feature,family,role,transform,winsor_lower,winsor_upper,train_median_after_transform,train_mean_after_imputation,train_scale,all_missing_in_train
outer_train_only,primary_stratified_384,complete_case,static,T0,FTV+LD+SPH+BPE,1,245,LD__absolute__T0,LD,absolute,log1p,1.588,10.312000000000001,1.547562508716013,1.609473082927363,0.35495059097532083,False
outer_train_only,primary_stratified_384,complete_case,static,T0,FTV+LD+SPH+BPE,1,245,SPH__absolute__T0,SPH,absolute,identity,0.07112160356,0.4911796436000001,0.2015373,0.2223711772305306,0.09495316183547864,False
outer_train_only,primary_stratified_384,complete_case,static,T0,FTV+LD+SPH+BPE,1,245,BPE__absolute__T0,BPE,absolute,log1p,7.272844,83.81006,3.184512097440241,3.2388985236095076,0.5079734467598628,False
outer_train_only,primary_stratified_384,complete_case,static,T0,FTV+LD+SPH+BPE,2,245,FTV__absolute__T0,FTV,absolute,log1p,2.0098455360000003,194.6744256000001,2.8972436478379273,2.9123357857983456,0.9363409373306999,False
outer_train_only,primary_stratified_384,complete_case,static,T0,FTV+LD+SPH+BPE,2,245,LD__absolute__T0,LD,absolute,log1p,1.5,11.604000000000003,1.547562508716013,1.6177745603385676,0.3645522480084634,False
outer_train_only,primary_stratified_384,complete_case,static,T0,FTV+LD+SPH+BPE,2,245,SPH__absolute__T0,SPH,absolute,identity,0.07222423832000001,0.4898071692000001,0.19736858,0.21220392439412245,0.09437205093355175,False
outer_train_only,primary_stratified_384,complete_case,static,T0,FTV+LD+SPH+BPE,2,245,BPE__absolute__T0,BPE,absolute,log1p,7.272844,85.64349600000001,3.2503202268893596,3.272920521074785,0.4729524458002205,False
outer_train_only,primary_stratified_384,complete_case,static,T0,FTV+LD+SPH+BPE,3,245,FTV__absolute__T0,FTV,absolute,log1p,1.942601352,194.2829620000001,2.8384843689407235,2.864403053139511,0.9315727539929358,False
outer_train_only,primary_stratified_384,complete_case,static,T0,FTV+LD+SPH+BPE,3,245,LD__absolute__T0,LD,absolute,log1p,1.5,10.792000000000002,1.547562508716013,1.593996663970695,0.3522112415861198,False
outer_train_only,primary_stratified_384,complete_case,static,T0,FTV+LD+SPH+BPE,3,245,SPH__absolute__T0,SPH,absolute,identity,0.0702832126,0.46111029800000003,0.1951492,0.2120430050155102,0.09312121025976344,False
outer_train_only,primary_stratified_384,complete_case,static,T0,FTV+LD+SPH+BPE,3,245,BPE__absolute__T0,BPE,absolute,log1p,6.5040516,88.63387999999999,3.249525294251966,3.2722500975013302,0.5324375311324411,False
outer_train_only,primary_stratified_384,complete_case,static,T0,FTV+LD+SPH+BPE,4,246,FTV__absolute__T0,FTV,absolute,log1p,1.8166817450000001,159.0976130000001,2.755126304249501,2.7978334948188306,0.9179906738128529,False
outer_train_only,primary_stratified_384,complete_case,static,T0,FTV+LD+SPH+BPE,4,246,LD__absolute__T0,LD,absolute,log1p,1.5450000000000002,10.855000000000002,1.547562508716013,1.5972476641554296,0.34097018213029895,False
outer_train_only,primary_stratified_384,complete_case,static,T0,FTV+LD+SPH+BPE,4,246,SPH__absolute__T0,SPH,absolute,identity,0.07225488535,0.4584223835000001,0.19524004499999997,0.2092378135144309,0.0863188204601772,False
outer_train_only,primary_stratified_384,complete_case,static,T0,FTV+LD+SPH+BPE,4,246,BPE__absolute__T0,BPE,absolute,log1p,6.8066595,86.27345500000003,3.2590439034885472,3.281644312722619,0.5142261783279494,False
outer_train_only,primary_stratified_384,complete_case,static,T1,FTV,0,245,FTV__absolute__T1,FTV,absolute,log1p,0.3140300504,147.51683320000004,2.193489164917592,2.2712007807016015,1.0709906275356118,False
outer_train_only,primary_stratified_384,complete_case,static,T1,FTV,1,245,FTV__absolute__T1,FTV,absolute,log1p,0.21432428,199.41781040000018,2.102116669295804,2.2260346178168406,1.1254421778575348,False
outer_train_only,primary_stratified_384,complete_case,static,T1,FTV,2,245,FTV__absolute__T1,FTV,absolute,log1p,0.2706224048,149.20698040000005,2.136106132915026,2.264616799315952,1.037716212134774,False
outer_train_only,primary_stratified_384,complete_case,static,T1,FTV,3,245,FTV__absolute__T1,FTV,absolute,log1p,0.4298653108,200.74578320000018,2.136106132915026,2.2390630359076225,1.0449328484107558,False
outer_train_only,primary_stratified_384,complete_case,static,T1,FTV,4,246,FTV__absolute__T1,FTV,absolute,log1p,0.372321687,130.86744600000054,2.112734521207909,2.2024819494885537,0.9486198120145349,False
outer_train_only,primary_stratified_384,complete_case,static,T1,LD+SPH+BPE,0,245,LD__absolute__T1,LD,absolute,log1p,0.43999999999999995,10.236,1.4350845252893227,1.4699410648320055,0.40888153432086954,False
outer_train_only,primary_stratified_384,complete_case,static,T1,LD+SPH+BPE,0,245,SPH__absolute__T1,SPH,absolute,identity,0.07559019036,0.4562302648,0.19483618,0.20559025051624494,0.08698170496070186,False
outer_train_only,primary_stratified_384,complete_case,static,T1,LD+SPH+BPE,0,245,BPE__absolute__T1,BPE,absolute,log1p,6.112239199999999,69.51369200000002,3.0420193075053046,3.078425963050543,0.5223714520859891,False
outer_train_only,primary_stratified_384,complete_case,static,T1,LD+SPH+BPE,1,245,LD__absolute__T1,LD,absolute,log1p,0.30799999999999994,10.192000000000002,1.3862943611198906,1.4431980932196125,0.4015607177195298,False
outer_train_only,primary_stratified_384,complete_case,static,T1,LD+SPH+BPE,1,245,SPH__absolute__T1,SPH,absolute,identity,0.0725408078,0.5061396756000001,0.20437451,0.21701733340897963,0.09312762955208535,False
outer_train_only,primary_stratified_384,complete_case,static,T1,LD+SPH+BPE,1,245,BPE__absolute__T1,BPE,absolute,log1p,6.3653856,70.27770000000002,3.0322522275537063,3.056971946967646,0.4933049319604692,False
outer_train_only,primary_stratified_384,complete_case,static,T1,LD+SPH+BPE,2,245,LD__absolute__T1,LD,absolute,log1p,0.744,10.404000000000003,1.410986973710262,1.4595279760264217,0.4072557322161498,False
outer_train_only,primary_stratified_384,complete_case,static,T1,LD+SPH+BPE,2,245,SPH__absolute__T1,SPH,absolute,identity,0.05222066516,0.5061396756000001,0.19730583,0.20904748704195916,0.09184406062003095,False
outer_train_only,primary_stratified_384,complete_case,static,T1,LD+SPH+BPE,2,245,BPE__absolute__T1,BPE,absolute,log1p,6.7235764,66.21941200000002,3.053590720091644,3.0717777395587427,0.45862736355495454,False
outer_train_only,primary_stratified_384,complete_case,static,T1,LD+SPH+BPE,3,245,LD__absolute__T1,LD,absolute,log1p,0.0,9.712000000000002,1.3862943611198906,1.42532367127966,0.4245428304485971,False
outer_train_only,primary_stratified_384,complete_case,static,T1,LD+SPH+BPE,3,245,SPH__absolute__T1,SPH,absolute,identity,0.05222066516,0.47900416320000005,0.19982873,0.2098007430697143,0.09088935236397298,False
outer_train_only,primary_stratified_384,complete_case,static,T1,LD+SPH+BPE,3,245,BPE__absolute__T1,BPE,absolute,log1p,6.27133,68.583532,3.0420193075053046,3.092727798505669,0.4858234102883125,False
outer_train_only,primary_stratified_384,complete_case,static,T1,LD+SPH+BPE,4,246,LD__absolute__T1,LD,absolute,log1p,0.3150000000000001,10.230000000000008,1.410986973710262,1.4250312046361164,0.3899181538897126,False
outer_train_only,primary_stratified_384,complete_case,static,T1,LD+SPH+BPE,4,246,SPH__absolute__T1,SPH,absolute,identity,0.07870204955,0.45601218300000007,0.19447911,0.2089267271408536,0.08656395070585263,False
outer_train_only,primary_stratified_384,complete_case,static,T1,LD+SPH+BPE,4,246,BPE__absolute__T1,BPE,absolute,log1p,6.114316,63.345505000000045,3.0891603925982762,3.108613005707833,0.47385848729844376,False
outer_train_only,primary_stratified_384,complete_case,static,T1,FTV+LD+SPH+BPE,0,245,FTV__absolute__T1,FTV,absolute,log1p,0.3140300504,147.51683320000004,2.193489164917592,2.2712007807016015,1.0709906275356118,False
outer_train_only,primary_stratified_384,complete_case,static,T1,FTV+LD+SPH+BPE,0,245,LD__absolute__T1,LD,absolute,log1p,0.43999999999999995,10.236,1.4350845252893227,1.4699410648320055,0.40888153432086954,False
outer_train_only,primary_stratified_384,complete_case,static,T1,FTV+LD+SPH+BPE,0,245,SPH__absolute__T1,SPH,absolute,identity,0.07559019036,0.4562302648,0.19483618,0.20559025051624494,0.08698170496070186,False
outer_train_only,primary_stratified_384,complete_case,static,T1,FTV+LD+SPH+BPE,0,245,BPE__absolute__T1,BPE,absolute,log1p,6.112239199999999,69.51369200000002,3.0420193075053046,3.078425963050543,0.5223714520859891,False
outer_train_only,primary_stratified_384,complete_case,static,T1,FTV+LD+SPH+BPE,1,245,FTV__absolute__T1,FTV,absolute,log1p,0.21432428,199.41781040000018,2.102116669295804,2.2260346178168406,1.1254421778575348,False
outer_train_only,primary_stratified_384,complete_case,static,T1,FTV+LD+SPH+BPE,1,245,LD__absolute__T1,LD,absolute,log1p,0.30799999999999994,10.192000000000002,1.3862943611198906,1.4431980932196125,0.4015607177195298,False
outer_train_only,primary_stratified_384,complete_case,static,T1,FTV+LD+SPH+BPE,1,245,SPH__absolute__T1,SPH,absolute,identity,0.0725408078,0.5061396756000001,0.20437451,0.21701733340897963,0.09312762955208535,False
outer_train_only,primary_stratified_384,complete_case,static,T1,FTV+LD+SPH+BPE,1,245,BPE__absolute__T1,BPE,absolute,log1p,6.3653856,70.27770000000002,3.0322522275537063,3.056971946967646,0.4933049319604692,False
