population,task,view,timing,timing_label,target,traditional_model,mri_model,n,traditional_auroc,mri_auroc,difference_mri_minus_traditional,mri_aggregation
mri_matched_375,profile_probe,static,T2,T2,HER2,FULL,M,375,0.5537694013303769,0.5531952803294267,-0.0005741210009502229,mean_of_four_seed_x_arm_cells_without_patient_pooling
mri_matched_375,profile_probe,static,T2,T2,HR,FULL,M,375,0.5049874584378464,0.529946625444788,0.024959167006941563,mean_of_four_seed_x_arm_cells_without_patient_pooling
mri_matched_375,profile_probe,static,T2,T2,subtype,FULL,M,375,0.543930596785688,0.5056341912741236,-0.038296405511564435,mean_of_four_seed_x_arm_cells_without_patient_pooling
mri_matched_375,profile_probe,static,T2,T2,HER2,N,M,375,0.5562638580931265,0.5531952803294267,-0.0030685777636998424,mean_of_four_seed_x_arm_cells_without_patient_pooling
mri_matched_375,profile_probe,static,T2,T2,HR,N,M,375,0.4760251997900017,0.529946625444788,0.053921425654786304,mean_of_four_seed_x_arm_cells_without_patient_pooling
mri_matched_375,profile_probe,static,T2,T2,subtype,N,M,375,0.515516311525869,0.5056341912741236,-0.009882120251745397,mean_of_four_seed_x_arm_cells_without_patient_pooling
mri_matched_375,profile_probe,static,T3,T3 (late/pre-surgery),HER2,FULL,M,375,0.4874485270826734,0.5583524707000317,0.0709039436173583,mean_of_four_seed_x_arm_cells_without_patient_pooling
mri_matched_375,profile_probe,static,T3,T3 (late/pre-surgery),HR,FULL,M,375,0.5184040132998892,0.49054278714344046,-0.027861226156448704,mean_of_four_seed_x_arm_cells_without_patient_pooling
mri_matched_375,profile_probe,static,T3,T3 (late/pre-surgery),subtype,FULL,M,375,0.5181120385180082,0.5507581844411528,0.03264614592314452,mean_of_four_seed_x_arm_cells_without_patient_pooling
mri_matched_375,profile_probe,static,T3,T3 (late/pre-surgery),HER2,N,M,375,0.49148717136522013,0.5583524707000317,0.06686529933481156,mean_of_four_seed_x_arm_cells_without_patient_pooling
mri_matched_375,profile_probe,static,T3,T3 (late/pre-surgery),HR,N,M,375,0.4812751560403664,0.49054278714344046,0.009267631103074048,mean_of_four_seed_x_arm_cells_without_patient_pooling
mri_matched_375,profile_probe,static,T3,T3 (late/pre-surgery),subtype,N,M,375,0.492024111197192,0.5507581844411528,0.05873407324396074,mean_of_four_seed_x_arm_cells_without_patient_pooling
