seed,arm,fold,epoch,train_state_loss,val_state_loss
2026,L1,0,1,0.9974645745009184,0.3853716840428754
2026,L1,0,2,0.2977041560225189,0.1204512179636758
2026,L1,0,3,0.165539017971605,0.1022590811957012
2026,L1,0,4,0.1805161271709948,0.150026537416395
2026,L1,0,5,0.2515415693633258,0.2091267000545155
2026,L1,0,6,0.3402942709624767,0.2596477139587245
2026,L1,0,7,0.4363999663852155,0.3326218791983344
2026,L1,1,1,0.84864641148597,0.2816044207939431
2026,L1,1,2,0.2268486315850168,0.0927400120403155
2026,L1,1,3,0.1417708020191639,0.0981206116228064
2026,L1,1,4,0.1482110267970711,0.1110640909553559
2026,L1,1,5,0.1749413997866213,0.1560442053582057
2026,L1,1,6,0.2366172888781875,0.2299933852243029
2026,L1,2,1,0.8465272473171354,0.281552807604971
2026,L1,2,2,0.2220341030973941,0.0874417234550822
2026,L1,2,3,0.1374208818655461,0.0906841086208327
2026,L1,2,4,0.1343947411514818,0.1130814945771674
2026,L1,2,5,0.163988316617906,0.1632888196421063
2026,L1,2,6,0.2243518134579062,0.2343907744184998
2026,L1,3,1,0.8701901266351342,0.3240456460428632
2026,L1,3,2,0.2734804037027061,0.1253714728330777
2026,L1,3,3,0.1650305406190454,0.1098302972833972
2026,L1,3,4,0.1696095578372478,0.154122578087917
2026,L1,3,5,0.2183552484028041,0.2153681368867228
2026,L1,3,6,0.291280476283282,0.2900186690909803
2026,L1,3,7,0.3766343626193702,0.3697320015962458
2026,L1,4,1,0.9287410890683532,0.3415967718628812
2026,L1,4,2,0.2745662002824247,0.1204353646059666
2026,L1,4,3,0.173099541850388,0.1160423572767864
2026,L1,4,4,0.1838160862680524,0.1592235621834589
2026,L1,4,5,0.2408238272648304,0.228478573940017
2026,L1,4,6,0.3193453648127615,0.3166642432863062
2026,L1,4,7,0.4003309104591608,0.408761936770983
2026,L3,0,1,0.9995907999575138,0.3945947508674022
2026,L3,0,2,0.2989029213786125,0.123511382555666
2026,L3,0,3,0.1651156194508075,0.1016183663005671
2026,L3,0,4,0.1768723637796938,0.1480972577225078
2026,L3,0,5,0.2434782113414257,0.207926091945861
2026,L3,0,6,0.3319920210167765,0.2698965422378098
2026,L3,0,7,0.429923266172409,0.3544811261586906
2026,L3,1,1,0.8533549332991243,0.2843656298542811
2026,L3,1,2,0.2286063557490706,0.0935321242109803
2026,L3,1,3,0.1427051703445613,0.0935451759040848
2026,L3,1,4,0.1485477477312088,0.1125042711284535
2026,L3,1,5,0.177591356402263,0.1609964139205365
2026,L3,1,6,0.2398448809050023,0.2340612869617367
2026,L3,2,1,0.8582144366577268,0.2957870782899462
2026,L3,2,2,0.2277498790528625,0.0839486655371248
2026,L3,2,3,0.1259963277261704,0.0847090141586035
2026,L3,2,4,0.1316327006090432,0.110058299642949
2026,L3,2,5,0.1540232608094811,0.1541160662804753
2026,L3,2,6,0.213945686770603,0.2340428128469089
2026,L3,2,7,0.2997141095809638,0.3288711560659172
2026,L3,3,1,0.8792244074866176,0.3384208895943381
2026,L3,3,2,0.2810757265426218,0.1254002500540954
2026,L3,3,3,0.1677630560006946,0.114924622591862
2026,L3,3,4,0.1738627241924405,0.1584124175354468
2026,L3,3,5,0.2241064273752272,0.217447102439305
2026,L3,3,6,0.2985075796023011,0.290892272818187
2026,L3,3,7,0.3869420388713479,0.3559334728836028
2026,L3,4,1,0.9380472457036376,0.3351251670151702
2026,L3,4,2,0.2656326971016824,0.1154002131016786
2026,L3,4,3,0.1669597764965146,0.1088281279383612
2026,L3,4,4,0.1729696694295853,0.1471474285830151
2026,L3,4,5,0.2235653371084481,0.2110820131853592
2026,L3,4,6,0.2976629958488047,0.296059266841116
2026,L3,4,7,0.3785361357033253,0.3948815996981849
2026,N1,0,1,1.0000770041719078,0.3936846330146159
2026,N1,0,2,0.2921125197783112,0.1140089165573277
2026,N1,0,3,0.1489885721821338,0.0921010166899231
2026,N1,0,4,0.1568345755338668,0.1621333849577864
2026,N1,0,5,0.2021372052840888,0.2031826501296571
2026,N1,0,6,0.2219395334366709,0.2008576199166045
2026,N1,0,7,0.256965814018622,0.2728351131081581
2026,N1,1,1,0.8429728146642447,0.2717821164564653
2026,N1,1,2,0.2019078740850091,0.070269688902315
2026,N1,1,3,0.1013316249474883,0.0645855916433097
2026,N1,1,4,0.1067207150626927,0.0748190558400035
2026,N1,1,5,0.1164717778097838,0.1018243784254247
2026,N1,1,6,0.1524205699097365,0.1491517478769475
2026,N1,1,7,0.1991365286055952,0.2060387102532977
2026,N1,2,1,0.8106201002374291,0.2630711902271617
2026,N1,2,2,0.199920391337946,0.0843314539548779
2026,N1,2,3,0.1152129918802529,0.0777805551024507
2026,N1,2,4,0.1060987066477537,0.1092565023332588
2026,N1,2,5,0.1320271729957312,0.1679701061288187
2026,N1,2,6,0.17472804794088,0.2151120955293828
2026,N1,2,7,0.2189390079118311,0.2603119771835233
2026,N1,3,1,0.8818481743335724,0.3363490919928905
2026,N1,3,2,0.2688779488205909,0.1173256082721978
2026,N1,3,3,0.1445651113055646,0.0892852749213699
2026,N1,3,4,0.1425164768937975,0.1331363576502839
2026,N1,3,5,0.175768658099696,0.1356657939262626
2026,N1,3,6,0.2162973996717482,0.1703873989133795
2026,N1,3,7,0.2497641201596707,0.2329557679655138
2026,N1,4,1,0.9385536966845394,0.3379855798788307
2026,N1,4,2,0.2586092445999384,0.1049789646871326
2026,N1,4,3,0.1456833144184202,0.0987081284796403
2026,N1,4,4,0.1484063180163502,0.1329705332798406
2026,N1,4,5,0.1793805266730487,0.1680314792704976
2026,N1,4,6,0.2149766353424638,0.205116024133095
2026,N1,4,7,0.2539899727329612,0.2638538526602028
