seed,arm,fold,selected_epoch,observed_max_epoch,configured_max_epoch,hit_configured_max_epoch,selected_in_last_two_observed_epochs,selected_validation_state_loss,final_validation_state_loss,final_minus_selected_state_loss,last_three_normalized_validation_state_slope,early_stopping_reason,selection_mode,optimization_safety_pass,history_sha256,selection_sha256
2026,N3,1,3,7,12,False,False,0.0566988689594032,0.1849648474661772,0.128265978506774,0.3280269759431822,patience_exhausted_after_selected_epoch,primary,True,7c94f0fd31f5eb47639a7b30d9a70c63e3c5648205984287db086cf9a0dd6b58,34fa8b0458f30b0e9ea0e7a182ec8fbad899c1cfbecf9b500cefc3163d489a96
2026,N3,2,3,7,12,False,False,0.0751280843103227,0.2426540767850954,0.1675259924747727,0.20547576875188744,patience_exhausted_after_selected_epoch,primary,True,02e53dd81e473de3ea5b411daf341208e4358218e1d4f22393ceea5a27474d43,27e118e988ff516c829e0377331c375e99b847c3ce3ea53d4339ce02a8c938ed
2026,N3,3,3,7,12,False,False,0.0880307666957378,0.231465023534357,0.1434342568386192,0.2691311064140626,patience_exhausted_after_selected_epoch,primary,True,93e3f833068c9365d331b0653a947c4b527e46672454a63ae841f060c5ba2c17,11e655d9d850c0f8732b7f945a8a3b01cda9460962b7a2af107b9b319bfd0f12
2026,N3,4,3,7,12,False,False,0.090861414397551,0.2263068602351117,0.1354454458375607,0.16862683603552756,patience_exhausted_after_selected_epoch,primary,True,1b9b34dbb4e2dceb0f9bcbe01a3ef571845d52d59a2df46ea88c778c9a416e3f,06eeb75f602838e1e18eff2e58dfbb27405b6d04d6e1c612a83d758bb0b33de2
3026,L1,0,3,7,12,False,False,0.0818385048961836,0.2943544129202188,0.2125159080240352,0.2912032551141506,patience_exhausted_after_selected_epoch,primary,True,efe023033021fcf04d4ceaf1e30d1aba381ae3eba0f7de3312c0cd4f0dfbce0d,58937b86aa00cdde924104ce46720c1b466520a66b36f20c3bf5cd42dbff91fb
3026,L1,1,3,7,12,False,False,0.1017396406940192,0.3630501123006678,0.2613104716066486,0.24477285580066382,patience_exhausted_after_selected_epoch,primary,True,4dc7b21d8c21b02a7bba480bc41a305edb97c263bfa1b1980aad078fd497ebee,0074641901f3244a2cb689154b9b1ed8e78a3723394f53a41d3aab68682855ef
3026,L1,2,3,7,12,False,False,0.1198929551958052,0.3983180300017033,0.27842507480589807,0.24592292380979425,patience_exhausted_after_selected_epoch,primary,True,d146ce85e340bf4656b59cb5dac1c0112604c42e1c886c17aa2034a20f37e86e,4f0b9feebce18f5639d167aac1df8ff2399d0b3dd8da2c0489f60da56e7a0635
3026,L1,3,3,7,12,False,False,0.0489566521950004,0.2430211555612974,0.194064503366297,0.4799557772025159,patience_exhausted_after_selected_epoch,primary,True,0dc11cde84573553f92c3ce2fbbbc4ff9db5177c7c178b4197a5d0c40e85c6dc,5a5538f8697a6928b5cc3d578b3fb0d29636505d946f31ab4a9d5fd12720e2cb
3026,L1,4,3,7,12,False,False,0.0944462194423045,0.36786821182848,0.2734219923861755,0.34964379597177936,patience_exhausted_after_selected_epoch,primary,True,46c30725c6c006fb22f5b73ca0de0e15f2c0f86330dd5e62462a9e16de1e4a96,b333ec3eae6c7f4d07366f787dcdb02e66cf2a9c4fdba2ea20c05ec0bcb48daa
3026,L3,0,3,7,12,False,False,0.0879641164186572,0.2995701880494425,0.21160607163078532,0.35522490783493044,patience_exhausted_after_selected_epoch,fallback_base_gate_failed,False,5627871178ccda6341ed756a5e44e1948ac79ae5d414be5282db9337f15eab9a,4d1cba9148390668ba58443f306a7601a9ff5c976b55151efa7b374ea5222b10
