seed,arm,view,target,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
2026,LOCAL0,T0,HER2,808,201.0,607.0,0.5211422295442064,0.2600034921689589,0.5250641356643471,0.2820352170213299
2026,LOCAL0,T0,HR,808,453.0,355.0,0.4959363243478532,0.5652803169072781,0.5138171190498398,0.2839742603903561
2026,LOCAL0,T0,subtype_4class,808,,,0.5012513248967336,0.24888535124790473,0.26148538041660824,
2026,LOCAL0,T1,HER2,808,201.0,607.0,0.5476980828968829,0.27972305707255596,0.5390387436786414,0.2644976746236227
2026,LOCAL0,T1,HR,808,453.0,355.0,0.491042502254143,0.5611729297915544,0.4933805926064111,0.27958341154967464
2026,LOCAL0,T1,subtype_4class,808,,,0.517811338131403,0.26144737529500617,0.27227997304505885,
2026,LOCAL0,T2,HER2,808,201.0,607.0,0.5455834501299106,0.27716776945670507,0.5095978099617235,0.2516342750045311
2026,LOCAL0,T2,HR,808,453.0,355.0,0.5467027329540155,0.6014432128610135,0.5475608618599012,0.25200926724126066
2026,LOCAL0,T2,subtype_4class,808,,,0.5357608286603682,0.27522197020720396,0.2867893735639313,
2026,LOCAL0,T3,HER2,808,201.0,607.0,0.5175112903358003,0.26537419630329623,0.5280147860368667,0.2594832725256291
2026,LOCAL0,T3,HR,808,453.0,355.0,0.4893635543948014,0.5591432140237214,0.4942946864409415,0.2726382632445281
2026,LOCAL0,T3,subtype_4class,808,,,0.5309714262103717,0.26492844288688316,0.2632813848421268,
2026,LOCAL0,long_T0_T1,HER2,808,201.0,607.0,0.5536649536502004,0.28726037598744264,0.5557590957895858,0.26059382888372745
2026,LOCAL0,long_T0_T1,HR,808,453.0,355.0,0.49705562292074745,0.5558451309001655,0.49364487143612223,0.30961891850213646
2026,LOCAL0,long_T0_T1,subtype_4class,808,,,0.534065314877191,0.264607490499621,0.28852841561849385,
2026,LOCAL0,long_T0_T2,HER2,808,201.0,607.0,0.549935659429377,0.28903784922908965,0.552595342890162,0.2707553530941812
2026,LOCAL0,long_T0_T2,HR,808,453.0,355.0,0.5379784224108448,0.5843872077655258,0.5175481142928209,0.31027363301379923
2026,LOCAL0,long_T0_T2,subtype_4class,808,,,0.5364774498334228,0.26868374029224484,0.29971469934250977,
2026,LOCAL0,long_T0_T3,HER2,808,201.0,607.0,0.5445261337464243,0.3064866073661908,0.5242281180587999,0.25131602506248724
2026,LOCAL0,long_T0_T3,HR,808,453.0,355.0,0.5347324565494512,0.5839843126785955,0.5243820539128813,0.33290661037345054
2026,LOCAL0,long_T0_T3,subtype_4class,808,,,0.549915917322843,0.27969429212731417,0.30379337871220374,
2026,LOCAL3,T0,HER2,808,201.0,607.0,0.524461711213291,0.2576334205046974,0.5383133754620637,0.266509762018985
2026,LOCAL3,T0,HR,808,453.0,355.0,0.5359325933526102,0.5934846044065184,0.5182787675279048,0.27148466474810623
2026,LOCAL3,T0,subtype_4class,808,,,0.5108044567783561,0.25073276372742975,0.23915296221184237,
2026,LOCAL3,T1,HER2,808,201.0,607.0,0.5397067381379757,0.27770945871329755,0.5142942618046505,0.2560888960902949
