population,seed,arm,timing,n,mse,r2,pearson,spearman,clinical_auroc,corrected_auroc,delta_auroc,clinical_auprc,corrected_auprc,delta_auprc,clinical_brier,corrected_brier,brier_improvement
ftv_complete_375,2026,LOCAL0,T0,375,0.20820130498187692,-0.023765926638646073,-0.024646148460578263,-0.05069223469020794,0.6966723842195541,0.5357461406518012,-0.16092624356775298,0.5362125873999827,0.3279171823376615,-0.2082954050623212,0.2430950945429407,0.20820130498187692,0.03489378956106379
ftv_complete_375,2026,LOCAL0,T1,375,0.2080372584005003,-0.02295927799439479,0.02870068372349537,-0.021223691116588048,0.6966723842195541,0.5420583190394511,-0.154614065180103,0.5362125873999827,0.3503972371654279,-0.18581535023455475,0.2430950945429407,0.2080372584005003,0.0350578361424404
ftv_complete_375,2026,LOCAL0,T2,375,0.21707710039305736,-0.06740992260002154,0.04750066058071404,-0.0006849471708894311,0.6966723842195541,0.5526586620926244,-0.14401372212692976,0.5362125873999827,0.3239554857660942,-0.2122571016338885,0.2430950945429407,0.21697348515648923,0.026121609386451472
ftv_complete_375,2026,LOCAL0,T3,375,0.21842249895854124,-0.07402550653793605,0.060035023258249026,0.0072368878412661574,0.6966723842195541,0.5593825042881647,-0.1372898799313894,0.5362125873999827,0.3331110652272131,-0.20310152217276956,0.2430950945429407,0.21820371127758287,0.024891383265357836
ftv_complete_375,2026,LOCAL3,T0,375,0.20981242247858423,-0.03168810175221637,-0.056042881725691066,-0.06515690808475501,0.6966723842195541,0.5170840480274443,-0.1795883361921098,0.5362125873999827,0.31592023157794596,-0.2202923558220367,0.2430950945429407,0.20981242247858423,0.03328267206435648
ftv_complete_375,2026,LOCAL3,T1,375,0.20897944553742373,-0.027592193659276898,0.022709918130610324,-0.014411766345632853,0.6966723842195541,0.5393481989708405,-0.1573241852487136,0.5362125873999827,0.3452456766444426,-0.19096691075554006,0.2430950945429407,0.20897944553742373,0.034115649005516974
ftv_complete_375,2026,LOCAL3,T2,375,0.21733133514532307,-0.06866004385531221,0.0499570716365134,-0.004275003330868538,0.6966723842195541,0.5480789022298457,-0.14859348198970845,0.5362125873999827,0.32902329948651743,-0.20718928791346525,0.2430950945429407,0.217001340925373,0.026093753617567716
ftv_complete_375,2026,LOCAL3,T3,375,0.21834178882412614,-0.07362863925818575,0.06367344807439941,0.0006149733320028862,0.6966723842195541,0.557221269296741,-0.13945111492281315,0.5362125873999827,0.33797642774647463,-0.19823615965350805,0.2430950945429407,0.21806321317854596,0.025031881364394742
ftv_complete_375,3026,LOCAL0,T0,375,0.20848420731423747,-0.025157011908080396,-0.013996568009384668,-0.0205401092888964,0.6966723842195541,0.5347512864493997,-0.1619210977701544,0.5362125873999827,0.33036763813503045,-0.20584494926495223,0.2430950945429407,0.20848256903192547,0.034612525511015235
ftv_complete_375,3026,LOCAL0,T1,375,0.21095122226626856,-0.0372877996983747,0.018073031695921324,-0.005479236031316002,0.6966723842195541,0.5308061749571183,-0.16586620926243578,0.5362125873999827,0.3455620882475574,-0.19065049915242527,0.2430950945429407,0.21095121657304117,0.03214387796989954
