population,seed,arm,timing,clinical_contract,comparison,reference_model,comparison_model,n,delta_auroc,delta_auprc,brier_improvement
full_808,2026,LOCAL0,T0,C2_full_with_treatment,C+M_vs_C,C,C+M,808,-0.004465290806754285,-0.05213305866477608,0.004946087221891687
full_808,2026,LOCAL0,T1,C2_full_with_treatment,C+M_vs_C,C,C+M,808,0.006621183694354382,-0.04544495923400893,0.013640201381205752
full_808,2026,LOCAL0,T2,C2_full_with_treatment,C+M_vs_C,C,C+M,808,-0.01752345215759854,-0.057211187061044166,0.0010831590340116548
full_808,2026,LOCAL0,T3,C2_full_with_treatment,C+M_vs_C,C,C+M,808,-0.01624083233839324,-0.06784178308639349,-0.004828939669398763
full_808,2026,LOCAL3,T0,C2_full_with_treatment,C+M_vs_C,C,C+M,808,0.0027119222241173135,-0.038662538850998907,0.011561417953445452
full_808,2026,LOCAL3,T1,C2_full_with_treatment,C+M_vs_C,C,C+M,808,0.00914548865768372,-0.043274458453857245,0.014243368479975788
full_808,2026,LOCAL3,T2,C2_full_with_treatment,C+M_vs_C,C,C+M,808,-0.007446699641821541,-0.04241201137398798,0.007295107330862749
full_808,2026,LOCAL3,T3,C2_full_with_treatment,C+M_vs_C,C,C+M,808,-0.0010608903291831062,-0.025682361287146294,0.009897268013737914
full_808,3026,LOCAL0,T0,C2_full_with_treatment,C+M_vs_C,C,C+M,808,-0.011055773494797916,-0.04937694382137431,0.004243856825236869
full_808,3026,LOCAL0,T1,C2_full_with_treatment,C+M_vs_C,C,C+M,808,-0.026720109159133698,-0.05734828513355572,-0.005280711123432452
full_808,3026,LOCAL0,T2,C2_full_with_treatment,C+M_vs_C,C,C+M,808,0.01070782875660925,-0.0007393172341079168,0.01925364003623231
full_808,3026,LOCAL0,T3,C2_full_with_treatment,C+M_vs_C,C,C+M,808,-0.041729490022172966,-0.06401831663298407,-0.01377656653585338
full_808,3026,LOCAL3,T0,C2_full_with_treatment,C+M_vs_C,C,C+M,808,0.02212860310421294,-0.003014861040912753,0.022279192316730284
full_808,3026,LOCAL3,T1,C2_full_with_treatment,C+M_vs_C,C,C+M,808,-0.01908579225652396,-0.05689350006046545,-0.004249208701326224
full_808,3026,LOCAL3,T2,C2_full_with_treatment,C+M_vs_C,C,C+M,808,0.023295241344021722,0.008644968261156238,0.023198084782425438
full_808,3026,LOCAL3,T3,C2_full_with_treatment,C+M_vs_C,C,C+M,808,-0.027989084086645133,-0.05760911378338085,-0.008692884738635775
