population,seed,arm,timing,model,clinical_contract,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
ftv_complete_375,2026,LOCAL3,T0,C+F+M_residual,C2_full_with_treatment,375,110,265,0.5523327615780447,0.32677286788558535,0.5554030874785592,0.2806328260396343
ftv_complete_375,2026,LOCAL3,T0,C+M,C2_full_with_treatment,375,110,265,0.5754716981132075,0.35381418256711633,0.5753859348198971,0.25220848621925285
ftv_complete_375,2026,LOCAL3,T0,C+M_error_correction,C2_full_with_treatment,375,110,265,0.5170840480274443,0.31592023157794596,0.5,0.20981242247858423
ftv_complete_375,2026,LOCAL3,T0,F,C2_full_with_treatment,375,110,265,0.5020926243567754,0.2921751272631997,0.5,0.24948439956033697
ftv_complete_375,2026,LOCAL3,T0,M,C2_full_with_treatment,375,110,265,0.5036020583190395,0.29568930983362657,0.5123499142367067,0.31405110302620803
ftv_complete_375,2026,LOCAL3,T0,M_residual,C2_full_with_treatment,375,110,265,0.4866552315608919,0.27959050764487714,0.49005145797598626,0.29999588647339426
ftv_complete_375,2026,LOCAL3,T1,C,C2_full_with_treatment,375,110,265,0.6966723842195541,0.5362125873999827,0.6563464837049743,0.2430950945429407
ftv_complete_375,2026,LOCAL3,T1,C+F,C2_full_with_treatment,375,110,265,0.6971526586620925,0.5259975356624463,0.6684391080617496,0.19795462758831528
ftv_complete_375,2026,LOCAL3,T1,C+F+M,C2_full_with_treatment,375,110,265,0.6482332761578045,0.4209662162244224,0.6216123499142368,0.2187685498014889
ftv_complete_375,2026,LOCAL3,T1,C+F+M_residual,C2_full_with_treatment,375,110,265,0.639622641509434,0.4352283286116387,0.6318181818181818,0.22044218759442122
ftv_complete_375,2026,LOCAL3,T1,C+M,C2_full_with_treatment,375,110,265,0.62483704974271,0.4040585680087159,0.5916809605488851,0.2274952690889509
ftv_complete_375,2026,LOCAL3,T1,C+M_error_correction,C2_full_with_treatment,375,110,265,0.5393481989708405,0.3452456766444426,0.5053173241852487,0.20897944553742373
ftv_complete_375,2026,LOCAL3,T1,F,C2_full_with_treatment,375,110,265,0.6593481989708404,0.4223046318898934,0.5106346483704974,0.19643059789657363
ftv_complete_375,2026,LOCAL3,T1,M,C2_full_with_treatment,375,110,265,0.5239451114922813,0.3268956615625282,0.5479416809605488,0.28004981894835856
ftv_complete_375,2026,LOCAL3,T1,M_residual,C2_full_with_treatment,375,110,265,0.5126243567753002,0.3385309013524375,0.513893653516295,0.2697400968818652
ftv_complete_375,2026,LOCAL3,T2,C,C2_full_with_treatment,375,110,265,0.6966723842195541,0.5362125873999827,0.6563464837049743,0.2430950945429407
ftv_complete_375,2026,LOCAL3,T2,C+F,C2_full_with_treatment,375,110,265,0.726106346483705,0.5400010651611841,0.6673241852487135,0.1887354938947084
ftv_complete_375,2026,LOCAL3,T2,C+F+M,C2_full_with_treatment,375,110,265,0.6220583190394511,0.40821731043473697,0.5713550600343053,0.26047565228365027
ftv_complete_375,2026,LOCAL3,T2,C+F+M_residual,C2_full_with_treatment,375,110,265,0.6040137221269296,0.3923434598489296,0.5710120068610635,0.24343024345057204
ftv_complete_375,2026,LOCAL3,T2,C+M,C2_full_with_treatment,375,110,265,0.6015094339622642,0.37945359417725766,0.5611492281303602,0.2602240434223839
