seed_base,arm,analysis_scope,task,endpoint,target_semantics,scale,aggregation,n_test,spearman,pearson,r2,rmse,mae,b0_rmse,rmse_gain_over_b0,prediction_target_variance_ratio,calibration_slope,calibration_intercept,calibration_mean_bias
2026,L1,primary_measurement_valid,delta,T0→T1,literal_ftv_end_minus_ftv_start,natural,pooled_5fold_oof,375,0.2863320059164865,0.1827824034023509,0.023493762156316822,25.03193156638487,13.205221498555995,25.477864188497076,0.017502747436480132,0.07970708025585078,0.05160393671547214,-10.526065817250103,-0.0671685511908945
2026,L1,primary_measurement_valid,delta,T1→T2,literal_ftv_end_minus_ftv_start,natural,pooled_5fold_oof,375,0.2123472522471271,0.2108260814143431,0.03376647582749914,16.900543207427397,9.670328620532166,17.219808801872187,0.01854060042815798,0.09808396025483916,0.06602726877692265,-8.264680028414283,-0.2456307197567248
2026,L1,primary_measurement_valid,delta,T2→T3,literal_ftv_end_minus_ftv_start,natural,pooled_5fold_oof,375,0.12383934463533963,0.03911806875863382,-0.012648186165879816,27.562321693305964,9.074846135186307,27.537956917151757,-0.0008847706541015203,0.0247057520232847,0.0061486028879885,-5.803125642681266,-0.4240002223843207
2026,L3,primary_measurement_valid,delta,T0→T1,literal_ftv_end_minus_ftv_start,natural,pooled_5fold_oof,375,0.3842769370804414,0.21677530846023263,0.04299872837214036,24.78067371036358,12.863431585714556,25.477864188497076,0.027364557443879802,0.07821566924367024,0.06062569017009342,-10.20535742264233,0.15404808444139675
2026,L3,primary_measurement_valid,delta,T1→T2,literal_ftv_end_minus_ftv_start,natural,pooled_5fold_oof,375,0.30692706792581637,0.26496359909934164,0.060089801088627826,16.66874082395242,9.26206562433331,17.219808801872187,0.03200198006030441,0.13317199583014777,0.0966924731606104,-7.946558051981764,-0.19079885639938066
2026,L3,primary_measurement_valid,delta,T2→T3,literal_ftv_end_minus_ftv_start,natural,pooled_5fold_oof,375,0.1472643076572989,0.0396064319841193,-0.013529160928042128,27.574308299971992,8.814884114475177,27.537956917151757,-0.001320046470026781,0.026233333701239776,0.006414937978435374,-5.684769641144022,-0.3070857339943155
2026,N1,primary_measurement_valid,delta,T0→T1,literal_ftv_end_minus_ftv_start,natural,pooled_5fold_oof,375,0.029997724428262602,-0.02290751356590582,-0.021229307557090182,25.598733956400544,13.86255004515034,25.477864188497076,-0.004744109121911363,0.015494711741287163,-0.0028514758844527767,-11.20192678425342,-0.1424960617487997
2026,N1,primary_measurement_valid,delta,T1→T2,literal_ftv_end_minus_ftv_start,natural,pooled_5fold_oof,375,0.15680031858004326,0.1463380668618917,-0.10189117630738687,18.047995148731157,10.300866597642452,17.219808801872187,-0.04809497924093836,0.24640920573063174,0.07264166301130018,-8.43789417321964,-0.475635766201056
2026,N1,primary_measurement_valid,delta,T2→T3,literal_ftv_end_minus_ftv_start,natural,pooled_5fold_oof,375,0.036668562976447834,-0.03337192427540009,-0.059903668744030414,28.1980905239891,10.061335263630141,27.537956917151757,-0.023971771356290666,0.04538658911035999,-0.0071095976302334935,-5.923611111069577,-0.4727269513451882
2026,N3,primary_measurement_valid,delta,T0→T1,literal_ftv_end_minus_ftv_start,natural,pooled_5fold_oof,375,0.07168892934349755,0.033438142394703566,-0.008572884256753621,25.439612737194793,13.822793128474595,25.477864188497076,0.0015013602011252336,0.0172964582865971,0.004397650739071516,-11.194023150646405,-0.21453568556265615
2026,N3,primary_measurement_valid,delta,T1→T2,literal_ftv_end_minus_ftv_start,natural,pooled_5fold_oof,375,0.21786414836727727,0.23677880523651862,0.02786053129774635,16.952115425162212,9.642154970946098,17.219808801872187,0.015545664867130833,0.16373113987896068,0.09580947656476761,-7.853144908959713,-0.08980434295319735
2026,N3,primary_measurement_valid,delta,T2→T3,literal_ftv_end_minus_ftv_start,natural,pooled_5fold_oof,375,0.07324678575492093,-0.019771950822991442,-0.05055384513627281,28.073441844749635,9.866198845888285,27.537956917151757,-0.01944533972541573,0.04221774738316876,-0.00406253438700955,-5.832277208090837,-0.39788498609124867
3026,L1,primary_measurement_valid,delta,T0→T1,literal_ftv_end_minus_ftv_start,natural,pooled_5fold_oof,375,0.3187224940266242,0.20497087921581697,0.0253014257690255,25.00875185162111,13.60257482379269,25.477864188497076,0.018412545628050107,0.11171660531939528,0.06850953649290521,-10.24660609497315,0.025856475563454297
3026,L1,primary_measurement_valid,delta,T1→T2,literal_ftv_end_minus_ftv_start,natural,pooled_5fold_oof,375,0.15323313232449653,0.20671878304207053,0.03889952194267454,16.8555919676363,9.785508191040387,17.219808801872187,0.02115103822734012,0.07039418746672779,0.05484642691636402,-8.458545873838448,-0.34349834254037453
3026,L1,primary_measurement_valid,delta,T2→T3,literal_ftv_end_minus_ftv_start,natural,pooled_5fold_oof,375,0.0956550233246103,0.019621475500359305,-0.0170608048456089,27.62230788248519,9.18390801673912,27.537956917151757,-0.0030630800094286555,0.022692655338134884,0.002955795073528861,-5.854509591527467,-0.4581034049843905
3026,L3,primary_measurement_valid,delta,T0→T1,literal_ftv_end_minus_ftv_start,natural,pooled_5fold_oof,375,0.3799203549891911,0.2044770941994037,0.017860283330555116,25.104032518463537,13.450111178098707,25.477864188497076,0.014672802526450354,0.1290510847558565,0.07345569878123608,-10.222265390217085,-0.004349021670975769
3026,L3,primary_measurement_valid,delta,T1→T2,literal_ftv_end_minus_ftv_start,natural,pooled_5fold_oof,375,0.3079249061326658,0.2666921645848152,0.06660896408364259,16.610833525748383,9.39890160955085,17.219808801872187,0.0353648105580356,0.10791228899473704,0.08760839189501574,-8.287192571996759,-0.45343784918173113
3026,L3,primary_measurement_valid,delta,T2→T3,literal_ftv_end_minus_ftv_start,natural,pooled_5fold_oof,375,0.2733252929798612,0.09175716324261304,0.0018673893505376515,27.364065743845277,8.432662627419301,27.537956917151757,0.006314599657107211,0.029820080129756257,0.015845078004586587,-5.371537553543074,-0.0448933753498618
3026,N1,primary_measurement_valid,delta,T0→T1,literal_ftv_end_minus_ftv_start,natural,pooled_5fold_oof,375,0.043362839913528274,-0.04171325739874282,-0.03697904479626546,25.7953747767925,13.97378987066198,25.477864188497076,-0.012462213706232697,0.024037636222937645,-0.006467254989482111,-11.16583848679736,-0.0665330076796707
3026,N1,primary_measurement_valid,delta,T1→T2,literal_ftv_end_minus_ftv_start,natural,pooled_5fold_oof,375,0.12938878143133462,0.2999506802154922,0.08958322015755671,16.405132396612952,9.64743390636208,17.219808801872187,0.04731042107567772,0.07856570952191111,0.08407490197294591,-7.880169243950786,-0.01607613012126357
