seed_base,fold,task,endpoint,target_semantics,metric,L3_minus_L1,N3_minus_N1,N1_minus_L1,difference_in_differences
2026,0,delta,T0→T1,literal_ftv_end_minus_ftv_start,spearman,0.13346729996346363,-0.0028498355864085,-0.28947753014249167,-0.13631713554987213
2026,0,delta,T1→T2,literal_ftv_end_minus_ftv_start,spearman,0.09722323712093522,0.04278407014979907,-0.04117647058823537,-0.054439166971136155
2026,0,delta,T2→T3,literal_ftv_end_minus_ftv_start,spearman,-0.1677383997077092,0.020094994519547,0.08074534161490671,0.1878333942272562
2026,0,delta,macro,literal_ftv_end_minus_ftv_start,spearman,0.0209840457922299,0.020009743027645896,-0.08330288637194011,-0.0009743027645840036
2026,0,static,T0,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.02553891121666052,-0.05911582024113998,-0.41465107782243343,-0.0846547314578005
2026,0,static,T1,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.04596273291925479,-0.05060284983558638,-0.0732188527584946,-0.09656558275484117
2026,0,static,T2,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.06459627329192552,-0.05217391304347829,-0.35232005845816594,-0.11677018633540381
2026,0,static,T3,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.09404457435147967,0.0676653270003654,-0.2425283156740958,-0.02637924735111427
2026,0,static,macro,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.057535622944830056,-0.023556814029959905,-0.27067957617829747,-0.08109243697478996
2026,1,delta,T0→T1,literal_ftv_end_minus_ftv_start,spearman,-0.06608667890494058,0.0668050123712986,-0.4971266661345679,0.13289169127623918
2026,1,delta,T1→T2,literal_ftv_end_minus_ftv_start,spearman,0.0893926091467794,0.15583845478489908,0.04481602681778271,0.06644584563811967
2026,1,delta,T2→T3,literal_ftv_end_minus_ftv_start,spearman,0.03926889616090662,0.07115492058424461,-0.2141032803894965,0.03188602442333799
2026,1,delta,macro,literal_ftv_end_minus_ftv_start,spearman,0.0208582754675819,0.0979327959134807,-0.2221379732354272,0.0770745204458988
2026,1,static,T0,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.04725037912044061,0.09346316545614164,-0.28785218293558945,0.04621278633570103
2026,1,static,T1,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.01923537393247665,-0.0134887062016123,-0.2954345917471466,-0.03272408013408895
2026,1,static,T2,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.11102242796711637,0.053635565488067694,-0.2965519993614814,-0.05738686247904867
2026,1,static,T3,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,-0.06053954824806451,0.21745550323250068,-0.3841088674275682,0.2779950514805652
2026,1,static,macro,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.02924215819299225,0.0877663819937744,-0.31598691036794635,0.05852422380078215
2026,2,delta,T0→T1,literal_ftv_end_minus_ftv_start,spearman,0.1856135342764787,0.0390831619159565,-0.25332689643591777,-0.1465303723605222
2026,2,delta,T1→T2,literal_ftv_end_minus_ftv_start,spearman,0.04380588556315862,0.044729440409722515,-0.0950631795474581,0.0009235548465638954
2026,2,delta,T2→T3,literal_ftv_end_minus_ftv_start,spearman,0.06727257461903369,0.021388690651106212,-0.3393434364636244,-0.045883883967927475
2026,2,delta,macro,literal_ftv_end_minus_ftv_start,spearman,0.0988973314862237,0.0350670976589283,-0.2292445041490001,-0.06383023382729541
