arm,seed_base,fold,selected_epoch,selected_validation_total_loss,selected_validation_base_loss,selected_validation_state_loss,paired_baseline_arm,paired_baseline_state_loss,state_loss_degradation_fraction,base_degradation_fraction,state_loss_degradation_gt_5pct,selected_validation_ftv_loss,selected_representation_std,selection_mode,finite,optimization_safety_pass
L1,2026,0,3,1.0418980239836637,1.0418980239836637,0.10225908119570125,L1,0.10225908119570125,0.0,0.0,False,0.0,0.5952919721603394,primary,True,True
L3,2026,0,3,1.1089959837815115,1.070960344361865,0.10161836630056713,L1,0.10225908119570125,-0.006265603872461334,-0.006265603872461334,False,0.15214255767858634,0.5814296007156372,primary,True,True
N1,2026,0,3,0.8146919672154198,0.8146919672154198,0.09210101668992318,N1,0.09210101668992318,0.0,0.0,False,0.0,0.6500037312507629,primary,True,True
N3,2026,0,3,0.8809220185564678,0.8226572117529625,0.09198601605478397,N1,0.09210101668992318,-0.0012486358921137697,-0.0012486358921137697,False,0.2330592272140212,0.6429906487464905,primary,True,True
L1,2026,1,2,1.211029056675178,1.211029056675178,0.09274001204031558,L1,0.09274001204031558,0.0,0.0,False,0.0,0.16066934168338776,primary,True,True
L3,2026,1,2,1.2325642124404699,1.2055776424644407,0.09353212421098031,L1,0.09274001204031558,0.00854121272186581,0.00854121272186581,False,0.10794627990411676,0.20224027335643768,primary,True,True
N1,2026,1,3,1.0756367287359947,1.0756367287359947,0.06458559164330979,N1,0.06458559164330979,0.0,0.0,False,0.0,0.350123792886734,primary,True,True
N3,2026,1,3,1.1662187414168632,1.1200522371560089,0.05669886895940324,N1,0.06458559164330979,-0.1221127264338302,-0.1221127264338302,False,0.18466601704341779,0.2473500519990921,primary,True,True
L1,2026,2,2,1.1814871455027052,1.1814871455027052,0.08744172345508229,L1,0.08744172345508229,0.0,0.0,False,0.0,0.22828340530395508,primary,True,True
L3,2026,2,3,1.0432599968100333,1.0126045124589904,0.08470901415860357,L1,0.08744172345508229,-0.031251777624013544,-0.031251777624013544,False,0.12262193740417178,0.4867887496948242,primary,True,True
N1,2026,2,3,0.945909075007951,0.945909075007951,0.07778055510245079,N1,0.07778055510245079,0.0,0.0,False,0.0,0.6521030068397522,primary,True,True
N3,2026,2,3,1.011993843948043,0.9513468303956276,0.07512808431032275,N1,0.07778055510245079,-0.03410197816966287,-0.03410197816966287,False,0.24258805420966104,0.633955180644989,primary,True,True
L1,2026,3,3,0.8710140649937401,0.8710140649937401,0.10983029728339723,L1,0.10983029728339723,0.0,0.0,False,0.0,0.6588650345802307,primary,True,True
L3,2026,3,3,0.9040538740292992,0.8697232387282632,0.11492462259186201,L1,0.10983029728339723,0.0463836066592791,0.0463836066592791,False,0.13732254120414375,0.6600824594497681,primary,True,True
N1,2026,3,3,0.8052501772060867,0.8052501772060867,0.08928527492136995,N1,0.08928527492136995,0.0,0.0,False,0.0,0.653108537197113,primary,True,True
N3,2026,3,3,0.8553608993434003,0.8004791002628232,0.08803076669573784,N1,0.08928527492136995,-0.0140505612682148,-0.0140505612682148,False,0.21952719632230822,0.6519325971603394,primary,True,True
L1,2026,4,3,0.8584595406351011,0.8584595406351011,0.11604235727678645,L1,0.11604235727678645,0.0,0.0,False,0.0,0.6368452310562134,primary,True,True
L3,2026,4,3,0.9139929375311068,0.8757046337955254,0.1088281279383612,L1,0.11604235727678645,-0.062168931308571485,-0.062168931308571485,False,0.15315321494232526,0.6174213290214539,primary,True,True
N1,2026,4,3,0.7824076281106176,0.7824076281106176,0.09870812847964035,N1,0.09870812847964035,0.0,0.0,False,0.0,0.654904305934906,primary,True,True
N3,2026,4,3,0.848552192502319,0.7860200469158898,0.09086141439755101,N1,0.09870812847964035,-0.07949410249134459,-0.07949410249134459,False,0.2501285823457169,0.63369220495224,primary,True,True
L1,3026,0,3,0.9525667241782196,0.9525667241782196,0.08183850489618365,L1,0.08183850489618365,0.0,0.0,False,0.0,0.6659944653511047,primary,True,True
L3,3026,0,3,0.9997153795621835,0.964543177569208,0.08796411641865723,L1,0.08183850489618365,0.07484999304721218,0.07484999304721218,True,0.1406888079719018,0.6540179252624512,fallback_base_gate_failed,True,False
N1,3026,0,3,0.8330374094080334,0.8330374094080334,0.06269464888109648,N1,0.06269464888109648,0.0,0.0,False,0.0,0.671273946762085,primary,True,True
N3,3026,0,2,1.2165518208778794,1.1608278495221098,0.06539959183409194,N1,0.06269464888109648,0.04314471811024134,0.04314471811024134,False,0.22289588542307837,0.21932192146778107,primary,True,True
L1,3026,1,3,0.8094781735711847,0.8094781735711847,0.10173964069401922,L1,0.10173964069401922,0.0,0.0,False,0.0,0.6590346693992615,primary,True,True
L3,3026,1,3,0.8733497958021043,0.8319021837770446,0.10080055923255021,L1,0.10173964069401922,-0.009230241576076437,-0.009230241576076437,False,0.1657904481002386,0.6571289896965027,primary,True,True
N1,3026,1,3,0.7780045320179837,0.7780045320179837,0.07206082898230592,N1,0.07206082898230592,0.0,0.0,False,0.0,0.655225932598114,primary,True,True
N3,3026,1,3,0.829494314663561,0.7808895958356621,0.07162842881088415,N1,0.07206082898230592,-0.006000488441896157,-0.006000488441896157,False,0.1944188753115958,0.6473916172981262,primary,True,True
L1,3026,2,3,0.8759982738613097,0.8759982738613097,0.11989295519580526,L1,0.11989295519580526,0.0,0.0,False,0.0,0.6423199772834778,primary,True,True
L3,3026,2,3,0.9213160882944932,0.8841026479547675,0.12136853301574375,L1,0.11989295519580526,0.01230746058038723,0.01230746058038723,False,0.148853761358903,0.650337278842926,primary,True,True
N1,3026,2,2,1.0567540807172286,1.0567540807172286,0.11617436758742845,N1,0.11617436758742845,0.0,0.0,False,0.0,0.47824135422706604,primary,True,True
N3,3026,2,2,1.12814863059519,1.0664138434347041,0.11379961903430214,N1,0.11617436758742845,-0.02044124364472366,-0.02044124364472366,False,0.24693914864194363,0.4600721299648285,primary,True,True
L1,3026,3,3,1.1298264767512802,1.1298264767512802,0.04895665219500045,L1,0.04895665219500045,0.0,0.0,False,0.0,0.22793813049793243,primary,True,True
L3,3026,3,2,1.2100134105265141,1.1822218205317978,0.06414090127738054,L1,0.04895665219500045,0.31015701445228183,0.31015701445228183,True,0.1111663599788654,0.19019393622875214,fallback_base_gate_failed,True,False
N1,3026,3,2,1.1309931760977123,1.1309931760977123,0.06144149866232202,N1,0.06144149866232202,0.0,0.0,False,0.0,0.2420918196439743,primary,True,True
N3,3026,3,3,0.9112761541618098,0.8560092340816151,0.061815645792021236,N1,0.06144149866232202,0.0060894857359437005,0.0060894857359437005,False,0.22106768032077884,0.5960329174995422,primary,True,True
L1,3026,4,3,1.0058800563339358,1.0058800563339358,0.0944462194423045,L1,0.0944462194423045,0.0,0.0,False,0.0,0.5420336723327637,primary,True,True
L3,3026,4,3,1.0710961133903587,1.0319684413838979,0.09443943990656167,L1,0.0944462194423045,-7.178197055268676e-05,-7.178197055268676e-05,False,0.156510688025843,0.4941073954105377,primary,True,True
N1,3026,4,3,0.8201029014981482,0.8201029014981482,0.08470556727987676,N1,0.08470556727987676,0.0,0.0,False,0.0,0.6891661286354065,primary,True,True
N3,3026,4,3,0.8807771763515455,0.8204207710983339,0.08448296643732008,N1,0.08470556727987676,-0.0026279363884216256,-0.0026279363884216256,False,0.24142562101284662,0.6815463900566101,primary,True,True
