aggregation_level,model_name,run_name,fold,transition,n_patient_transitions,n_patients,normalized_learned_error_sum,normalized_copy_error_sum,normalized_aggregate_gain,raw_learned_mse_sum,raw_copy_mse_sum,raw_aggregate_gain,mean_patient_step_normalized_gain,median_patient_step_normalized_gain,positive_patient_step_gain_fraction,mean_normalized_learned_error,mean_normalized_copy_error,mean_raw_learned_mse,mean_raw_copy_mse,predicted_delta_norm_mean,predicted_delta_norm_std,target_delta_norm_mean,target_delta_norm_std,delta_norm_ratio_mean,delta_norm_ratio_median,delta_cosine_mean,delta_cosine_std,delta_cosine_median,gain_definition
fold_test,m0,m0_final,0,T0→T1,162,162,16.882558435201638,14.16759473178535,-0.19163194281137924,1.7133600804954692,1.3696791090769609,-0.25092079534608513,-0.899736287428733,-0.5421482920646667,0.29012345679012347,0.10421332367408419,0.0874542884678108,0.010576296793181908,0.008454809315289882,1.2749153658931638,0.24835968730658178,1.157208995686637,0.5347484284846018,1.281189990448363,1.2196053266525269,0.35718468610013343,0.2275158533764942,0.3637329339981079,"(sum(copy_error)-sum(learned_error))/max(sum(copy_error),1e-8)"
fold_test,m0,m0_final,0,T1→T2,162,162,17.35556631535291,13.623170484788709,-0.27397409690583413,1.7218126498628328,1.304175543715238,-0.3202307451325619,-1.1100694771660606,-0.6376758217811584,0.2839506172839506,0.10713312540341302,0.08409364496783153,0.010628473147301436,0.008050466319229864,1.3411413607773957,0.31219645308351746,1.1224672454006879,0.5362198331930432,1.3641683961506244,1.2441644072532654,0.3716048089856351,0.24086607057186823,0.38972167670726776,"(sum(copy_error)-sum(learned_error))/max(sum(copy_error),1e-8)"
fold_test,m0,m0_final,0,T2→T3,162,162,18.591484334319823,14.219709265977137,-0.30744475759450557,1.8410910959355453,1.3358602762455045,-0.37820633540359083,-1.1412220324625342,-0.5932481586933136,0.2345679012345679,0.11476224897728286,0.08777598312331567,0.011364759851453984,0.008246051087935214,1.370533687097055,0.3454517051089121,1.1548487965339496,0.5011149206696457,1.3497903207202016,1.2826523780822754,0.33596473184333725,0.25708357071076626,0.3540523648262024,"(sum(copy_error)-sum(learned_error))/max(sum(copy_error),1e-8)"
fold_test,m0,m0_final,0,全部,486,162,52.82960908487438,42.0104744825512,-0.2575342158255517,5.276263826293847,4.009714929037704,-0.31587006050829225,-1.0503425990191093,-0.5767109394073486,0.26954732510288065,0.10870289935159337,0.08644130551965268,0.010856509930645776,0.008250442240818322,1.3288634712558716,0.3066730547386032,1.1448416792070915,0.5234369078116331,1.331716235773063,1.2471551299095154,0.35491807564303524,0.24206802359146884,0.3705987483263016,"(sum(copy_error)-sum(learned_error))/max(sum(copy_error),1e-8)"
fold_test,m0,m0_final,1,T0→T1,162,162,6.653952165506773,5.076383631676428,-0.31076621632501944,1.03152776276692,0.46406084555200444,-1.2228286929484615,-0.7003487177591277,-0.4680913239717483,0.20987654320987653,0.041073778799424525,0.031335701430101406,0.006367455325721728,0.0028645731206913853,1.0876619587709875,0.1258449281358307,0.7041657666365305,0.23342010013428244,1.6715700563825207,1.6521835327148438,0.3031450346526172,0.1499261163289059,0.31014886498451233,"(sum(copy_error)-sum(learned_error))/max(sum(copy_error),1e-8)"
fold_test,m0,m0_final,1,T1→T2,162,162,7.420344308949999,5.958186382893466,-0.24540318682452283,1.0841453545726756,0.5359851861139688,-1.0227151470976459,-0.6629444471255727,-0.41411159932613373,0.2716049382716049,0.045804594499691355,0.036778928289465836,0.006692255275139973,0.003308550531567709,1.1059829261567857,0.12457449235747999,0.749719218707379,0.2713249428365458,1.6254053123203325,1.623859167098999,0.3161733078448401,0.1693340563574241,0.318806454539299,"(sum(copy_error)-sum(learned_error))/max(sum(copy_error),1e-8)"
fold_test,m0,m0_final,1,T2→T3,162,162,8.664963630959384,5.901463180314742,-0.46827377655472496,1.1472838497720579,0.527041665394782,-1.1768370986621746,-1.0541127285011758,-0.7026584446430206,0.21604938271604937,0.05348742982073694,0.03642878506367125,0.007081999072667024,0.003253343613548037,1.133658532375171,0.15821463702034663,0.7441893919014636,0.26695322143970396,1.678738350485578,1.604375958442688,0.29536533241884577,0.18305871575361451,0.3052787035703659,"(sum(copy_error)-sum(learned_error))/max(sum(copy_error),1e-8)"
fold_test,m0,m0_final,1,全部,486,162,22.739260105416157,16.936033194884637,-0.34265561739004674,3.2629569671116534,1.5270876970607554,-1.1367187839912485,-0.8058019644619586,-0.5323089957237244,0.23251028806584362,0.046788601039950944,0.03484780492774617,0.006713903224509575,0.003142155755269044,1.1091011391009813,0.1381179853566607,0.7326914590817911,0.2580584377782053,1.658571239729477,1.620813965797424,0.3048945583054344,0.16786380024041253,0.31002968549728394,"(sum(copy_error)-sum(learned_error))/max(sum(copy_error),1e-8)"
fold_test,m0,m0_final,2,T0→T1,162,162,13.334822498261921,6.064511558972292,-1.198828771054676,2.8356121545657436,0.7130615766509355,-2.9766722081476824,-2.1195646103264556,-1.6370187997817993,0.07407407407407407,0.08231371912507358,0.037435256536866,0.017503778731887305,0.004401614670684787,1.817515637403653,0.18033228465485518,0.8613559886997129,0.32220601922018866,2.328753833049609,2.232831358909607,0.2296939270684415,0.14024543945361162,0.23565836995840073,"(sum(copy_error)-sum(learned_error))/max(sum(copy_error),1e-8)"
fold_test,m0,m0_final,2,T1→T2,162,162,14.680173013359301,6.192744001746171,-1.3705441415340158,2.8840775415301243,0.7223208901705138,-2.992792650437256,-2.3102622387332863,-1.5577975511550903,0.04938271604938271,0.09061835193431668,0.03822681482559365,0.01780294778722299,0.00445877092697848,1.8198263748192494,0.18786459085282148,0.8717439318144763,0.31103651491902334,2.3121368800416406,2.200997233390808,0.22138416486861254,0.13399556839842738,0.21634182333946225,"(sum(copy_error)-sum(learned_error))/max(sum(copy_error),1e-8)"
