aggregation_level,control_name,control_label_cn,decision_point,fold,cohort_scope_cn,n,n_positive,prevalence,auroc,auprc,accuracy,sensitivity,specificity
fold_test,C1_m2_image_plus_radiomics,C1 M2 ROI辅助影像 + radiomics（推理依赖 radiomics）,T0-T1,2,radiomics 可用 paired test subset,83,24,0.2891566265060241,0.6440677966101694,0.38922514519505746,0.6626506024096386,0.25,0.8305084745762712
fold_test,C0_radiomics_only,C0 Radiomics-only（推理依赖 radiomics）,T0-T2,2,radiomics 可用 paired test subset,83,24,0.2891566265060241,0.7980225988700566,0.5953351883990601,0.7228915662650602,0.2916666666666667,0.8983050847457628
fold_test,C1_m2_image_plus_radiomics,C1 M2 ROI辅助影像 + radiomics（推理依赖 radiomics）,T0-T2,2,radiomics 可用 paired test subset,83,24,0.2891566265060241,0.7281073446327684,0.5613075697485673,0.7228915662650602,0.20833333333333334,0.9322033898305084
fold_test,C2_m2_image_only,C2 M2 ROI辅助 image-only（DCE7+ROI mask；不含独立 geometry/clinical/treatment/radiomics 输入）,T0,2,radiomics 可用 paired test subset,83,24,0.2891566265060241,0.527542372881356,0.33118313889426826,0.37349397590361444,0.8333333333333334,0.1864406779661017
fold_test,C2_m2_image_only,C2 M2 ROI辅助 image-only（DCE7+ROI mask；不含独立 geometry/clinical/treatment/radiomics 输入）,T0-T1,2,radiomics 可用 paired test subset,83,24,0.2891566265060241,0.4872881355932203,0.32959946629751935,0.5662650602409639,0.2916666666666667,0.6779661016949152
fold_test,C2_m2_image_only,C2 M2 ROI辅助 image-only（DCE7+ROI mask；不含独立 geometry/clinical/treatment/radiomics 输入）,T0-T2,2,radiomics 可用 paired test subset,83,24,0.2891566265060241,0.623587570621469,0.4028216350011192,0.5542168674698795,0.7916666666666666,0.4576271186440678
fold_test,C0_radiomics_only,C0 Radiomics-only（推理依赖 radiomics）,T0,3,radiomics 可用 paired test subset,72,23,0.3194444444444444,0.5882874889086069,0.42189660803099094,0.6527777777777778,0.43478260869565216,0.7551020408163265
fold_test,C1_m2_image_plus_radiomics,C1 M2 ROI辅助影像 + radiomics（推理依赖 radiomics）,T0,3,radiomics 可用 paired test subset,72,23,0.3194444444444444,0.6637089618456078,0.6091303185689148,0.4722222222222222,0.6521739130434783,0.3877551020408163
fold_test,C0_radiomics_only,C0 Radiomics-only（推理依赖 radiomics）,T0-T1,3,radiomics 可用 paired test subset,72,23,0.3194444444444444,0.6912156166814551,0.4480422807474361,0.6805555555555556,0.6521739130434783,0.6938775510204082
fold_test,C1_m2_image_plus_radiomics,C1 M2 ROI辅助影像 + radiomics（推理依赖 radiomics）,T0-T1,3,radiomics 可用 paired test subset,72,23,0.3194444444444444,0.5554569653948536,0.3497042352620219,0.4861111111111111,0.782608695652174,0.3469387755102041
fold_test,C0_radiomics_only,C0 Radiomics-only（推理依赖 radiomics）,T0-T2,3,radiomics 可用 paired test subset,72,23,0.3194444444444444,0.7169476486246672,0.5871788585892728,0.5138888888888888,0.782608695652174,0.3877551020408163
fold_test,C1_m2_image_plus_radiomics,C1 M2 ROI辅助影像 + radiomics（推理依赖 radiomics）,T0-T2,3,radiomics 可用 paired test subset,72,23,0.3194444444444444,0.7240461401952085,0.5743496310474054,0.7361111111111112,0.6521739130434783,0.7755102040816326
fold_test,C2_m2_image_only,C2 M2 ROI辅助 image-only（DCE7+ROI mask；不含独立 geometry/clinical/treatment/radiomics 输入）,T0,3,radiomics 可用 paired test subset,72,23,0.3194444444444444,0.5,0.3194444444444444,0.3194444444444444,1.0,0.0
fold_test,C2_m2_image_only,C2 M2 ROI辅助 image-only（DCE7+ROI mask；不含独立 geometry/clinical/treatment/radiomics 输入）,T0-T1,3,radiomics 可用 paired test subset,72,23,0.3194444444444444,0.5075421472937002,0.35118275378515273,0.4444444444444444,0.5652173913043478,0.3877551020408163
fold_test,C2_m2_image_only,C2 M2 ROI辅助 image-only（DCE7+ROI mask；不含独立 geometry/clinical/treatment/radiomics 输入）,T0-T2,3,radiomics 可用 paired test subset,72,23,0.3194444444444444,0.4685004436557232,0.3542731862716515,0.4583333333333333,0.5652173913043478,0.40816326530612246
fold_test,C0_radiomics_only,C0 Radiomics-only（推理依赖 radiomics）,T0,4,radiomics 可用 paired test subset,84,23,0.27380952380952384,0.6336421952957947,0.4349451519487946,0.6309523809523809,0.4782608695652174,0.6885245901639344
fold_test,C1_m2_image_plus_radiomics,C1 M2 ROI辅助影像 + radiomics（推理依赖 radiomics）,T0,4,radiomics 可用 paired test subset,84,23,0.27380952380952384,0.436208125445474,0.25216194291366323,0.44047619047619047,0.5217391304347826,0.4098360655737705
fold_test,C0_radiomics_only,C0 Radiomics-only（推理依赖 radiomics）,T0-T1,4,radiomics 可用 paired test subset,84,23,0.27380952380952384,0.7205987170349252,0.5352787069389723,0.6785714285714286,0.43478260869565216,0.7704918032786885
fold_test,C1_m2_image_plus_radiomics,C1 M2 ROI辅助影像 + radiomics（推理依赖 radiomics）,T0-T1,4,radiomics 可用 paired test subset,84,23,0.27380952380952384,0.48325017818959365,0.28487039560787397,0.47619047619047616,0.4782608695652174,0.47540983606557374
