aggregation_level,model_name,run_name,decision_point,transition,feature_name,fold,n,mae,rmse,spearman,pearson,r2,direction_accuracy,target_mean,predicted_mean,target_variance_ddof1,predicted_variance_ddof1,predicted_to_target_variance_ratio,near_constant_prediction,standardized_mae,standardized_rmse,standardized_spearman,standardized_pearson,standardized_r2,standardized_direction_accuracy,standardized_target_mean,standardized_predicted_mean,standardized_target_variance_ddof1,standardized_predicted_variance_ddof1,standardized_predicted_to_target_variance_ratio,standardized_near_constant_prediction,probe_type,is_native_m2_head
fold_test,m0,m0_final,T0,T0→T1,ftv,0,69,0.5495293746803387,0.6987634612416078,-0.02605042016806723,0.005565240839732003,-0.05310370332143721,0.8840579710144928,-0.654941943145989,-0.7343353029494252,0.47046726727051186,0.019657957266408205,0.04178390003720527,False,0.4152763141319883,0.5280516893265679,-0.02605042016806723,0.005565240839732053,-0.053103703321437434,0.5942028985507246,0.14784748841455017,0.08785036479417135,0.2686716922163272,0.0112261511303938,0.04178390003720528,False,posthoc_train_only_multioutput_ridge,False
fold_test,m0,m0_final,T0,T0→T1,sphericity,0,69,0.04750746240864876,0.06266213964952509,-0.11735476799415419,-0.11137609007964266,-0.18449797528182077,0.43478260869565216,0.0031257774583303903,-0.00805800294085579,0.003363692567632281,0.000278198061213544,0.08270614975059058,False,0.5282750371502362,0.6967925137007476,-0.11735476799415419,-0.1113760900796428,-0.1844979752818212,0.5507246376811594,-0.13175648035130638,-0.2561182480887596,0.4159228758463285,0.03439937965444281,0.08270614975059076,False,posthoc_train_only_multioutput_ridge,False
fold_test,m0,m0_final,T0,T0→T1,ld,0,69,0.33275653583733517,0.728021805322298,-0.06168473912872291,-0.09607010567419152,-0.03788770766126581,0.7101449275362319,-0.26372883619454196,-0.26374814843722094,0.5181775391549642,0.007585984960837899,0.014639740991493,False,0.5661178718519368,1.2385816977381268,-0.06168473912872291,-0.0960701056741915,-0.037887707661266035,0.4492753623188406,-0.10728065894943649,-0.10731351482016661,1.499819950127085,0.02195697560373447,0.014639740991492997,False,posthoc_train_only_multioutput_ridge,False
fold_test,m0,m0_final,T0,T0→T1,bpe,0,69,8.034183691020358,11.406470010974333,0.1718732874105713,0.09233133390632763,-0.0008500467303895753,0.7536231884057971,-6.344573098918932,-5.297066389515663,131.9087759303801,1.9923758835827068,0.015104195073679248,False,0.9132452418919628,1.296572852317086,0.1718732874105713,0.09233133390632765,-0.0008500467303895753,0.5797101449275363,-0.46386126570565545,-0.3447912325818611,1.7043744393485725,0.025743204010513537,0.015104195073679248,False,posthoc_train_only_multioutput_ridge,False
fold_test,m0,m0_final,T0-T1,T1→T2,ftv,0,69,0.9755833438578015,1.1778354278279959,-0.0762148337595908,-0.06644310619714049,-0.030870163359867586,0.9130434782608695,-1.3437052410351014,-1.3796744041164481,1.365543170405032,0.019279921227747285,0.014118866137369126,False,0.7372429461145659,0.8900837292037556,-0.0762148337595908,-0.06644310619714068,-0.03087016335986803,0.6231884057971014,-0.37264713268403127,-0.3998288306151438,0.7798263979462279,0.011010264522989541,0.01411886613736913,False,posthoc_train_only_multioutput_ridge,False
fold_test,m0,m0_final,T0-T1,T1→T2,sphericity,0,69,0.07440370421692757,0.1046969370236765,-0.19104859335038366,-0.1393480639643449,-0.0718817908860585,0.6811594202898551,0.03875464722967797,0.03907070984770696,0.010376747222098318,0.0002750038156841075,0.026501928764194955,False,0.827356748108629,1.1642124308796924,-0.19104859335038366,-0.1393480639643445,-0.07188179088605806,0.5652173913043478,0.2644305931694428,0.2679451566257028,1.2830918580598851,0.034004409020221595,0.026501928764194934,False,posthoc_train_only_multioutput_ridge,False
fold_test,m0,m0_final,T0-T1,T1→T2,ld,0,69,0.9389617111712509,1.262734408072112,0.05787887116503107,0.11787910183352916,-0.01308404213538461,0.7971014492753623,-0.7343718317078686,-0.8551400524163253,1.5970508079905583,0.10059054864963607,0.06298519004301506,False,1.5974532381193287,2.1482869269965295,0.05787887116503107,0.11787910183352925,-0.013084042135383722,0.5652173913043478,-0.9079844237953101,-1.1134470991497565,4.622525065631021,0.2911506197373705,0.06298519004301506,False,posthoc_train_only_multioutput_ridge,False
fold_test,m0,m0_final,T0-T1,T1→T2,bpe,0,69,6.609971023252075,8.062541205772286,0.1576543660942638,0.1700034060302428,-0.005293299274569563,0.5652173913043478,-1.9582302769098412,-3.444624340136203,65.61320990741177,2.0132643523299607,0.03068382655216719,False,0.7513550620924447,0.9164686391174989,0.1576543660942638,0.1700034060302428,-0.005293299274569563,0.463768115942029,0.03473409451544284,-0.13422424126857987,0.847778906756192,0.02601310092949291,0.03068382655216718,False,posthoc_train_only_multioutput_ridge,False
fold_test,m0,m0_final,T0-T2,T2→T3,ftv,0,69,0.8935470580009685,1.153185257370774,0.019165243224949658,0.11231848794825933,-0.0017700256479671328,0.8115942028985508,-0.8348312508824519,-0.8831532967287746,1.3470084136391485,0.06800218835547546,0.05048386310502485,False,0.6752485778689721,0.8714557314990743,0.019165243224949658,0.11231848794825933,-0.0017700256479675769,0.4927536231884058,0.011906131845561496,-0.02461057138263396,0.7692416775808797,0.03883429154567277,0.05048386310502482,False,posthoc_train_only_multioutput_ridge,False
fold_test,m0,m0_final,T0-T2,T2→T3,sphericity,0,69,0.08432591820698808,0.11215944456866335,-0.05126050420168068,0.003523532140832434,-0.050896032165944405,0.5797101449275363,0.02591787224535894,0.042308305896573244,0.012146527160166693,0.0003603565374192019,0.029667454134623326,False,0.9376901083526304,1.2471942667995197,-0.05126050420168068,0.0035235321408325134,-0.05089603216594418,0.4492753623188406,0.1216878020811988,0.3039466832549366,1.501926352192824,0.04455833116726272,0.02966745413462332,False,posthoc_train_only_multioutput_ridge,False
