aggregation_level,transition,feature_name,n,target_mean,target_std,target_median,target_q05,target_q95,predicted_mean,predicted_std,predicted_median,predicted_q05,predicted_q95
pooled_oof_transition_feature,T0→T1,ftv,375,-0.7387893192780167,0.8041767031681614,-0.6092355641958936,-2.0886490452638875,0.26693163529631814,-0.8995253601689538,0.07331048315519927,-0.8965617703241578,-1.0082598771702476,-0.7781965766989762
pooled_oof_transition_feature,T0→T1,sphericity,375,-0.004438978778629144,0.07022551668575054,-0.0030725999872823,-0.13338294357802627,0.10512444007085571,0.01472296444993408,0.004668151591520765,0.0144168340502611,0.008551201207575259,0.022052112462920413
pooled_oof_transition_feature,T0→T1,ld,375,-0.24569523960111248,0.5535609622127888,-0.1431008430893182,-0.8116213335313753,0.15475660660588755,-0.27989149237722016,0.032490267434768696,-0.2782231408865903,-0.33572287496351333,-0.23150683516348108
pooled_oof_transition_feature,T0→T1,bpe,375,-5.332078245428219,10.687037985612093,-3.887799964862168,-27.62002074041343,8.098539844211702,-2.6467566759323526,0.5558207763436378,-2.5982416209936123,-3.8053053222671154,-1.79738207281782
pooled_oof_transition_feature,T1→T2,ftv,375,-1.3315910794683785,1.082753383184245,-1.326786011459387,-3.343027571483651,0.31500247912531837,-0.9342242142136404,0.08962334425361557,-0.9289213195334982,-1.0877499479348576,-0.799324542881741
pooled_oof_transition_feature,T1→T2,sphericity,375,0.03727538861972007,0.1019490649333881,0.0188925398950933,-0.10202155471529221,0.2483294036390453,0.016527633907621995,0.005555789654201042,0.0165315558741772,0.00784036910523926,0.025824739076612962
pooled_oof_transition_feature,T1→T2,ld,375,-0.8394193514330758,1.2832368634368807,-0.3101549267036538,-3.899166340468397,0.1968200090649272,-0.29622823922155095,0.04099689795511082,-0.2917917792897621,-0.362091167699283,-0.24375268010471277
pooled_oof_transition_feature,T1→T2,bpe,375,-2.787892444231323,8.605165495643709,-1.8108999923750737,-15.648230040500165,8.37910007391406,-2.493897603582628,0.5168348174828702,-2.483493080506584,-3.3847272904695114,-1.6260543236444103
pooled_oof_transition_feature,T2→T3,ftv,375,-0.8702034489426169,1.1340702252764927,-0.7661839047587204,-3.0553218370454522,1.0249453036499823,-0.9067290862702657,0.08221365756159192,-0.9048964173417426,-1.0553665539786126,-0.7801515147082883
pooled_oof_transition_feature,T2→T3,sphericity,375,0.03848752417057199,0.11881165998135132,0.027875700474231,-0.14375221287366946,0.2643477872751666,0.017774530974950718,0.0057433320919723484,0.0176523444659869,0.00914181258363732,0.0273650651553949
pooled_oof_transition_feature,T2→T3,ld,375,-0.759269172314042,1.2863640040183797,-0.1769307082856336,-3.713572169108342,0.22141301831079047,-0.3006983025052371,0.04117274416976224,-0.3012643652859691,-0.37245334540068104,-0.24096125127408174
pooled_oof_transition_feature,T2→T3,bpe,375,-1.5612496703706693,8.051962638731696,-1.2440999919022606,-15.001249747398138,11.500729760058643,-2.4298552033088443,0.6041895819494286,-2.3932255120971413,-3.55876223927158,-1.4760797872851439
