aggregation_level,model_name,native_head,fold,transition,feature_name,feature_label,n,mae,rmse,spearman,pearson,r2,direction_accuracy,target_mean,predicted_mean,target_variance_ddof1,predicted_variance_ddof1,predicted_to_target_variance_ratio,near_constant_prediction,train_mean_baseline_mae,train_mean_baseline_rmse,rmse_gain_over_train_mean_baseline,train_mean_baseline_direction_accuracy,standardized_mae,standardized_rmse,standardized_spearman,standardized_pearson,standardized_r2,standardized_direction_accuracy,standardized_target_mean,standardized_predicted_mean,standardized_target_variance_ddof1,standardized_predicted_variance_ddof1,standardized_predicted_to_target_variance_ratio,standardized_near_constant_prediction,standardized_train_mean_baseline_mae,standardized_train_mean_baseline_rmse,standardized_rmse_gain_over_train_mean_baseline,standardized_train_mean_baseline_direction_accuracy,train_mean_baseline_change,train_mean_baseline_standardized,train_mean_baseline_n_min,train_mean_baseline_n_max,train_mean_baseline_unique_count,train_mean_baseline_varies_within_group,train_mean_baseline_variation_sources,mean_baseline_scope_cn,direction_rule,variance_definition
fold_transition_feature,m2,True,0,T0→T1,ftv,FTV,69,0.6010846396236712,0.7328911054750643,-0.1584947022287176,-0.19696666238954352,-0.15848300564371476,0.8840579710144928,-0.654941943145989,-0.8811358518455746,0.47046726727051186,0.004506412074381314,0.009578587901611,True,0.550707510585197,0.6885005861196204,-0.06447419254299877,0.8840579710144928,0.4542363431790601,0.5538417616325693,-0.1584947022287176,-0.19696666238954327,-0.1584830056437152,0.391304347826087,0.14784748841455017,-0.02308599942404289,0.2686716922163272,0.0025734954205686666,0.009578587901611002,True,0.41616662493002454,0.5202960912649811,-0.06447419254299896,0.6811594202898551,-0.7568446222514733,0.07084019648640433,247,247,1,False,无_none,每个 fold×transition×feature 仅由该 fold train 计算,sign(target_change) == sign(predicted_change)，零单独成类,样本方差，ddof=1
fold_transition_feature,m2,True,0,T0→T1,sphericity,Sphericity,69,0.0436860978572342,0.05905562231382783,-0.0936061381074169,-0.029018340770578487,-0.0520742305551285,0.5507246376811594,0.0031257774583303903,0.014568208195035416,0.003363692567632281,2.5357332424077416e-05,0.007538540432643213,True,0.043769977030665305,0.05842875249713436,-0.010728790020362146,0.4492753623188406,0.4857821023982504,0.6566886440579102,-0.0936061381074169,-0.02901834077057788,-0.052074230555128276,0.43478260869565216,-0.13175648035130638,-0.004518564115615854,0.4159228758463285,0.003135451416428779,0.007538540432643186,True,0.486714824779406,0.6497179565298428,-0.010728790020362046,0.5942028985507246,-0.00682287664089069,-0.2423838501875044,247,247,1,False,无_none,每个 fold×transition×feature 仅由该 fold train 计算,sign(target_change) == sign(predicted_change)，零单独成类,样本方差，ddof=1
fold_transition_feature,m2,True,0,T0→T1,ld,LD,69,0.3279744793956346,0.7127812865018702,0.015375478840324825,0.09162588640874414,0.005112046950909055,0.7101449275362319,-0.26372883619454196,-0.2868456416152426,0.5181775391549642,0.001018340579268185,0.001965234890205544,True,0.3084347605546902,0.7149415410687199,0.003021582105329096,0.7101449275362319,0.5579821710488286,1.212653040743219,0.015375478840324825,0.09162588640874413,0.005112046950909166,0.4057971014492754,-0.10728065894943649,-0.1466092228673506,1.499819950127085,0.002947498495016088,0.001965234890205545,True,0.5247392956865605,1.2163282764976902,0.0030215821053290546,0.4057971014492754,-0.2419644754459524,-0.07025300580896596,247,247,1,False,无_none,每个 fold×transition×feature 仅由该 fold train 计算,sign(target_change) == sign(predicted_change)，零单独成类,样本方差，ddof=1
fold_transition_feature,m2,True,0,T0→T1,bpe,BPE,69,7.973539637336696,11.953406685780516,0.07870218135254478,0.03885406432392103,-0.0991320680393104,0.7536231884057971,-6.344573098918932,-2.728017230884939,131.9087759303801,0.14852936263407665,0.0011260006135791049,True,8.125672098087607,11.463528025182738,-0.0427336732218587,0.7536231884057971,0.9063518354669213,1.3587431156683243,0.07870218135254478,0.03885406432392104,-0.09913206803931018,0.5652173913043478,-0.46386126570565545,-0.052767548467154056,1.7043744393485725,0.001919126664475033,0.0011260006135791036,True,0.9236447243603343,1.303058633821667,-0.04273367322185913,0.5652173913043478,-5.154858744939272,-0.3286264970263116,247,247,1,False,无_none,每个 fold×transition×feature 仅由该 fold train 计算,sign(target_change) == sign(predicted_change)，零单独成类,样本方差，ddof=1
fold_transition_feature,m2,True,0,T1→T2,ftv,FTV,69,0.9586992891097409,1.2301992437924174,0.049068322981366465,-0.03028931936463316,-0.12456782813003686,0.9130434782608695,-1.3437052410351014,-0.9558494275638755,1.365543170405032,0.010280704672512846,0.007528655918994856,True,0.9502929625127312,1.1606232756134753,-0.05994707295712816,0.9130434782608695,0.7244837591694533,0.9296547757929211,0.049068322981366465,-0.030289319364633235,-0.1245678281300373,0.5942028985507246,-0.37264713268403127,-0.07954663605145784,0.7798263979462279,0.005871044626686306,0.0075286559189948555,True,0.7181311445769636,0.8770766008148815,-0.05994707295712811,0.6231884057971014,-1.3796732576780724,-0.39982796425799333,247,247,1,False,无_none,每个 fold×transition×feature 仅由该 fold train 计算,sign(target_change) == sign(predicted_change)，零单独成类,样本方差，ddof=1
fold_transition_feature,m2,True,0,T1→T2,sphericity,Sphericity,69,0.06844754792594455,0.10350650611182818,-0.019766167336499822,0.05183123358013509,-0.047645227259111245,0.6811594202898551,0.03875464722967797,0.01610627406876372,0.010376747222098318,4.378096281225694e-05,0.004219141304610468,True,0.06933401094974297,0.1011256942289835,-0.02354309556039934,0.6811594202898551,0.7611252862210993,1.1509750382197348,-0.019766167336499822,0.05183123358013517,-0.04764522725911058,0.4927536231884058,0.2644305931694428,0.012584471184274425,1.2830918580598851,0.005413545855949844,0.00421914130461046,True,0.7709826067995218,1.1245008082337418,-0.023543095560399116,0.5942028985507246,0.0389701747117409,0.2668272227265911,247,247,1,False,无_none,每个 fold×transition×feature 仅由该 fold train 计算,sign(target_change) == sign(predicted_change)，零单独成类,样本方差，ddof=1
fold_transition_feature,m2,True,0,T1→T2,ld,LD,69,0.7418547963512265,1.3214584525278914,0.11648853615790346,0.051647346742239156,-0.10950297627281613,0.7971014492753623,-0.7343718317078686,-0.31444666449793474,1.5970508079905583,0.002573031796609506,0.0016111145517323565,True,0.9527568859526973,1.2627037527920195,-0.046530866488641374,0.7971014492753623,1.26211573118074,2.2481939986643744,0.11648853615790346,0.05164734674223908,-0.10950297627281591,0.5652173913043478,-0.9079844237953101,-0.1935667748684468,4.622525065631021,0.007447417398985704,0.0016111145517323565,True,1.6209229348735816,2.1482347732442877,-0.046530866488641374,0.5652173913043478,-0.8776045905600676,-1.1516659623617742,247,247,1,False,无_none,每个 fold×transition×feature 仅由该 fold train 计算,sign(target_change) == sign(predicted_change)，零单独成类,样本方差，ddof=1
fold_transition_feature,m2,True,0,T1→T2,bpe,BPE,69,6.507966664130734,8.13417577197311,-0.06291560102301791,-0.0969413957323468,-0.023236442426525006,0.5652173913043478,-1.9582302769098412,-2.6827723095360585,65.61320990741177,0.2333275422978016,0.003556106196100681,True,6.541826145178031,8.123763250189347,-0.0012817362425623004,0.5652173913043478,0.739760231901554,0.9246113365281912,-0.06291560102301791,-0.09694139573234677,-0.023236442426524784,0.42028985507246375,0.03473409451544284,-0.047624560612915194,0.847778906756192,0.0030147918232391524,0.0035561061961006768,True,0.7436090373494473,0.9234277457191152,-0.001281736242562447,0.463768115942029,-3.1128884615384615,-0.09651584121882185,247,247,1,False,无_none,每个 fold×transition×feature 仅由该 fold train 计算,sign(target_change) == sign(predicted_change)，零单独成类,样本方差，ddof=1
fold_transition_feature,m2,True,0,T2→T3,ftv,FTV,69,0.8895472484111331,1.1584224892602348,0.0103773671608879,-0.010031951042300894,-0.01088983615235617,0.8115942028985508,-0.8348312508824519,-0.8951153531532186,1.3470084136391485,0.008797006844132855,0.006530773494106396,True,0.8800536565940937,1.1534305465783024,-0.0043279092067929695,0.8115942028985508,0.6722259438475189,0.8754134787197297,0.0103773671608879,-0.010031951042300815,-0.01088983615235617,0.463768115942029,0.011906131845561496,-0.033650231372187096,0.7692416775808797,0.0050237431585071456,0.006530773494106394,True,0.6650516889317611,0.8716410951987997,-0.004327909206792991,0.43478260869565216,-0.8888263729584949,-0.02889768376464001,247,247,1,False,无_none,每个 fold×transition×feature 仅由该 fold train 计算,sign(target_change) == sign(predicted_change)，零单独成类,样本方差，ddof=1
fold_transition_feature,m2,True,0,T2→T3,sphericity,Sphericity,69,0.07542792790804298,0.11045117773368958,-0.09451954694921448,-0.07579738025842521,-0.01912804888313735,0.5652173913043478,0.02591787224535894,0.017519095858201373,0.012146527160166693,4.6649696249552614e-05,0.003840578927163278,True,0.08163142425607989,0.11054585119418579,0.0008564180335443783,0.5652173913043478,0.8387459442694334,1.228198625273863,-0.09451954694921448,-0.07579738025842449,-0.019128048883136684,0.43478260869565216,0.1216878020811988,0.028294813211845307,1.501926352192824,0.005768266698382964,0.0038405789271632722,True,0.907727786227886,1.2292513783220176,0.0008564180335446178,0.463768115942029,0.041725929734817827,0.2974707577289549,247,247,1,False,无_none,每个 fold×transition×feature 仅由该 fold train 计算,sign(target_change) == sign(predicted_change)，零单独成类,样本方差，ddof=1
