model_name,model_label_cn,run_name,decision_point,aggregation_level,cohort_scope_cn,n_folds,n,n_positive,prevalence,auroc,auprc,accuracy,sensitivity,specificity
m0,M0,m0_final,T0,pooled_oof_test,完整五折 OOF test,5,808,275,0.34034653465346537,0.5491864233327648,0.37018903923039487,0.5012376237623762,0.5781818181818181,0.46153846153846156
m0,M0,m0_final,T0-T1,pooled_oof_test,完整五折 OOF test,5,808,275,0.34034653465346537,0.5041344021831827,0.3433836820171312,0.4715346534653465,0.6363636363636364,0.38649155722326456
m0,M0,m0_final,T0-T2,pooled_oof_test,完整五折 OOF test,5,808,275,0.34034653465346537,0.5486474501108648,0.40503424436223134,0.5074257425742574,0.6581818181818182,0.42964352720450283
m1,M1,m1_final,T0,pooled_oof_test,完整五折 OOF test,5,808,275,0.34034653465346537,0.5163977485928706,0.35606891452542855,0.4839108910891089,0.5854545454545454,0.43151969981238275
m1,M1,m1_final,T0-T1,pooled_oof_test,完整五折 OOF test,5,808,275,0.34034653465346537,0.5385979873784752,0.37221294591195386,0.5396039603960396,0.4581818181818182,0.5816135084427767
m1,M1,m1_final,T0-T2,pooled_oof_test,完整五折 OOF test,5,808,275,0.34034653465346537,0.5405082722155893,0.37948145223226004,0.47896039603960394,0.6690909090909091,0.3808630393996248
m2,M2,m2_final,T0,pooled_oof_test,完整五折 OOF test,5,808,275,0.34034653465346537,0.5083131502643697,0.3484562932500185,0.4839108910891089,0.6,0.42401500938086306
m2,M2,m2_final,T0-T1,pooled_oof_test,完整五折 OOF test,5,808,275,0.34034653465346537,0.529155722326454,0.3627161632037556,0.5321782178217822,0.4909090909090909,0.5534709193245778
m2,M2,m2_final,T0-T2,pooled_oof_test,完整五折 OOF test,5,808,275,0.34034653465346537,0.5406378986866791,0.37407314159114924,0.46905940594059403,0.7345454545454545,0.3320825515947467
