aggregation_level,model_name,run_name,fold,decision_point,perturbation,perturbation_cn,n,native_auroc,native_auprc,native_accuracy,native_sensitivity,native_specificity,perturbed_auroc,perturbed_auprc,perturbed_accuracy,perturbed_sensitivity,perturbed_specificity,auroc_change_perturbed_minus_native,auprc_change_perturbed_minus_native,accuracy_change_perturbed_minus_native,sensitivity_change_perturbed_minus_native,specificity_change_perturbed_minus_native,mean_probability_change,mean_absolute_probability_change,median_absolute_probability_change
fold_test,m0,m0_final,0,T0-T1,repeated_t0,Repeated-T0,162,0.4932880203908242,0.35543589691303307,0.4382716049382716,0.7090909090909091,0.29906542056074764,0.5587085811384878,0.3923649409610873,0.4691358024691358,0.6727272727272727,0.3644859813084112,0.06542056074766356,0.03692904404805425,0.030864197530864168,-0.036363636363636376,0.06542056074766356,-0.06867075343844453,0.21332769152480915,0.17854261855962916
fold_test,m0,m0_final,0,T0-T2,repeated_t0,Repeated-T0,162,0.5265930331350892,0.37051265146391243,0.5,0.5818181818181818,0.45794392523364486,0.5485131690739168,0.39309144938985763,0.5740740740740741,0.4909090909090909,0.616822429906542,0.02192013593882758,0.022578797925945193,0.07407407407407407,-0.09090909090909088,0.15887850467289716,-0.014639312904422531,0.02798007464262771,0.0241156106667042
fold_test,m0,m0_final,0,T0-T2,temporal_shuffle_t1_t2,Temporal shuffle,162,0.5265930331350892,0.37051265146391243,0.5,0.5818181818181818,0.45794392523364486,0.5333899745114699,0.4180330232154528,0.5493827160493827,0.43636363636363634,0.6074766355140186,0.00679694137638065,0.04752037175154039,0.04938271604938271,-0.14545454545454545,0.1495327102803738,-0.010095636212612098,0.02640093902093886,0.0198279407044427
fold_test,m0,m0_final,1,T0-T1,repeated_t0,Repeated-T0,162,0.5605777400169923,0.3961574423537999,0.5123456790123457,0.7090909090909091,0.411214953271028,0.557179269328802,0.4095507030405862,0.5493827160493827,0.41818181818181815,0.616822429906542,-0.003398470688190325,0.013393260686786312,0.03703703703703698,-0.29090909090909095,0.20560747663551399,-0.04085946267655148,0.06620847753808387,0.0550756683602627
fold_test,m0,m0_final,1,T0-T2,repeated_t0,Repeated-T0,162,0.5792693288020391,0.4655792332000389,0.5123456790123457,0.6545454545454545,0.4392523364485981,0.5639762107051827,0.4095527094710778,0.5185185185185185,0.41818181818181815,0.5700934579439252,-0.015293118096856406,-0.05602652372896111,0.006172839506172756,-0.2363636363636364,0.13084112149532706,-0.1133098078693722,0.35406987174161747,0.12468320353957471
fold_test,m0,m0_final,1,T0-T2,temporal_shuffle_t1_t2,Temporal shuffle,162,0.5792693288020391,0.4655792332000389,0.5123456790123457,0.6545454545454545,0.4392523364485981,0.5909940526762958,0.390883690726352,0.5740740740740741,0.6727272727272727,0.5233644859813084,0.011724723874256715,-0.07469554247368693,0.061728395061728336,0.018181818181818188,0.08411214953271023,-0.05937547336981365,0.3510937960090835,0.18709125296841073
fold_test,m0,m0_final,2,T0-T1,repeated_t0,Repeated-T0,162,0.5,0.3395061728395062,0.3395061728395062,1.0,0.0,0.5,0.3395061728395062,0.3395061728395062,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fold_test,m0,m0_final,2,T0-T2,repeated_t0,Repeated-T0,162,0.5581988105352592,0.3900298051215353,0.5617283950617284,0.6,0.5420560747663551,0.48683092608326256,0.34537719146309875,0.5987654320987654,0.3090909090909091,0.7476635514018691,-0.07136788445199665,-0.044652613658436535,0.03703703703703698,-0.2909090909090909,0.20560747663551404,-0.04702456729144205,0.09065540920458905,0.07497251206875795
fold_test,m0,m0_final,2,T0-T2,temporal_shuffle_t1_t2,Temporal shuffle,162,0.5581988105352592,0.3900298051215353,0.5617283950617284,0.6,0.5420560747663551,0.5094307561597281,0.3915278259301012,0.5308641975308642,0.4,0.5981308411214953,-0.04876805437553111,0.0014980208085659252,-0.030864197530864224,-0.19999999999999996,0.05607476635514019,-0.02463236326291685,0.09528837614225137,0.065918190576171
fold_test,m0,m0_final,3,T0-T1,repeated_t0,Repeated-T0,161,0.4943396226415095,0.3360787492798635,0.5217391304347826,0.41818181818181815,0.5754716981132075,0.4478559176672384,0.31792734821959,0.6024844720496895,0.18181818181818182,0.8207547169811321,-0.04648370497427107,-0.018151401060273464,0.08074534161490687,-0.23636363636363633,0.24528301886792458,-0.053436727445117356,0.08176920822703677,0.0711759002914291
fold_test,m0,m0_final,3,T0-T2,repeated_t0,Repeated-T0,161,0.5926243567753001,0.4900521068653222,0.5093167701863354,0.6727272727272727,0.42452830188679247,0.5176672384219554,0.35920500000532646,0.5279503105590062,0.45454545454545453,0.5660377358490566,-0.07495711835334473,-0.13084710685999573,0.018633540372670843,-0.2181818181818182,0.14150943396226412,-0.10151423788084016,0.2118796505552882,0.176087556554385
fold_test,m0,m0_final,3,T0-T2,temporal_shuffle_t1_t2,Temporal shuffle,161,0.5926243567753001,0.4900521068653222,0.5093167701863354,0.6727272727272727,0.42452830188679247,0.478902229845626,0.37586605654952376,0.4658385093167702,0.6363636363636364,0.37735849056603776,-0.1137221269296741,-0.11418605031579843,-0.04347826086956519,-0.036363636363636376,-0.047169811320754707,0.007947361829255413,0.1939995512051801,0.1764016248223929
fold_test,m0,m0_final,4,T0-T1,repeated_t0,Repeated-T0,161,0.5061749571183534,0.3361408217371603,0.546583850931677,0.34545454545454546,0.6509433962264151,0.5195540308747856,0.37116493715485477,0.5714285714285714,0.14545454545454545,0.7924528301886793,0.013379073756432214,0.03502411541769446,0.024844720496894346,-0.2,0.14150943396226423,-0.0781940817265094,0.13541993072351516,0.119195839360608
fold_test,m0,m0_final,4,T0-T2,repeated_t0,Repeated-T0,161,0.5497427101200687,0.44031929956260407,0.453416149068323,0.7818181818181819,0.2830188679245283,0.5516295025728988,0.40350033435500204,0.4906832298136646,0.6727272727272727,0.39622641509433965,0.0018867924528300772,-0.03681896520760203,0.037267080745341574,-0.10909090909090913,0.11320754716981135,-0.10724623626710819,0.32020492386734123,0.1295509746719618
fold_test,m0,m0_final,4,T0-T2,temporal_shuffle_t1_t2,Temporal shuffle,161,0.5497427101200687,0.44031929956260407,0.453416149068323,0.7818181818181819,0.2830188679245283,0.586106346483705,0.39394905246486256,0.43478260869565216,0.8545454545454545,0.2169811320754717,0.036363636363636265,-0.04637024709774151,-0.018633540372670843,0.07272727272727264,-0.06603773584905659,-0.0005081893155526421,0.3149677683544637,0.1383906733766262
fold_test,m1,m1_final,0,T0-T1,repeated_t0,Repeated-T0,162,0.5444350042480883,0.35931702050496805,0.5370370370370371,0.4727272727272727,0.5700934579439252,0.5559898045879355,0.3872925888426184,0.5740740740740741,0.38181818181818183,0.6728971962616822,0.011554800339847127,0.02797556833765036,0.03703703703703698,-0.09090909090909088,0.10280373831775702,-0.01195647440593244,0.02490126885322003,0.0161535598968119
fold_test,m1,m1_final,0,T0-T2,repeated_t0,Repeated-T0,162,0.5349192863211554,0.36662939645610243,0.5,0.6909090909090909,0.40186915887850466,0.518946474086661,0.35658653762219095,0.5617283950617284,0.41818181818181815,0.6355140186915887,-0.015972812234494427,-0.010042858833911483,0.06172839506172845,-0.27272727272727276,0.23364485981308408,-0.08869800031481981,0.15542958913108526,0.1257078882681938
fold_test,m1,m1_final,0,T0-T2,temporal_shuffle_t1_t2,Temporal shuffle,162,0.5349192863211554,0.36662939645610243,0.5,0.6909090909090909,0.40186915887850466,0.5432455395072218,0.37343935515674864,0.5246913580246914,0.5636363636363636,0.5046728971962616,0.00832625318606639,0.0068099587006462126,0.024691358024691357,-0.12727272727272732,0.10280373831775697,-0.038953789839882715,0.1324939954944806,0.09723630367895095
fold_test,m1,m1_final,1,T0-T1,repeated_t0,Repeated-T0,162,0.5604078164825828,0.38549625938667526,0.5802469135802469,0.34545454545454546,0.7009345794392523,0.5379779099405267,0.3806797103514813,0.6296296296296297,0.18181818181818182,0.8598130841121495,-0.02242990654205601,-0.004816549035193962,0.04938271604938271,-0.16363636363636364,0.15887850467289721,-0.0302852958989197,0.05315737265278897,0.0415700058376861
fold_test,m1,m1_final,1,T0-T2,repeated_t0,Repeated-T0,162,0.49243840271877654,0.3897249290232728,0.41358024691358025,0.7272727272727273,0.2523364485981308,0.5109600679694137,0.3432658067170923,0.5493827160493827,0.38181818181818183,0.6355140186915887,0.018521665250637198,-0.046459122306180545,0.13580246913580246,-0.34545454545454546,0.38317757009345793,-0.13963421668083822,0.18748393331621901,0.1652549680284957
fold_test,m1,m1_final,1,T0-T2,temporal_shuffle_t1_t2,Temporal shuffle,162,0.49243840271877654,0.3897249290232728,0.41358024691358025,0.7272727272727273,0.2523364485981308,0.5892948173322006,0.40227378729142105,0.48148148148148145,0.7272727272727273,0.35514018691588783,0.09685641461342404,0.012548858268148222,0.0679012345679012,0.0,0.10280373831775702,-0.03697898838925,0.118246452273737,0.09247368196139845
