scope,n,n_patients,diagnostic_support_n,diagnostic_support_fraction,origin_exact_n,origin_exact_fraction,origin_unique_n,origin_unique_fraction,origin_ambiguous_n,origin_ambiguous_fraction,spacing_reliable_n,spacing_reliable_fraction,complete_miss_n,complete_miss_rate,boundary_touch_n,boundary_touch_rate,suspected_truncation_n,suspected_truncation_rate,severe_truncation_n,severe_truncation_rate,sufficient_containment_n,sufficient_containment_rate,exact_full_support_containment_n,exact_full_support_containment_rate,bbox_fully_contained_n,bbox_fully_contained_rate,containment_ratio_median,containment_ratio_q05,whole_union_extent_retention_median,whole_union_extent_retention_q05,full_whole_union_approx_extent_mm_median,full_largest_component_approx_extent_mm_median,minimum_margin_vox_median,minimum_margin_vox_q05,minimum_margin_mm_median,minimum_margin_mm_q05,ld_zero_n,ld_zero_fraction,reported_ld_median_raw_unit,crop_extent_x_mm_median,crop_extent_x_mm_min,crop_extent_x_mm_max,crop_extent_y_mm_median,crop_extent_y_mm_min,crop_extent_y_mm_max,crop_extent_z_mm_median,crop_extent_z_mm_min,crop_extent_z_mm_max
T0,375,375,375,1.0,375,1.0,375,1.0,0,0.0,375,1.0,0,0.0,265,0.7066666666666667,265,0.7066666666666667,139,0.37066666666666664,110,0.29333333333333333,120,0.32,120,0.32,0.9640053744431087,0.5315006285704375,0.9352893867658897,0.6515912204642715,82.25648664989437,67.64192492999514,-6.0,-38.3,-6.000000238418579,-30.00000035762787,0,0.0,3.7,63.75359916687012,30.0,127.5,63.75359916687012,30.0,127.5,64.0,25.599903106689453,80.0
T1,375,375,375,1.0,372,0.992,372,0.992,0,0.0,375,1.0,3,0.008,310,0.8266666666666667,316,0.8426666666666667,201,0.536,59,0.15733333333333333,64,0.17066666666666666,64,0.17066666666666666,0.8617927312589594,0.19852759844894186,0.8566953762852236,0.5900809396891004,81.03939186688642,56.13056765257234,-16.0,-58.349999999999994,-15.116999745368958,-42.50664076209068,5,0.013333333333333334,3.1,63.75359916687012,43.12320041656494,127.5,63.75359916687012,43.12320041656494,127.5,64.0,25.599903106689453,80.0
T2,375,375,375,1.0,369,0.984,369,0.984,0,0.0,375,1.0,6,0.016,293,0.7813333333333333,316,0.8426666666666667,231,0.616,59,0.15733333333333333,62,0.16533333333333333,62,0.16533333333333333,0.7902338376891335,0.12066273932253313,0.8190480367359598,0.51662829025183,78.12622811534709,36.831722651412385,-17.0,-56.0,-15.0,-42.900859439373015,62,0.16533333333333333,2.1,63.75359916687012,45.00480079650879,127.5,63.75359916687012,45.00480079650879,127.5,64.0,25.599903106689453,80.0
T3,375,375,375,1.0,372,0.992,372,0.992,0,0.0,375,1.0,3,0.008,297,0.792,323,0.8613333333333333,248,0.6613333333333333,52,0.13866666666666666,61,0.16266666666666665,61,0.16266666666666665,0.732705689725747,0.08510429520388606,0.7909716485793441,0.4665338820448384,74.74256066137666,26.114784924230115,-19.0,-62.45,-15.345850169658661,-45.76010958552361,122,0.3253333333333333,1.3,63.75359916687012,45.00480079650879,127.5,63.75359916687012,45.00480079650879,127.5,64.0,25.599903106689453,80.0
