comparison,left_arm,right_arm,task,endpoint,analysis_scope,metric,independent_unit,seed_result,n_seeds,mean,median,sample_sd,min,max,direction_count,negative_direction_count,zero_direction_count,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_resamples,bootstrap_seed,bootstrap_interval,bootstrap_statistic
GAP3-GAP0,GAP3,GAP0,delta,T0_to_T1,primary_measurement_valid,transformed_pearson,training_seed,five_fold_pooled_oof,5,0.0444506600231276,0.047635666217828034,0.04113355917901604,-0.011269208025807553,0.09345279288455702,4,1,0,0.012292741671646682,0.07537737132455939,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T0_to_T1,primary_measurement_valid,transformed_prediction_target_variance_ratio,training_seed,five_fold_pooled_oof,5,-0.006612423339765796,-0.004866592221031661,0.018508065509787053,-0.028536555225188616,0.0181675557964508,2,3,0,-0.02053401502132895,0.00733522846805858,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T0_to_T1,primary_measurement_valid,transformed_r2,training_seed,five_fold_pooled_oof,5,0.031339697601821745,0.020852406911468467,0.029840138443999638,0.00567162319019098,0.08021093051828913,5,0,0,0.011343354354845608,0.056801476578605944,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T0_to_T1,primary_measurement_valid,transformed_rmse,training_seed,five_fold_pooled_oof,5,-0.009875040092801757,-0.00755486775987424,0.008454805688083754,-0.021057699816390496,-0.0003663294852539467,0,5,0,-0.016713880570332316,-0.0034586001133215306,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T0_to_T1,primary_measurement_valid,transformed_rmse_gain_over_b0,training_seed,five_fold_pooled_oof,5,0.015282751437053732,0.010283631004722397,0.013907533609247246,0.0027890247560625196,0.037474767328110954,5,0,0,0.005676267574908984,0.026963966431583886,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T0_to_T1,primary_measurement_valid,transformed_spearman,training_seed,five_fold_pooled_oof,5,0.021327913852192775,0.025211068758872586,0.04249340725050007,-0.03923538221426741,0.07841532882196477,4,1,0,-0.011904725517830093,0.05549890807205764,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T1_to_T2,primary_measurement_valid,natural_b0_rmse,training_seed,five_fold_pooled_oof,5,0.0,0.0,0.0,0.0,0.0,0,0,5,0.0,0.0,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T1_to_T2,primary_measurement_valid,natural_calibration_intercept,training_seed,five_fold_pooled_oof,5,0.35189818601204037,0.2028065795501588,0.37428044117829706,-0.057605244055086935,0.8774568413459685,4,1,0,0.07832276214361027,0.6738406554514134,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T1_to_T2,primary_measurement_valid,natural_calibration_mean_bias,training_seed,five_fold_pooled_oof,5,0.02660286223942392,-0.031293369601625536,0.21628015697697517,-0.19917964383541503,0.38578447773976776,2,3,0,-0.12371380160658996,0.2189533388032104,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T1_to_T2,primary_measurement_valid,natural_calibration_slope,training_seed,five_fold_pooled_oof,5,0.037886905330535604,0.023181973283636914,0.03827088182651157,0.016489065442127485,0.10584146372587383,5,0,0,0.01783562127782153,0.07228928307573226,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T1_to_T2,primary_measurement_valid,natural_mae,training_seed,five_fold_pooled_oof,5,-0.20473151934407524,-0.17045423586189123,0.30022983918256824,-0.6584916725025067,0.0929534791687825,2,3,0,-0.4526280370064562,0.013348305371434676,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T1_to_T2,primary_measurement_valid,natural_pearson,training_seed,five_fold_pooled_oof,5,0.06543091440116895,0.04648439974612181,0.04323319888141236,0.023317096230746515,0.12856034859719068,5,0,0,0.033965247881187835,0.09988740917098841,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T1_to_T2,primary_measurement_valid,natural_prediction_target_variance_ratio,training_seed,five_fold_pooled_oof,5,0.016771007162231105,0.008247857898355693,0.07002084960800477,-0.08258721335135594,0.11162673331666184,4,1,0,-0.040238796421314775,0.07027518314933938,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T1_to_T2,primary_measurement_valid,natural_r2,training_seed,five_fold_pooled_oof,5,0.05914474022052905,0.02683016099594082,0.05215690236253776,0.014439266083824176,0.1296890665792091,5,0,0,0.0210187357955282,0.10276648143625969,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T1_to_T2,primary_measurement_valid,natural_rmse,training_seed,five_fold_pooled_oof,5,-0.5242403880348039,-0.23859715760228895,0.4523335117753797,-1.095360297308961,-0.13061181798774157,0,5,0,-0.8885427118403821,-0.1899087836543721,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T1_to_T2,primary_measurement_valid,natural_rmse_gain_over_b0,training_seed,five_fold_pooled_oof,5,0.030444030712919824,0.013855970199642863,0.026268207561410364,0.007584974925711203,0.06361047964654928,5,0,0,0.011028507101293989,0.051600033546468714,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T1_to_T2,primary_measurement_valid,natural_spearman,training_seed,five_fold_pooled_oof,5,0.04474297417226078,0.0420468767777904,0.02394394181066557,0.011403117533280271,0.07344476049607462,5,0,0,0.026205893730799883,0.06343087950847649,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T1_to_T2,primary_measurement_valid,transformed_b0_rmse,training_seed,five_fold_pooled_oof,5,0.0,0.0,0.0,0.0,0.0,0,0,5,0.0,0.0,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T1_to_T2,primary_measurement_valid,transformed_calibration_intercept,training_seed,five_fold_pooled_oof,5,-0.00017689214483533472,-0.0011898773643356578,0.011121118838494952,-0.014221951466936996,0.016969033101508862,1,4,0,-0.008942521233229434,0.00969308686202274,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T1_to_T2,primary_measurement_valid,transformed_calibration_mean_bias,training_seed,five_fold_pooled_oof,5,0.0017477383133789124,-0.0016954376108160613,0.012323103463990823,-0.010968177567188993,0.022259598478511847,2,3,0,-0.0067345835973941365,0.012677584042780682,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T1_to_T2,primary_measurement_valid,transformed_calibration_slope,training_seed,five_fold_pooled_oof,5,0.03875272591324056,0.03275828560310036,0.019357731412419952,0.022473640458655547,0.06998606993990432,5,0,0,0.02543150542929682,0.05525030070597494,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T1_to_T2,primary_measurement_valid,transformed_mae,training_seed,five_fold_pooled_oof,5,-0.01168687477379493,-0.009924204461270292,0.016909234272171843,-0.03751655667240861,0.005031727187655433,2,3,0,-0.0257150019880354,0.0004768003618212502,10000,20260811,percentile_2.5_97.5,mean
