seed_base,arm,task,endpoint,analysis_scope,natural_n_test,natural_aggregation,natural_spearman,natural_pearson,natural_r2,natural_rmse,natural_mae,natural_b0_rmse,natural_rmse_gain_over_b0,natural_prediction_target_variance_ratio,natural_calibration_slope,natural_calibration_intercept,natural_calibration_mean_bias,transformed_n_folds,transformed_aggregation,transformed_spearman,transformed_pearson,transformed_r2,transformed_rmse,transformed_mae,transformed_b0_rmse,transformed_rmse_gain_over_b0,transformed_prediction_target_variance_ratio,transformed_calibration_slope,transformed_calibration_intercept,transformed_calibration_mean_bias
2026,GAP0,delta,T0_to_T1,primary_measurement_valid,375,pooled_5fold_oof,0.029987939469791784,-0.022896204950836357,-0.021226477774162422,25.598698489875073,13.86253887606732,25.477864188497076,-0.004742717069374747,0.01549469837836831,-0.0028500669844499743,-11.201914354018221,-0.14249916884126332,5,mean_of_5_fold_specific_transform_metrics,0.033418006384565074,-0.03475404493703199,-0.04754159384898515,0.9473808409514692,0.52247263165572,0.9399665324822373,-0.0109516869432086,0.0170049275645932,-0.00215258222356058,-0.0059633408658653604,0.011933803937747137
2026,GAP0,delta,T1_to_T2,primary_measurement_valid,375,pooled_5fold_oof,0.15682603254067584,0.14632652227535714,-0.10184066135104719,18.04758144901394,10.300803947979224,17.219808801872187,-0.04807095460036439,0.24632145938755462,0.07262299833922738,-8.438023985793302,-0.47560532471089056,5,mean_of_5_fold_specific_transform_metrics,0.17341318250493473,0.19040808237921733,-0.11781718814661168,0.9624836397551053,0.5650813136022373,0.9195192108402048,-0.04442565513794182,0.25619175279958173,0.07605011163480996,-0.00702772696477916,-0.028464801141291286
2026,GAP0,delta,T2_to_T3,primary_measurement_valid,375,pooled_5fold_oof,0.03665286153145978,-0.033371391452486215,-0.05990264850919469,28.19807695262313,10.061320968066493,27.537956917151757,-0.023971278532294565,0.045385908796624415,-0.007109430833618505,-5.923605187272449,-0.4727219303187497,5,mean_of_5_fold_specific_transform_metrics,0.04531505851358734,-0.02647614001357516,-0.6466984314665686,0.907237175200159,0.3566928694286316,0.8647480762588101,-0.14571606405557475,0.38775695964180457,-0.023753079722697523,0.00688219780390024,0.0018499535423650167
2026,GAP0,delta,macro,primary_measurement_valid,1125,unweighted_mean_of_pooled_endpoint_metrics,0.0744889445139758,0.030019641957344856,-0.0609899292114681,23.948118963837377,11.408221264037678,23.41187663584034,-0.0255949834006779,0.10240068885418245,0.020887833507052964,-8.521181175694657,-0.36360880795696787,5,unweighted_endpoint_mean_of_fold_summaries,0.08404874913436239,0.043059299142870065,-0.2706857378207218,0.9390338853022445,0.48141560489552965,0.9080779398604174,-0.06703113537890838,0.22031788000199315,0.01671481656285062,-0.00203629000891476,-0.004893681220393044
2026,GAP3,delta,T0_to_T1,primary_measurement_valid,375,pooled_5fold_oof,0.0716463761520082,0.03346143984026084,-0.00856656379402998,25.439533025367105,13.8227595908892,25.477864188497076,0.0015044888710599698,0.017296159454672767,0.004400676710056711,-11.194035105617793,-0.21458101089574166,5,mean_of_5_fold_specific_transform_metrics,0.05862907514343766,0.036418757380895464,-0.026689186937516686,0.939825973191595,0.5211426329206719,0.9399665324822373,-0.000668055938486202,0.01953376673804932,0.00962804432509534,-0.00923018714977482,0.00888905664405176
2026,GAP3,delta,T1_to_T2,primary_measurement_valid,375,pooled_5fold_oof,0.21795903970872682,0.23676542610798068,0.0278484052281619,16.95222115170498,9.642312275476717,17.219808801872187,0.01553952504618489,0.16373424603619868,0.09580497162286429,-7.853200092213174,-0.08982084697112282,5,mean_of_5_fold_specific_transform_metrics,0.22757986530763544,0.30367956540966057,0.037462911160492794,0.9016893165089416,0.5275647569298287,0.9195192108402048,0.02691975756050402,0.19426249722929914,0.1198697648863162,0.009941306136729701,-0.006205202662779441
2026,GAP3,delta,T2_to_T3,primary_measurement_valid,375,pooled_5fold_oof,0.07328615314597793,-0.01977249119385967,-0.0505529861052767,28.07343036701256,9.866170736112496,27.537956917151757,-0.0194449229284431,0.04221677396531889,-0.004062598580149711,-5.832264357688678,-0.39787178824987274,5,mean_of_5_fold_specific_transform_metrics,0.07224194737323211,0.022046126445418146,-0.513128253229233,0.8985917654555428,0.35029332330540697,0.8647480762588101,-0.11220190513280692,0.3511746120915363,0.014750617062625482,0.004904884494220441,0.004259330285325981
2026,GAP3,delta,macro,primary_measurement_valid,1125,unweighted_mean_of_pooled_endpoint_metrics,0.12096385633557098,0.08348479158479395,-0.010423714890381594,23.488394848028218,11.110414200826137,23.41187663584034,-0.0008003030037327467,0.07441572648539678,0.03204768325092377,-8.293166518506549,-0.23409121537224573,5,unweighted_endpoint_mean_of_fold_summaries,0.11948362927476841,0.12071481641199139,-0.1674515096687523,0.9133690183853598,0.4663335710519692,0.9080779398604174,-0.028650067836929704,0.18832362535296157,0.048082808758012345,0.0018720011603917737,0.0023143947555327666
2026,LOCAL0,delta,T0_to_T1,primary_measurement_valid,375,pooled_5fold_oof,0.39405051769257027,0.21367554549690387,0.038419254363070476,24.83989359773819,13.223828597296281,25.477864188497076,0.02504019120436798,0.08908721113766925,0.06377676746195432,-10.150864872004277,0.1737906029474631,5,mean_of_5_fold_specific_transform_metrics,0.4112828879366788,0.23255602636834788,-0.0058921632749242,0.92196836257329,0.4964299264011098,0.9399665324822373,0.010001855754255742,0.1515854753394717,0.08196197023106191,0.006509204996709516,0.02332114441243289
2026,LOCAL0,delta,T1_to_T2,primary_measurement_valid,375,pooled_5fold_oof,0.3543415633177836,0.38688314268535545,0.14772518038497384,15.872650060973294,9.030610103857057,17.219808801872187,0.07823308356085962,0.11798152688747184,0.1328883206685559,-7.588765047998545,-0.1437818271651901,5,mean_of_5_fold_specific_transform_metrics,0.3613058893647522,0.38847091055003113,0.13813110003275098,0.8467962520561526,0.49349865904163936,0.9195192108402048,0.07838267236180516,0.15247626677475032,0.14860674163092544,0.008725118876442822,-0.0092589213597619
