seed_base,arm,task,endpoint,analysis_scope,natural_n_test,natural_aggregation,natural_spearman,natural_pearson,natural_r2,natural_rmse,natural_mae,natural_b0_rmse,natural_rmse_gain_over_b0,natural_prediction_target_variance_ratio,natural_calibration_slope,natural_calibration_intercept,natural_calibration_mean_bias,transformed_n_folds,transformed_aggregation,transformed_spearman,transformed_pearson,transformed_r2,transformed_rmse,transformed_mae,transformed_b0_rmse,transformed_rmse_gain_over_b0,transformed_prediction_target_variance_ratio,transformed_calibration_slope,transformed_calibration_intercept,transformed_calibration_mean_bias
2026,GAP0,static,T0,primary_measurement_valid,375,pooled_5fold_oof,0.32774877688019116,0.2844066391138311,0.015431738778146409,42.3364297933763,20.14641772890278,42.77656700591202,0.010289213074880321,0.049655615768295656,0.06337586736516515,16.183805634252632,-10.595183942773222,5,mean_of_5_fold_specific_transform_metrics,0.3396145570763126,0.3357296536927243,0.07744926622525863,0.3855550637079583,0.30809698011140285,0.4038965057517139,0.046461101922577304,0.23075822129182272,0.15828933702519518,0.42336596533610493,0.01229801355088908
2026,GAP0,static,T1,primary_measurement_valid,375,pooled_5fold_oof,0.3813054955057459,0.28547391802848704,0.035392979490507126,37.00644022658017,13.028668418428909,37.95576601319648,0.025011372087346394,0.09734974285051261,0.08907048968427486,7.970373936825171,-8.028264850353187,5,mean_of_5_fold_specific_transform_metrics,0.382002806031305,0.3746124689012951,0.1260607273807035,0.45484092122724296,0.35463119160803636,0.49414975063675054,0.07801572476467229,0.21422331734329933,0.17808846680225765,0.17702809908520503,0.012631360606542403
2026,GAP0,static,T2,primary_measurement_valid,375,pooled_5fold_oof,0.1591987711912618,0.10972016560308899,-0.03897226000287235,31.703223466306174,8.187492134962577,31.345565059981617,-0.011410175750226743,0.002263432211776788,0.0052199963644044955,2.1765418490642805,-6.7536237520767815,5,mean_of_5_fold_specific_transform_metrics,0.14650509690890315,0.15085870748096725,-0.020744912840379836,0.639037517537391,0.5015512247699109,0.6425687462285612,0.002982427435846021,0.09736576374061509,0.0444575794915177,-0.2940437734187276,0.0017475819883181012
2026,GAP0,static,T3,primary_measurement_valid,375,pooled_5fold_oof,0.053992607463454835,0.034466302884152866,-0.04654594455846617,12.694117375705208,3.2603537355221626,12.477635535818399,-0.017349588330687688,0.0007931112956875442,0.0009706480084999806,0.851245547532364,-2.709915958018579,5,mean_of_5_fold_specific_transform_metrics,0.016468990829988005,0.043329928679332476,-0.04913957851246046,0.6241914259327638,0.5004550563345788,0.6147106558945465,-0.01533587857741588,0.07627320757126745,0.02200506048412616,-0.64960318293324,-0.01992825329405732
2026,GAP0,static,macro,primary_measurement_valid,1500,unweighted_mean_of_pooled_endpoint_metrics,0.2305614127601634,0.17851675640738998,-0.008673371573171246,30.93505271549196,11.155733004454106,31.138883403727128,0.0016352052703280705,0.03751547553156815,0.039659250355586116,6.795491741918612,-7.021747125805442,5,unweighted_endpoint_mean_of_fold_summaries,0.22114786271162717,0.2261326896885798,0.033406375563280466,0.525906232101339,0.4161836132059822,0.538831414627893,0.028030843886419934,0.15465512748675114,0.10071011095077417,-0.08581322298266443,0.001687175712923066
2026,GAP3,static,T0,primary_measurement_valid,375,pooled_5fold_oof,0.3582273296165662,0.26964602493804296,0.0040952922052360785,42.57946577869435,19.94174024507434,42.77656700591202,0.004607691570724491,0.04833215988169199,0.059280536320946854,15.923657986375972,-10.972421064993318,5,mean_of_5_fold_specific_transform_metrics,0.3693356022573556,0.37457991761554554,0.10854714867657762,0.3792113773220737,0.30364453002362024,0.4038965057517139,0.06362325529515855,0.22790400926986357,0.17104417517821707,0.40900566911102754,0.0033315632991689813
2026,GAP3,static,T1,primary_measurement_valid,375,pooled_5fold_oof,0.38413198316076913,0.2704368955062644,0.015583506946980963,37.38449705327461,13.112895192924267,37.95576601319648,0.015050913732665924,0.04459055043588264,0.05710673865766413,7.800958795124336,-8.75905878280239,5,mean_of_5_fold_specific_transform_metrics,0.38061292179640144,0.3748952947648429,0.1233940913876203,0.45555800521427126,0.3533425240650293,0.49414975063675054,0.07608993230575894,0.20113254561271238,0.1682864583611753,0.16251824633606982,-0.0034911546263306594
2026,GAP3,static,T2,primary_measurement_valid,375,pooled_5fold_oof,0.2167857549209239,0.10325797334739556,-0.03523123840977971,31.646095185041982,8.199164218330615,31.345565059981617,-0.009587644200552244,0.0059505420252778255,0.007965294915613987,2.2921196767245284,-6.6134013089264,5,mean_of_5_fold_specific_transform_metrics,0.20431242982310022,0.21614419109810495,0.019527991207347238,0.6256340765495794,0.49789126035505155,0.6425687462285612,0.02285035836986856,0.12728089335899584,0.07671920611819964,-0.28535871074235014,0.0006109167520164584
2026,GAP3,static,T3,primary_measurement_valid,375,pooled_5fold_oof,0.10972511717630677,0.03868592910440251,-0.044637401112255004,12.682537219904674,3.2607209374566493,12.477635535818399,-0.016421515398336712,0.0016941319473124398,0.0015923064259026215,0.8938970268615601,-2.6650485017301047,5,mean_of_5_fold_specific_transform_metrics,0.09414454172715492,0.11253024776426364,-0.04803740099202942,0.6237336218489198,0.4983954625821495,0.6147106558945465,-0.014609323996027662,0.1232571627569056,0.046036945575861674,-0.6333053456753186,-0.02049715634439484
2026,GAP3,static,macro,primary_measurement_valid,1500,unweighted_mean_of_pooled_endpoint_metrics,0.2672175462186415,0.17050670572402635,-0.015047460092454418,31.073148809228904,11.128630148446467,31.138883403727128,-0.001587638573874636,0.025141846072541222,0.0314862190800319,6.727658371271599,-7.252482414613053,5,unweighted_endpoint_mean_of_fold_summaries,0.2621013739010031,0.26953741281068927,0.05085795756987893,0.521034270233711,0.4133184442564627,0.538831414627893,0.0369885554936896,0.16989365274961934,0.11552169630836344,-0.08678503524264285,-0.005011457729885016
2026,LOCAL0,static,T0,primary_measurement_valid,375,pooled_5fold_oof,0.7576436454659233,0.6069219306725657,0.2866463872568128,36.03659493264309,15.553308577306996,42.77656700591202,0.15756224832949822,0.16838091766938396,0.24904582562900748,12.616287235833429,-8.854218709527622,5,mean_of_5_fold_specific_transform_metrics,0.7633460876999045,0.7547191723575729,0.5517297390612327,0.2685630315521247,0.21414707933357074,0.4038965057517139,0.335479512882389,0.5289441136066091,0.5456385917230742,0.21024592897894742,-0.013767471522760361
2026,LOCAL0,static,T1,primary_measurement_valid,375,pooled_5fold_oof,0.5669762202753441,0.3577622461996819,0.07471909299586121,36.24423202620797,11.80514727672074,37.95576601319648,0.04509285852361526,0.06104388114651929,0.0883925326537045,8.379026566606058,-7.63151916784154,5,mean_of_5_fold_specific_transform_metrics,0.5713039577113284,0.5637507925987618,0.29437857178204735,0.41027302505846547,0.30808356155332517,0.49414975063675054,0.17017996711200856,0.3587003104799107,0.33390635826673953,0.13356783783701437,-0.00239562545762568
