epoch,arm,architecture,seed_base,fold,effective_seed,dropped_logical_tail_patients,train_loss,train_base_loss,train_state_loss,train_ftv_loss,train_grounded_patients,train_representation_std,train_optimizer_steps,val_loss,val_base_objective,val_state_loss,val_ftv_loss,val_grounded_patients,val_representation_std,finite
1,GAP0,GAP,2026,0,2026,24,2.328069695830345,2.328069695830345,1.0000770470127462,0.0,0.0,0.3517629206180572,20.0,1.5333478066546855,1.5333478066546855,0.3936835532346047,0.0,0.0,0.2291447669267654,True
2,GAP0,GAP,2026,0,2026,24,1.3456962890923023,1.3456962890923023,0.2921125499531626,0.0,0.0,0.4309034347534179,20.0,0.9912654639275608,0.9912654639275608,0.1140085285729613,0.0,0.0,0.5350616574287415,True
3,GAP0,GAP,2026,0,2026,24,0.9914567582309246,0.9914567582309246,0.1489886779338121,0.0,0.0,0.6333097815513611,20.0,0.8146909150210294,0.8146909150210294,0.0921013430992433,0.0,0.0,0.6500045657157898,True
4,GAP0,GAP,2026,0,2026,24,0.9189721185714006,0.9189721185714006,0.1568346806336194,0.0,0.0,0.6829352378845215,20.0,0.8584693246636509,0.8584693246636509,0.1621342447917323,0.0,0.0,0.6768372654914856,True
5,GAP0,GAP,2026,0,2026,24,0.954667092859745,0.954667092859745,0.2021385334432125,0.0,0.0,0.6913366317749023,20.0,0.8779839109783331,0.8779839109783331,0.2031905600293116,0.0,0.0,0.6773969531059265,True
6,GAP0,GAP,2026,0,2026,24,0.8703670509159565,0.8703670509159565,0.2219421285204589,0.0,0.0,0.6990863680839539,20.0,0.8487291690731836,0.8487291690731836,0.2008605243191738,0.0,0.0,0.698175847530365,True
7,GAP0,GAP,2026,0,2026,24,0.9177179161459208,0.9177179161459208,0.2569624933414161,0.0,0.0,0.7340607643127441,20.0,0.8541742129759355,0.8541742129759355,0.2728207510364942,0.0,0.0,0.7348782420158386,True
1,GAP0,GAP,2026,1,2027,24,2.181605890393257,2.181605890393257,0.8429725222289562,0.0,0.0,0.3050597608089447,20.0,1.4605229058541542,1.4605229058541542,0.2717820196604926,0.0,0.0,0.0946463122963905,True
2,GAP0,GAP,2026,1,2027,24,1.417827493697405,1.417827493697405,0.2019078229088336,0.0,0.0,0.1304592043161392,20.0,1.1973610466176814,1.1973610466176814,0.0702700276266444,0.0,0.0,0.1196343898773193,True
3,GAP0,GAP,2026,1,2027,24,1.2399830244481564,1.2399830244481564,0.1013315681368112,0.0,0.0,0.2142612934112548,20.0,1.0756365415478542,1.0756365415478542,0.0645862449545505,0.0,0.0,0.350126713514328,True
4,GAP0,GAP,2026,1,2027,24,1.0145301308482886,1.0145301308482886,0.1067206974606961,0.0,0.0,0.5973239541053772,20.0,0.7829760549482235,0.7829760549482235,0.0748194777522205,0.0,0.0,0.6550979018211365,True
5,GAP0,GAP,2026,1,2027,24,0.8747918579727412,0.8747918579727412,0.1164717180188745,0.0,0.0,0.6849327087402344,20.0,0.7997533683934488,0.7997533683934488,0.101824963265214,0.0,0.0,0.6613247990608215,True
6,GAP0,GAP,2026,1,2027,24,0.8683155354112386,0.8683155354112386,0.1524186295922845,0.0,0.0,0.683467447757721,20.0,0.7863153169962985,0.7863153169962985,0.1491501461868443,0.0,0.0,0.6646551489830017,True
7,GAP0,GAP,2026,1,2027,24,0.8802855286747218,0.8802855286747218,0.1991326823364943,0.0,0.0,0.6888306736946106,20.0,0.8277728459066596,0.8277728459066596,0.2060349066395405,0.0,0.0,0.6794407963752747,True
1,GAP0,GAP,2026,2,2028,24,2.1405000798404217,2.1405000798404217,0.8106200316920876,0.0,0.0,0.2714178264141083,20.0,1.4438453351170564,1.4438453351170564,0.2630707572314364,0.0,0.0,0.1413975208997726,True
2,GAP0,GAP,2026,2,2028,24,1.3885926976799965,1.3885926976799965,0.1999206562060863,0.0,0.0,0.1922685354948043,20.0,1.1424062577160925,1.1424062577160925,0.0843320392872676,0.0,0.0,0.3210978507995605,True
3,GAP0,GAP,2026,2,2028,24,1.1107115749269725,1.1107115749269725,0.1152130675502121,0.0,0.0,0.5053036212921143,20.0,0.94590586571654,0.94590586571654,0.0777802193337235,0.0,0.0,0.6521039009094238,True
4,GAP0,GAP,2026,2,2028,24,0.9252796698361636,0.9252796698361636,0.1060986245051026,0.0,0.0,0.6879959106445312,20.0,0.9250795131872508,0.9250795131872508,0.1092585694691366,0.0,0.0,0.6998615264892578,True
5,GAP0,GAP,2026,2,2028,24,0.8475638855248689,0.8475638855248689,0.1320281816180795,0.0,0.0,0.7224897742271423,20.0,0.9474150661594612,0.9474150661594612,0.167969097529561,0.0,0.0,0.7211212515830994,True
6,GAP0,GAP,2026,2,2028,24,0.8310856848955155,0.8310856848955155,0.1747277091722935,0.0,0.0,0.7414090037345886,20.0,0.9387817333552464,0.9387817333552464,0.2151128620155586,0.0,0.0,0.7420870661735535,True
7,GAP0,GAP,2026,2,2028,24,0.8118473336100578,0.8118473336100578,0.2189387891907245,0.0,0.0,0.7745311260223389,20.0,0.9475590552180266,0.9475590552180266,0.2603112695630917,0.0,0.0,0.7563554644584656,True
1,GAP0,GAP,2026,3,2029,25,2.19961678981781,2.19961678981781,0.8818482985720039,0.0,0.0,0.34485924243927,20.0,1.462957888595329,1.462957888595329,0.3363499932052675,0.0,0.0,0.2455019950866699,True
2,GAP0,GAP,2026,3,2029,25,1.2871495492756366,1.2871495492756366,0.2688782017678022,0.0,0.0,0.4630714952945709,20.0,0.9347277549672718,0.9347277549672718,0.1173257204619321,0.0,0.0,0.5585455298423767,True
3,GAP0,GAP,2026,3,2029,25,0.9427957884967328,0.9427957884967328,0.1445650606881827,0.0,0.0,0.6470606327056885,20.0,0.8052494545613439,0.8052494545613439,0.0892845865739278,0.0,0.0,0.6531078815460205,True
4,GAP0,GAP,2026,3,2029,25,0.8728067509829998,0.8728067509829998,0.1425163893494755,0.0,0.0,0.688426673412323,20.0,0.8585359301448854,0.8585359301448854,0.1331353224506063,0.0,0.0,0.6583115458488464,True
5,GAP0,GAP,2026,3,2029,25,0.8854257058352232,0.8854257058352232,0.1757674082182347,0.0,0.0,0.6884228587150574,20.0,0.7891720996415319,0.7891720996415319,0.1356656043982702,0.0,0.0,0.6606635451316833,True
6,GAP0,GAP,2026,3,2029,25,0.938048042356968,0.938048042356968,0.2162949725519865,0.0,0.0,0.6939249038696289,20.0,0.7746997022431744,0.7746997022431744,0.1703882144748672,0.0,0.0,0.6748843193054199,True
7,GAP0,GAP,2026,3,2029,25,0.9263684466481208,0.9263684466481208,0.2497612060979008,0.0,0.0,0.7086356282234192,20.0,0.8651655143942715,0.8651655143942715,0.2329579645937139,0.0,0.0,0.6809093952178955,True
1,GAP0,GAP,2026,4,2030,25,2.227188728004694,2.227188728004694,0.938553668372333,0.0,0.0,0.3615544736385345,20.0,1.4571782518024288,1.4571782518024288,0.3379847688123214,0.0,0.0,0.2770395576953888,True
2,GAP0,GAP,2026,4,2030,25,1.3006293967366218,1.3006293967366218,0.2586089107207954,0.0,0.0,0.4452289044857025,20.0,0.9232176911732382,0.9232176911732382,0.104978623068776,0.0,0.0,0.5642809271812439,True
3,GAP0,GAP,2026,4,2030,25,0.9523568078875542,0.9523568078875542,0.1456833667121827,0.0,0.0,0.6284279227256775,20.0,0.7824087571506658,0.7824087571506658,0.098708464802543,0.0,0.0,0.6549043655395508,True
4,GAP0,GAP,2026,4,2030,25,0.8613518636673689,0.8613518636673689,0.1484080269932746,0.0,0.0,0.6636257767677307,20.0,0.7692158365052594,0.7692158365052594,0.132972545244477,0.0,0.0,0.673664391040802,True
5,GAP0,GAP,2026,4,2030,25,0.8626100022345782,0.8626100022345782,0.179377874918282,0.0,0.0,0.68516606092453,20.0,0.7739595820095914,0.7739595820095914,0.1680514618508086,0.0,0.0,0.6886884570121765,True
6,GAP0,GAP,2026,4,2030,25,0.8685310270637274,0.8685310270637274,0.2149333270266652,0.0,0.0,0.7021031379699707,20.0,0.7634814884051804,0.7634814884051804,0.2050299494227102,0.0,0.0,0.7209296226501465,True
7,GAP0,GAP,2026,4,2030,25,0.8488318983465433,0.8488318983465433,0.2539736870676279,0.0,0.0,0.738702118396759,20.0,0.8971408925765803,0.8971408925765803,0.2641048488045527,0.0,0.0,0.7106269001960754,True
1,GAP3,GAP,2026,0,2026,24,2.387987895074978,2.32735238224268,0.9973812263458968,0.2425420513291928,242.0,0.348527193069458,20.0,1.5929136231665826,1.5338735570592328,0.3905275981288311,0.2361602644293995,59.0,0.222408577799797,True
2,GAP3,GAP,2026,0,2026,24,1.4084966030088253,1.3499022640287877,0.2915780979208648,0.2343773559201508,240.0,0.424215167760849,20.0,1.048357709591037,0.992329027041916,0.1142224327099224,0.224114730196484,59.0,0.5291209816932678,True
3,GAP3,GAP,2026,0,2026,24,1.0533942483583505,0.9928235195577144,0.1480527403764426,0.242282915202544,235.0,0.6273786425590515,20.0,0.8809159132239092,0.8226507517917097,0.0919875910828921,0.2330606457287982,59.0,0.6429962515830994,True
4,GAP3,GAP,2026,0,2026,24,0.9760605678692366,0.9157157506793736,0.1537968771066516,0.2413792687594511,236.0,0.675929605960846,20.0,0.914611994927181,0.860171216578523,0.159833808760505,0.2177631133946321,59.0,0.663946807384491,True
5,GAP3,GAP,2026,0,2026,24,1.0123492590352676,0.9512636825442314,0.196509814215824,0.2443423059641449,241.0,0.6799041628837585,20.0,0.935220900576915,0.8747528101787094,0.1956103899139018,0.2418723615928221,59.0,0.6664548516273499,True
6,GAP3,GAP,2026,0,2026,24,0.9242149813434714,0.8651899348944425,0.2146217409987002,0.2361001857961154,237.0,0.6839964985847473,20.0,0.9003779401569318,0.8453218828548085,0.1940956318612433,0.2202242292084936,59.0,0.6823567748069763,True
7,GAP3,GAP,2026,0,2026,24,0.9771876146462052,0.9170900728553534,0.2501497230492532,0.2403901671634075,235.0,0.7167018055915833,20.0,0.9269351067799264,0.8719025200063532,0.2759532415854537,0.2201303470942933,59.0,0.7228841781616211,True
1,GAP3,GAP,2026,1,2027,24,2.2456587570833797,2.183999437838793,0.8456770740449429,0.2466372769783463,228.0,0.3062216639518738,20.0,1.5061597748051498,1.4590660816381786,0.270439952365623,0.1883747726678848,69.0,0.092532031238079,True
2,GAP3,GAP,2026,1,2027,24,1.4711086005242102,1.4157195031642913,0.2004956836346537,0.2215563894396759,234.0,0.1262104660272598,20.0,1.2459324559303695,1.1972681293802814,0.0681883575133055,0.1946573062003522,69.0,0.1115664318203926,True
3,GAP3,GAP,2026,1,2027,24,1.3058035194898212,1.2526538141071797,0.0964749614708125,0.2125988215305659,229.0,0.1704861521720886,20.0,1.1662187173689076,1.1200521977479794,0.0566994588483463,0.1846660784837128,69.0,0.2473513036966323,True
4,GAP3,GAP,2026,1,2027,24,1.1216533677554446,1.0706346325576306,0.1031371638178825,0.2040749407912555,228.0,0.5393967628479004,20.0,0.9161043995520612,0.8641733512405522,0.0717921699127875,0.2077241932460363,69.0,0.631930410861969,True
5,GAP3,GAP,2026,1,2027,24,0.9541826298084568,0.8951839338988066,0.1115769890602678,0.2359947836386007,228.0,0.6882100701332092,20.0,0.8450643124294434,0.7907871549779718,0.0941633390001029,0.2171086298058862,69.0,0.6716559529304504,True
6,GAP3,GAP,2026,1,2027,24,0.9059839365720423,0.8480826679617166,0.1415301433764398,0.2316050744413033,230.0,0.6959030032157898,20.0,0.8138633738618252,0.7646176140170452,0.1360885828487144,0.1969830393791198,69.0,0.6822202205657959,True
7,GAP3,GAP,2026,1,2027,24,0.9178780248645564,0.8635864488780498,0.184526291443035,0.2171663039460264,232.0,0.6997613906860352,20.0,0.841570717044213,0.7967710091062814,0.1849606115955951,0.1791988317517266,69.0,0.6766592860221863,True
1,GAP3,GAP,2026,2,2028,24,2.234524223475685,2.1676115661859514,0.8219521081075072,0.2676506291589357,234.0,0.260241836309433,20.0,1.5219220153481596,1.4615676284821566,0.2726384588509551,0.2414175474640125,52.0,0.1341169625520706,True
2,GAP3,GAP,2026,2,2028,24,1.4549021572370258,1.398158610612154,0.201607510400936,0.2269741864994871,233.0,0.1804573684930801,20.0,1.2109137116821476,1.1500023169951006,0.0831861601880759,0.2436455787481883,52.0,0.3001659214496612,True
3,GAP3,GAP,2026,2,2028,24,1.1805058769760248,1.124233538657427,0.1123744152020663,0.225089353274392,230.0,0.4826448857784271,20.0,1.0120020403987482,0.9513549548535308,0.0751281229794518,0.2425883421808696,52.0,0.6339520812034607,True
4,GAP3,GAP,2026,2,2028,24,0.9853727511432652,0.9272399410605432,0.1023637836333364,0.232531240330888,231.0,0.6708855628967285,20.0,0.96974311141291,0.9105601330433996,0.1026936675891403,0.236731913478042,52.0,0.6945796608924866,True
5,GAP3,GAP,2026,2,2028,24,0.8926838663783162,0.8372237328439951,0.1247940209228545,0.2218405341372845,235.0,0.7026636004447937,20.0,0.9975454460188804,0.9368540969761936,0.1592461607180351,0.2427653961707479,52.0,0.7046834826469421,True
6,GAP3,GAP,2026,2,2028,24,0.8929301476381848,0.8369764119386673,0.16385602732189,0.2238149427980696,233.0,0.7159679532051086,20.0,0.9943589869277104,0.9320698257320184,0.206997009101978,0.2491566447827678,52.0,0.7228955626487732,True
7,GAP3,GAP,2026,2,2028,24,0.8924831265705111,0.8380938746035099,0.2037294485140592,0.2175570078680049,230.0,0.7384777069091797,20.0,1.035767403635537,0.971403736713504,0.2426495852549214,0.2574546676881324,52.0,0.7335372567176819,True
1,GAP3,GAP,2026,3,2029,25,2.270901369889957,2.208581230789423,0.8904739497229457,0.249280556402137,232.0,0.3488004505634308,20.0,1.514980689703216,1.463620434122637,0.343103204384323,0.2054410223223146,61.0,0.2576081454753876,True
2,GAP3,GAP,2026,3,2029,25,1.3436191786680165,1.287607343494892,0.2713315311819315,0.2240473406924966,233.0,0.473187118768692,20.0,0.98697911049298,0.9342729326122065,0.1168637060183138,0.2108247115230951,61.0,0.5599234700202942,True
3,GAP3,GAP,2026,3,2029,25,0.9980573146882602,0.9418970346450806,0.1438296742271632,0.2246411201727186,234.0,0.6441367268562317,20.0,0.8553537376403664,0.8004717595321088,0.0880302614416957,0.2195279124330302,61.0,0.6519350409507751,True
4,GAP3,GAP,2026,3,2029,25,0.9270570893356463,0.8724991500377655,0.1427435301244259,0.2182317571915236,232.0,0.6883098483085632,20.0,0.913619153596266,0.8590905700833344,0.1345217593691565,0.2181143340517262,61.0,0.6555179953575134,True
5,GAP3,GAP,2026,3,2029,25,0.9395056894852464,0.8833922080695629,0.1764736991375684,0.2244539256627339,233.0,0.6861266493797302,20.0,0.8527750838163101,0.7982833804177843,0.1355297285909495,0.2179668135941028,61.0,0.6543444991111755,True
6,GAP3,GAP,2026,3,2029,25,0.9987904484853436,0.943011935800314,0.2158892813604325,0.2231140507401192,232.0,0.6890292167663574,20.0,0.8233039702608416,0.7721848502632015,0.1677075349225485,0.2044764799905605,61.0,0.6676799654960632,True
7,GAP3,GAP,2026,3,2029,25,0.9767646272788229,0.9241063863039016,0.2483770009595901,0.210632963899685,230.0,0.6975203156471252,20.0,0.9293103458556928,0.865637714212591,0.2313870831954577,0.2546905265724072,61.0,0.6722021698951721,True
1,GAP3,GAP,2026,4,2030,25,2.3408237100837543,2.262832896411419,0.9525938089936972,0.3119632546893424,216.0,0.343772143125534,20.0,1.5446838374370222,1.483803296877333,0.3353007918547007,0.2435221622387568,66.0,0.2401413470506668,True
2,GAP3,GAP,2026,4,2030,25,1.39471504038503,1.3296345934271812,0.2541274062357843,0.2603217878313951,215.0,0.4007094204425812,20.0,1.019151074242247,0.9544837331968892,0.0964455623949362,0.2586693641814319,66.0,0.5233681797981262,True
3,GAP3,GAP,2026,4,2030,25,1.0317152846893165,0.9631481438875198,0.1377634931355714,0.2742685632071864,213.0,0.5977097749710083,20.0,0.8485613557338181,0.7860291265259104,0.0908629068535221,0.2501289168316306,66.0,0.6336916089057922,True
4,GAP3,GAP,2026,4,2030,25,0.9209971664560048,0.8546219259500504,0.1371787457726895,0.2655009620238182,215.0,0.6422905325889587,20.0,0.8289821258805097,0.7645284380794557,0.1208918855086831,0.2578147512042161,66.0,0.650600254535675,True
5,GAP3,GAP,2026,4,2030,25,0.9263142637139576,0.8629646006971597,0.1665781811811029,0.2533986520671913,215.0,0.6544089913368225,20.0,0.84716721585395,0.7844840529536413,0.1592526817001587,0.2507326516012351,66.0,0.6592314839363098,True
6,GAP3,GAP,2026,4,2030,25,0.9432514107743591,0.8816874630749225,0.2044907006435096,0.2462557907977469,219.0,0.658598780632019,20.0,0.8667151535637985,0.8060529892109642,0.2096730664002994,0.2426486574113369,66.0,0.6612589359283447,True
7,GAP3,GAP,2026,4,2030,25,0.945244334499726,0.8841116975992918,0.2383353146258741,0.2445305476017366,214.0,0.6686624884605408,20.0,0.8981535108606061,0.8380609593115562,0.2267161925469548,0.2403702061961997,66.0,0.6788936257362366,True
1,LOCAL0,LOCAL,2026,0,2026,24,2.2523263841867447,2.2523263841867447,1.179456606507301,0.0,0.0,0.7011370658874512,20.0,1.5227308568875653,1.5227308568875653,0.7056992177135688,0.0,0.0,0.7649043202400208,True
2,LOCAL0,LOCAL,2026,0,2026,24,1.3298285715281963,1.3298285715281963,0.556628978997469,0.0,0.0,0.8172408938407898,20.0,1.0237455762122287,1.0237455762122287,0.3890345026392582,0.0,0.0,0.8282585144042969,True
3,LOCAL0,LOCAL,2026,0,2026,24,1.0199843034148215,1.0199843034148215,0.4063497694209218,0.0,0.0,0.8477208018302917,20.0,0.9107717748515862,0.9107717748515862,0.3874900496203052,0.0,0.0,0.8509106636047363,True
4,LOCAL0,LOCAL,2026,0,2026,24,0.9610039193183184,0.9610039193183184,0.440148732252419,0.0,0.0,0.8578293323516846,20.0,0.9319511262838506,0.9319511262838506,0.4577825964728663,0.0,0.0,0.8503410816192627,True
5,LOCAL0,LOCAL,2026,0,2026,24,0.9632494546473026,0.9632494546473026,0.4980526173487306,0.0,0.0,0.8604493141174316,20.0,0.9138760192335144,0.9138760192335144,0.5109059389465112,0.0,0.0,0.8542726635932922,True
6,LOCAL0,LOCAL,2026,0,2026,24,0.9929967779666186,0.9929967779666186,0.5525918373838067,0.0,0.0,0.8632046580314636,20.0,1.0190498454511658,1.0190498454511658,0.5804448056319529,0.0,0.0,0.8408324718475342,True
7,LOCAL0,LOCAL,2026,0,2026,24,1.0011789701879024,1.0011789701879024,0.5890868835151195,0.0,0.0,0.8636877536773682,20.0,0.963265350288596,0.963265350288596,0.5919634542189354,0.0,0.0,0.8573653697967529,True
1,LOCAL0,LOCAL,2026,1,2027,24,2.2011894837021826,2.2011894837021826,1.0034607222303749,0.0,0.0,0.5321492552757263,20.0,1.4728990704560083,1.4728990704560083,0.5189854566715966,0.0,0.0,0.6102791428565979,True
2,LOCAL0,LOCAL,2026,1,2027,24,1.3169868625700474,1.3169868625700474,0.4317581987008452,0.0,0.0,0.7235472202301025,20.0,1.050762797190138,1.050762797190138,0.3083163302792005,0.0,0.0,0.7638160586357117,True
3,LOCAL0,LOCAL,2026,1,2027,24,1.0517268791794776,1.0517268791794776,0.3495717660523951,0.0,0.0,0.801181972026825,20.0,0.904656649621065,0.904656649621065,0.3179847770485996,0.0,0.0,0.805694043636322,True
4,LOCAL0,LOCAL,2026,1,2027,24,0.9859561085700989,0.9859561085700989,0.3842191864736378,0.0,0.0,0.8309162259101868,20.0,0.8714775595783202,0.8714775595783202,0.3710085163431719,0.0,0.0,0.82965487241745,True
5,LOCAL0,LOCAL,2026,1,2027,24,0.9733912218362092,0.9733912218362092,0.4415427785366773,0.0,0.0,0.8436522483825684,20.0,0.884540569683737,0.884540569683737,0.4294763222213619,0.0,0.0,0.8340616822242737,True
6,LOCAL0,LOCAL,2026,1,2027,24,0.9297903221100569,0.9297903221100569,0.4763339731842279,0.0,0.0,0.8520815968513489,20.0,0.9279785254770074,0.9279785254770074,0.499707571731126,0.0,0.0,0.8470669388771057,True
1,LOCAL0,LOCAL,2026,2,2028,24,2.089150863140821,2.089150863140821,0.888591549731791,0.0,0.0,0.5040346384048462,20.0,1.4253501773865755,1.4253501773865755,0.4469855176515815,0.0,0.0,0.6094375848770142,True
2,LOCAL0,LOCAL,2026,2,2028,24,1.263861279189587,1.263861279189587,0.3726316672749817,0.0,0.0,0.7208671569824219,20.0,1.040970892945597,1.040970892945597,0.2600442786847264,0.0,0.0,0.7534909248352051,True
3,LOCAL0,LOCAL,2026,2,2028,24,0.9788755074143408,0.9788755074143408,0.280368827842176,0.0,0.0,0.8101251125335693,20.0,0.9058470982165376,0.9058470982165376,0.2889131076079755,0.0,0.0,0.8086142539978027,True
4,LOCAL0,LOCAL,2026,2,2028,24,0.916128461062908,0.916128461062908,0.317726029921323,0.0,0.0,0.8380472660064697,20.0,1.003703525243712,1.003703525243712,0.3699033427829585,0.0,0.0,0.8010356426239014,True
5,LOCAL0,LOCAL,2026,2,2028,24,0.9083237785845996,0.9083237785845996,0.3857486849650741,0.0,0.0,0.8473300933837891,20.0,0.9627826942885218,0.9627826942885218,0.4537420524053337,0.0,0.0,0.8333877921104431,True
6,LOCAL0,LOCAL,2026,2,2028,24,0.9273884270340204,0.9273884270340204,0.4464988411404192,0.0,0.0,0.8501788973808289,20.0,1.0349180895434924,1.0349180895434924,0.5074820833757889,0.0,0.0,0.8140187859535217,True
1,LOCAL0,LOCAL,2026,3,2029,25,2.1458630077540874,2.1458630077540874,1.0495905995368957,0.0,0.0,0.669590413570404,20.0,1.3887935019721669,1.3887935019721669,0.5101981495530152,0.0,0.0,0.713461697101593,True
2,LOCAL0,LOCAL,2026,3,2029,25,1.2221923757344484,1.2221923757344484,0.4287555757910013,0.0,0.0,0.8059232234954834,20.0,0.9113599081669956,0.9113599081669956,0.2441903989423405,0.0,0.0,0.8123578429222107,True
3,LOCAL0,LOCAL,2026,3,2029,25,0.9789143845438956,0.9789143845438956,0.3085386360064149,0.0,0.0,0.8466216921806335,20.0,0.8084000457416881,0.8084000457416881,0.2523141152972032,0.0,0.0,0.8361902832984924,True
4,LOCAL0,LOCAL,2026,3,2029,25,0.8961197607219219,0.8961197607219219,0.33822687799111,0.0,0.0,0.8569424152374268,20.0,0.7801652200951064,0.7801652200951064,0.2922857329249382,0.0,0.0,0.8429568409919739,True
5,LOCAL0,LOCAL,2026,3,2029,25,0.906339056044817,0.906339056044817,0.4023471366614103,0.0,0.0,0.8617578148841858,20.0,0.8095840161496942,0.8095840161496942,0.3524459434195983,0.0,0.0,0.8394678235054016,True
6,LOCAL0,LOCAL,2026,3,2029,25,0.9528770573437214,0.9528770573437214,0.4676115980371833,0.0,0.0,0.8618428111076355,20.0,0.8472196326768102,0.8472196326768102,0.4178637700878884,0.0,0.0,0.8512067794799805,True
1,LOCAL0,LOCAL,2026,4,2030,25,2.107097852230072,2.107097852230072,1.009718631580472,0.0,0.0,0.629326581954956,20.0,1.3688587679350672,1.3688587679350672,0.5208678558345669,0.0,0.0,0.7018589973449707,True
2,LOCAL0,LOCAL,2026,4,2030,25,1.247908303886652,1.247908303886652,0.4384526865556836,0.0,0.0,0.7761824131011963,20.0,1.007546773626785,1.007546773626785,0.3315491088904625,0.0,0.0,0.7879233360290527,True
3,LOCAL0,LOCAL,2026,4,2030,25,1.0168634071946143,1.0168634071946143,0.3670622665435076,0.0,0.0,0.8171834945678711,20.0,0.9272500468679696,0.9272500468679696,0.3596770735072696,0.0,0.0,0.8238465785980225,True
4,LOCAL0,LOCAL,2026,4,2030,25,1.0007913678884506,1.0007913678884506,0.4152102610096335,0.0,0.0,0.8446308970451355,20.0,1.0099106554157478,1.0099106554157478,0.4353536428991428,0.0,0.0,0.8198896050453186,True
5,LOCAL0,LOCAL,2026,4,2030,25,1.0020461697131395,1.0020461697131395,0.4781161744147539,0.0,0.0,0.851152241230011,20.0,0.9731021055505296,0.9731021055505296,0.4942907576472306,0.0,0.0,0.8389424681663513,True
6,LOCAL0,LOCAL,2026,4,2030,25,1.0044255554676056,1.0044255554676056,0.5206580860540271,0.0,0.0,0.8561487793922424,20.0,0.9500158301069715,0.9500158301069715,0.541053184546715,0.0,0.0,0.8432227969169617,True
1,LOCAL3,LOCAL,2026,0,2026,24,2.3089558410512145,2.260826781392097,1.174976210668683,0.192516238636468,242.0,0.6835453510284424,20.0,1.5696286306488074,1.531973127491218,0.7011759547162647,0.1506220126303575,59.0,0.7467668056488037,True
