seed_base,arm,analysis_scope,task,endpoint,target_semantics,scale,aggregation,n_folds,n_test,spearman,pearson,r2,rmse,mae,b0_rmse,rmse_gain_over_b0,prediction_target_variance_ratio,calibration_slope,calibration_intercept,calibration_mean_bias
2026,GAP0,primary_measurement_valid,static,T0,static_ftv_log_winsor_median_iqr_inverse_natural,transformed_outer_train,mean_of_5_fold_specific_transform_metrics,5,375,0.3396145570763126,0.3357296536927243,0.07744926622525863,0.3855550637079583,0.30809698011140285,0.4038965057517139,0.046461101922577304,0.23075822129182272,0.15828933702519518,0.42336596533610493,0.01229801355088908
2026,GAP0,primary_measurement_valid,static,T1,static_ftv_log_winsor_median_iqr_inverse_natural,transformed_outer_train,mean_of_5_fold_specific_transform_metrics,5,375,0.382002806031305,0.3746124689012951,0.1260607273807035,0.45484092122724296,0.35463119160803636,0.49414975063675054,0.07801572476467229,0.21422331734329933,0.17808846680225765,0.17702809908520503,0.012631360606542403
2026,GAP0,primary_measurement_valid,static,T2,static_ftv_log_winsor_median_iqr_inverse_natural,transformed_outer_train,mean_of_5_fold_specific_transform_metrics,5,375,0.14650509690890315,0.15085870748096725,-0.020744912840379836,0.639037517537391,0.5015512247699109,0.6425687462285612,0.002982427435846021,0.09736576374061509,0.0444575794915177,-0.2940437734187276,0.0017475819883181012
2026,GAP0,primary_measurement_valid,static,T3,static_ftv_log_winsor_median_iqr_inverse_natural,transformed_outer_train,mean_of_5_fold_specific_transform_metrics,5,375,0.016468990829988005,0.043329928679332476,-0.04913957851246046,0.6241914259327638,0.5004550563345788,0.6147106558945465,-0.01533587857741588,0.07627320757126745,0.02200506048412616,-0.64960318293324,-0.01992825329405732
2026,GAP0,primary_measurement_valid,delta,T0_to_T1,literal_ftv_end_minus_ftv_start,standardized_outer_train,mean_of_5_fold_specific_transform_metrics,5,375,0.033418006384565074,-0.03475404493703199,-0.04754159384898515,0.9473808409514692,0.52247263165572,0.9399665324822373,-0.0109516869432086,0.0170049275645932,-0.00215258222356058,-0.0059633408658653604,0.011933803937747137
2026,GAP0,primary_measurement_valid,delta,T1_to_T2,literal_ftv_end_minus_ftv_start,standardized_outer_train,mean_of_5_fold_specific_transform_metrics,5,375,0.17341318250493473,0.19040808237921733,-0.11781718814661168,0.9624836397551053,0.5650813136022373,0.9195192108402048,-0.04442565513794182,0.25619175279958173,0.07605011163480996,-0.00702772696477916,-0.028464801141291286
2026,GAP0,primary_measurement_valid,delta,T2_to_T3,literal_ftv_end_minus_ftv_start,standardized_outer_train,mean_of_5_fold_specific_transform_metrics,5,375,0.04531505851358734,-0.02647614001357516,-0.6466984314665686,0.907237175200159,0.3566928694286316,0.8647480762588101,-0.14571606405557475,0.38775695964180457,-0.023753079722697523,0.00688219780390024,0.0018499535423650167
2026,GAP0,observable_only,static,T0,static_ftv_log_winsor_median_iqr_inverse_natural,transformed_outer_train,mean_of_5_fold_specific_transform_metrics,5,374,0.33462142582836496,0.33953504938293877,0.08744567442831233,0.3826515940155649,0.3063484963535376,0.4027899113489097,0.05105352918453256,0.22355078342250811,0.1588766936021459,0.42150630817000573,0.012321504849323697
2026,GAP0,observable_only,static,T1,static_ftv_log_winsor_median_iqr_inverse_natural,transformed_outer_train,mean_of_5_fold_specific_transform_metrics,5,367,0.3531986985427992,0.3471547946326318,0.11153798470735268,0.45205882181469,0.35341329382026865,0.48473008493804703,0.0663792873966778,0.17226397321593256,0.1480570186931268,0.17334243935353608,0.008637659285991878
2026,GAP0,observable_only,static,T2,static_ftv_log_winsor_median_iqr_inverse_natural,transformed_outer_train,mean_of_5_fold_specific_transform_metrics,5,372,0.14525837382520096,0.1460303254028749,-0.020404455291229164,0.6371728575695317,0.5007901978885245,0.6398859725431689,0.0020106556863745593,0.0942873373092975,0.042279844571069834,-0.3008536058028938,0.0010325239148355008
2026,GAP0,observable_only,static,T3,static_ftv_log_winsor_median_iqr_inverse_natural,transformed_outer_train,mean_of_5_fold_specific_transform_metrics,5,373,0.014127108690037499,0.04031634929629638,-0.04998441671720878,0.6212226875411245,0.4976611210519831,0.6113123593073811,-0.01592918147034558,0.07527904700403251,0.02066594747849798,-0.6544928260483468,-0.019259345388607286
2026,GAP0,observable_only,delta,T0_to_T1,literal_ftv_end_minus_ftv_start,standardized_outer_train,mean_of_5_fold_specific_transform_metrics,5,366,0.0488289814630006,0.023945602836974535,-0.04169138411565193,0.9477687437917179,0.5288989861190687,0.9441401833567087,-0.006107693204855762,0.01849787034385228,0.005195701337102301,-0.00535022726862718,0.018001429058002456
