seed_base,fold,task,comparison,left_arm,right_arm,effect_spearman,effect_pearson,effect_r2,effect_rmse,effect_mae,effect_b0_rmse,effect_rmse_gain_over_b0,effect_prediction_target_variance_ratio,effect_calibration_slope,effect_calibration_intercept,effect_calibration_mean_bias
2026,0,static,LOCAL0-GAP0,LOCAL0,GAP0,0.300401899890391,0.0532689203713958,0.03999632065390675,-0.9724499806652958,-2.0994451458564445,0.0,0.021137323000968773,0.03846582267785734,0.040137177246711855,-1.1556107458851512,-0.00490776391109371
2026,0,static,LOCAL3-GAP3,LOCAL3,GAP3,0.3502283522104495,0.09136294279812046,0.04927166398796816,-1.206561996878328,-2.116831798651285,0.0,0.025156330692859476,0.1024853655340126,0.07159409210464074,-0.4599182849776833,1.5539727774688847
2026,0,static,GAP3-GAP0,GAP3,GAP0,-0.023529411764705854,-0.022773081094862202,-0.013635889046645103,0.5035409172316818,0.15216488032057285,0.0,-0.0069698221258722,0.003747426473334023,-0.005051168158206873,0.18988354420075115,-0.020439837593945853
2026,0,static,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.026297040555352647,0.015320941331862459,-0.004360545712583694,0.26942890101864947,0.13477822752573232,0.0,-0.0029508144339814996,0.0677669693294893,0.02640574669972201,0.8855760051082191,1.5384407037860326
2026,0,delta,LOCAL0-GAP0,LOCAL0,GAP0,0.2768481305565705,0.30383945736910517,0.29061828347069374,-2.5281083446166157,-1.339575857572088,0.0,0.13524480402968575,-0.15001678064202018,0.0685939668082827,1.1027089905213776,0.45874594229370214
2026,0,delta,LOCAL3-GAP3,LOCAL3,GAP3,0.2713798562903422,0.3214295750538943,0.15990007549266338,-1.6255849787220313,-0.8267996574906871,0.0,0.082104860739581,0.1537573864813667,0.15437683111418413,1.8794202477576638,0.4060728496383599
2026,0,delta,GAP3-GAP0,GAP3,GAP0,0.020009743027645854,0.029502139671302274,0.1537770455946889,-1.1361835719760656,-0.5883502593523335,0.0,0.06504931304277617,-0.18618464053086456,-0.015130915955893401,0.04993832012683086,0.19807374587654358
2026,0,delta,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.014541468761417597,0.047092257356091405,0.023058837616658532,-0.2336602060814812,-0.07557405927093264,0.0,0.011909369752671432,0.11758952659252231,0.07065194835000801,0.8266495773631171,0.14540065322120133
2026,1,static,LOCAL0-GAP0,LOCAL0,GAP0,0.15454146380397482,0.08676645531687216,0.10252636044429184,-1.2461261471556693,-0.778910197669564,0.0,0.05571301970415449,0.06295613499765365,0.07524311960395405,-0.942804796006314,0.29337781618384406
2026,1,static,LOCAL3-GAP3,LOCAL3,GAP3,0.0910387900071834,0.12281951753530962,0.15924230717104626,-1.4147237125419139,-0.5555253725848015,0.0,0.07523774631600197,-0.05016213388302093,0.046710947587441265,-0.15201146471046556,0.8244756343106747
