seed_base,task,endpoint,analysis_scope,comparison,left_arm,right_arm,effect_natural_spearman,effect_natural_pearson,effect_natural_r2,effect_natural_rmse,effect_natural_mae,effect_natural_b0_rmse,effect_natural_rmse_gain_over_b0,effect_natural_prediction_target_variance_ratio,effect_natural_calibration_slope,effect_natural_calibration_intercept,effect_natural_calibration_mean_bias,effect_transformed_spearman,effect_transformed_pearson,effect_transformed_r2,effect_transformed_rmse,effect_transformed_mae,effect_transformed_b0_rmse,effect_transformed_rmse_gain_over_b0,effect_transformed_prediction_target_variance_ratio,effect_transformed_calibration_slope,effect_transformed_calibration_intercept,effect_transformed_calibration_mean_bias
2026,static,T0,primary_measurement_valid,GAP3-GAP0,GAP3,GAP0,0.030478552736375064,-0.014760614175788112,-0.01133644657291033,0.24303598531805193,-0.20467748382844064,0.0,-0.00568152150415583,-0.0013234558866036666,-0.004095331044218296,-0.26014764787666067,-0.3772371222200963,0.029721045181043015,0.03885026392282126,0.03109788245131899,-0.006343686385884562,-0.004452450087782611,0.0,0.01716215337258125,-0.0028542120219591516,0.012754838153021891,-0.014360296225077396,-0.008966450251720097
2026,static,T1,primary_measurement_valid,GAP3-GAP0,GAP3,GAP0,0.0028264876550232465,-0.015037022522222665,-0.019809472543526163,0.37805682669443996,0.08422677449535776,0.0,-0.009960458354680471,-0.052759192414629966,-0.03196375102661073,-0.16941514170083494,-0.7307939324492025,-0.001389884234903549,0.0002828258635477754,-0.0026666359930832134,0.0007170839870282997,-0.0012886675430070493,0.0,-0.0019257924589133474,-0.013090771730586953,-0.009802008441082338,-0.014509852749135216,-0.01612251523287306
2026,static,T2,primary_measurement_valid,GAP3-GAP0,GAP3,GAP0,0.05758698372966209,-0.00646219225569343,0.0037410215930926416,-0.057128281264191116,0.0116720833680386,0.0,0.0018225315496744991,0.0036871098135010374,0.0027452985512094914,0.11557782766024793,0.1402224431503818,0.05780733291419707,0.06528548361713771,0.04027290404772707,-0.013403440987811654,-0.003659964414859329,0.0,0.01986793093402254,0.029915129618380748,0.032261626626681944,0.008685062676377475,-0.0011366652363016428
2026,static,T3,primary_measurement_valid,GAP3-GAP0,GAP3,GAP0,0.05573250971285194,0.004219626220249642,0.001908543446211164,-0.011580155800533731,0.0003672019344866939,0.0,0.0009280729323509762,0.0009010206516248956,0.0006216584174026409,0.04265147932919611,0.04486745628847455,0.0776755508971669,0.06920031908493116,0.0011021775204310413,-0.0004578040838439934,-0.0020595937524292562,0.0,0.0007265545813882179,0.04698395518563815,0.024031885091735514,0.016297837257921444,-0.0005689030503375214
2026,static,macro,primary_measurement_valid,GAP3-GAP0,GAP3,GAP0,0.036656133458478124,-0.008010050683363634,-0.006374088519283172,0.13809609373694443,-0.027102856007639176,0.0,-0.0032228438442027064,-0.012373629459026928,-0.008173031275554216,-0.06783337064701289,-0.23073528880761085,0.0409535111893759,0.04340472312210947,0.017451582006598465,-0.004871961867628061,-0.002865168949519492,0.0,0.008957711607269669,0.015238525262868202,0.014811585357589266,-0.0009718122599784162,-0.006698633442808082
3026,static,T0,primary_measurement_valid,GAP3-GAP0,GAP3,GAP0,-0.0018345659346910015,0.15324065721816726,0.11569180079565922,-2.6177192497507917,-0.48765953720865696,0.0,0.06119516906041114,0.05063191609733175,0.08065447282140698,-1.8135720467271241,0.4924173163155192,-0.0023027844741348447,0.02601133973794273,-0.000490425134973077,-0.00012516381126564946,-0.0022704719205260404,0.0,0.0002058039540048101,0.1115498868390245,0.05221989489803408,-0.03877575245728654,-0.011593644484351639
3026,static,T1,primary_measurement_valid,GAP3-GAP0,GAP3,GAP0,0.025712822846740258,0.10814449898157841,0.020891884709129505,-0.39390919935938484,-0.4460444285974319,0.0,0.010378112227334056,-0.011336855887480537,0.006371458755229244,-0.3704243589775391,-0.2585225421871389,0.027574240551813345,0.032126320362207805,0.03052250576758013,-0.009638651511090779,-0.011260178872113169,0.0,0.018155567592465068,-0.008334642960362348,0.009577634532862464,-0.009595473548127786,-0.004253859224892418
3026,static,T2,primary_measurement_valid,GAP3-GAP0,GAP3,GAP0,0.1367905336215724,0.2336556702826284,0.020424037968134856,-0.311749731586481,-0.07244403081035244,0.0,0.009945577021499827,0.0008595925498798144,0.009456665591765676,0.08407419588347054,0.1689669253919508,0.10271496831648855,0.1590238400867907,0.06334337100324655,-0.020895671685122186,-0.010106662499072605,0.0,0.03157925356973116,0.0909646570679887,0.0747140979215519,0.0218202588494964,0.0003467572833934611
3026,static,T3,primary_measurement_valid,GAP3-GAP0,GAP3,GAP0,-0.02171839923304132,0.11093111678866957,0.007265509011123772,-0.04439361896050187,-0.030879119441211245,0.0,0.0035578550786377113,-0.0006416047528792347,0.00404869679428929,-0.0580609288595888,-0.04362885722652976,-0.028401847601081096,-0.01191346125440429,0.04289880848047116,-0.01291654609498849,-0.007515176773066123,0.0,0.02064210831974758,-0.056741743905316444,-0.0077800878388925715,-0.0029031622832815795,0.003813514326278175
3026,static,macro,primary_measurement_valid,GAP3-GAP0,GAP3,GAP0,0.03473759782514507,0.1514929858177609,0.04106830812101184,-0.8419429499142836,-0.2592567790144127,0.0,0.02126917834697068,0.009878262001712945,0.025132823490672793,-0.5394957846701951,0.08980821057345079,0.024896144198271464,0.05131200973313421,0.0340685650290812,-0.010894008275616818,-0.0077881225161944845,0.0,0.01764568335898715,0.03435953926033361,0.03218288487838897,-0.007363532359799876,-0.0029218080248931046
