audit_condition,decision_point,metric,mean,sample_std,n_valid_folds,error_bar_definition
repeated_t0_c2_full_image_derived,T0-T1,auroc,0.7253192478479024,0.03897119879017979,5,fold metric sample SD (ddof=1)
repeated_t0_c2_full_image_derived,T0-T1,auprc,0.5945257658873996,0.05756501734465893,5,fold metric sample SD (ddof=1)
repeated_t0_c2_full_image_derived,T0-T1,accuracy,0.7079671804309486,0.039695775175641636,5,fold metric sample SD (ddof=1)
repeated_t0_c2_full_image_derived,T0-T1,sensitivity,0.4872727272727273,0.09306533739687074,5,fold metric sample SD (ddof=1)
repeated_t0_c2_full_image_derived,T0-T1,specificity,0.8217245635690353,0.04260766560232069,5,fold metric sample SD (ddof=1)
repeated_t0_c2_full_image_derived,T0-T2,auroc,0.727710039916,0.035675889065755965,5,fold metric sample SD (ddof=1)
repeated_t0_c2_full_image_derived,T0-T2,auprc,0.5933737709399352,0.05623747002488822,5,fold metric sample SD (ddof=1)
repeated_t0_c2_full_image_derived,T0-T2,accuracy,0.6943409247757073,0.02201950796536146,5,fold metric sample SD (ddof=1)
repeated_t0_c2_full_image_derived,T0-T2,sensitivity,0.3127272727272727,0.1683168990695726,5,fold metric sample SD (ddof=1)
repeated_t0_c2_full_image_derived,T0-T2,specificity,0.8913771821548228,0.08101010670401682,5,fold metric sample SD (ddof=1)
simplified_baseline_f1_clinical_only,T0,auroc,0.7176300476106506,0.0210364322822975,5,fold metric sample SD (ddof=1)
simplified_baseline_f1_clinical_only,T0,auprc,0.5665280919016112,0.0445239741406442,5,fold metric sample SD (ddof=1)
simplified_baseline_f1_clinical_only,T0,accuracy,0.6262556552411626,0.05416046922333984,5,fold metric sample SD (ddof=1)
simplified_baseline_f1_clinical_only,T0,sensitivity,0.7272727272727273,0.08999540851465149,5,fold metric sample SD (ddof=1)
simplified_baseline_f1_clinical_only,T0,specificity,0.5740257450185152,0.10434557908878588,5,fold metric sample SD (ddof=1)
simplified_baseline_f1_clinical_only,T0-T1,auroc,0.7176300476106506,0.0210364322822975,5,fold metric sample SD (ddof=1)
simplified_baseline_f1_clinical_only,T0-T1,auprc,0.5665280919016112,0.0445239741406442,5,fold metric sample SD (ddof=1)
simplified_baseline_f1_clinical_only,T0-T1,accuracy,0.6262556552411626,0.05416046922333984,5,fold metric sample SD (ddof=1)
