scope,fold,n_recipients,n_matched_recipients,n_unmatched_recipients,n_full_10_donor_recipients,n_partial_recipients,n_pairs,mean_donors_per_matched_recipient,matching_success_rate,full_10_donor_match_rate,relaxed_pair_rate,subtype_match_rate,treatment_family_match_rate,visit_compatibility_rate,mammaprint_match_rate,mean_volume_distance_z,mean_age_distance_z
fold,0,162,162,0,126,36,1466,9.049382716049383,1.0,0.7777777777777778,0.0,1.0,1.0,1.0,0.6964529331514324,0.5156128522379905,1.0686405866763011
fold,1,162,161,1,134,27,1476,9.11111111111111,0.9938271604938271,0.8271604938271605,0.0,1.0,1.0,1.0,0.6720867208672087,0.46526425500713714,1.080764033542579
fold,2,162,162,0,130,32,1458,9.0,1.0,0.8024691358024691,0.0,1.0,1.0,1.0,0.6742112482853224,0.49931153088277413,1.0647944991316916
fold,3,161,161,0,129,32,1450,9.006211180124224,1.0,0.8012422360248447,0.0,1.0,1.0,1.0,0.7158620689655173,0.527829493370451,1.0700552320951748
fold,4,161,161,0,120,41,1440,8.944099378881987,1.0,0.7453416149068323,0.0,1.0,1.0,1.0,0.6729166666666666,0.5054676826507492,1.0320279050471937
pooled,ALL,808,807,1,639,168,7290,9.033457249070633,0.9987623762376238,0.7908415841584159,0.0,1.0,1.0,1.0,0.6862825788751714,0.5025844886423521,1.0633958895479525
