audit_condition,transition,metric,mean,sample_std,n_valid_folds,error_bar_definition
repeated_t0_c1_mri_only,T2->T3,response_state_mean_abs_change,0.0,0.0,5,fold metric sample SD (ddof=1)
repeated_t0_c1_mri_only,T2->T3,response_state_l2_change,0.0,0.0,5,fold metric sample SD (ddof=1)
repeated_t0_c1_mri_only,T2->T3,response_state_cosine_similarity,1.0,0.0,5,fold metric sample SD (ddof=1)
repeated_t0_c2_full_image_derived,T0->T1,native_layer_norm_mse,0.18751556105822836,0.030112698418247045,5,fold metric sample SD (ddof=1)
repeated_t0_c2_full_image_derived,T0->T1,comparison_layer_norm_mse,0.18751556105822836,0.030112698418247045,5,fold metric sample SD (ddof=1)
repeated_t0_c2_full_image_derived,T0->T1,latent_error_change,0.0,0.0,5,fold metric sample SD (ddof=1)
repeated_t0_c2_full_image_derived,T0->T1,native_cosine_similarity,0.8998699309488124,0.024074109429079768,5,fold metric sample SD (ddof=1)
repeated_t0_c2_full_image_derived,T0->T1,comparison_cosine_similarity,0.8998699309488124,0.024074109429079768,5,fold metric sample SD (ddof=1)
repeated_t0_c2_full_image_derived,T0->T1,response_state_mean_abs_change,0.0,0.0,5,fold metric sample SD (ddof=1)
repeated_t0_c2_full_image_derived,T0->T1,response_state_l2_change,0.0,0.0,5,fold metric sample SD (ddof=1)
repeated_t0_c2_full_image_derived,T0->T1,response_state_cosine_similarity,1.0,0.0,5,fold metric sample SD (ddof=1)
repeated_t0_c2_full_image_derived,T1->T2,native_layer_norm_mse,0.22454578153540267,0.02459300116853445,5,fold metric sample SD (ddof=1)
repeated_t0_c2_full_image_derived,T1->T2,comparison_layer_norm_mse,0.22495759832861925,0.026625282866007904,5,fold metric sample SD (ddof=1)
repeated_t0_c2_full_image_derived,T1->T2,latent_error_change,0.0004118167932166161,0.0031932498690029026,5,fold metric sample SD (ddof=1)
repeated_t0_c2_full_image_derived,T1->T2,native_cosine_similarity,0.8815218590173892,0.02112805045637329,5,fold metric sample SD (ddof=1)
repeated_t0_c2_full_image_derived,T1->T2,comparison_cosine_similarity,0.881333268164329,0.02219732917460393,5,fold metric sample SD (ddof=1)
repeated_t0_c2_full_image_derived,T1->T2,response_state_mean_abs_change,0.10756882891010229,0.010012886938879499,5,fold metric sample SD (ddof=1)
repeated_t0_c2_full_image_derived,T1->T2,response_state_l2_change,1.0684923153937642,0.10433858239319098,5,fold metric sample SD (ddof=1)
repeated_t0_c2_full_image_derived,T1->T2,response_state_cosine_similarity,0.9583222008528078,0.006193995274114956,5,fold metric sample SD (ddof=1)
repeated_t0_c2_full_image_derived,T2->T3,native_layer_norm_mse,0.2531795436774743,0.019233745933214034,5,fold metric sample SD (ddof=1)
repeated_t0_c2_full_image_derived,T2->T3,comparison_layer_norm_mse,0.2534628049945174,0.02235948863167975,5,fold metric sample SD (ddof=1)
repeated_t0_c2_full_image_derived,T2->T3,latent_error_change,0.0002832613170430982,0.0035870491594866627,5,fold metric sample SD (ddof=1)
repeated_t0_c2_full_image_derived,T2->T3,native_cosine_similarity,0.8674499261999149,0.018375985904743486,5,fold metric sample SD (ddof=1)
repeated_t0_c2_full_image_derived,T2->T3,comparison_cosine_similarity,0.8673571258265872,0.019835097889238287,5,fold metric sample SD (ddof=1)
repeated_t0_c2_full_image_derived,T2->T3,response_state_mean_abs_change,0.16143091979287863,0.009288326085953947,5,fold metric sample SD (ddof=1)
