audit_condition,decision_point,metric,native,comparison,absolute_difference,relative_difference,relative_percentage_difference,relative_defined,difference_direction,n_paired_patients,native_reference_scope
repeated_t0_c2_full_image_derived,T0-T2,auprc,0.6035390522311299,0.5865381397193297,-0.017000912511800248,-0.028168703332372962,-2.816870333237296,True,comparison - native,808,same paired patients
repeated_t0_c2_full_image_derived,T0-T2,accuracy,0.6868811881188119,0.6943069306930693,0.007425742574257321,0.010810810810810659,1.0810810810810658,True,comparison - native,808,same paired patients
repeated_t0_c2_full_image_derived,T0-T2,sensitivity,0.7127272727272728,0.31272727272727274,-0.4,-0.5612244897959183,-56.12244897959183,True,comparison - native,808,same paired patients
repeated_t0_c2_full_image_derived,T0-T2,specificity,0.6735459662288931,0.8911819887429644,0.21763602251407133,0.32311977715877443,32.31197771587745,True,comparison - native,808,same paired patients
simplified_baseline_f1_clinical_only,T0,auroc,0.7242572062084256,0.7125055432372505,-0.011751662971175136,-0.01622581435219198,-1.6225814352191978,True,comparison - native,808,same paired patients
simplified_baseline_f1_clinical_only,T0,auprc,0.5862963613747281,0.563767940166638,-0.022528421208090066,-0.03842497189521384,-3.842497189521384,True,comparison - native,808,same paired patients
simplified_baseline_f1_clinical_only,T0,accuracy,0.681930693069307,0.6262376237623762,-0.05569306930693074,-0.08166969147005451,-8.166969147005451,True,comparison - native,808,same paired patients
simplified_baseline_f1_clinical_only,T0,sensitivity,0.5672727272727273,0.7272727272727273,0.16000000000000003,0.2820512820512821,28.20512820512821,True,comparison - native,808,same paired patients
simplified_baseline_f1_clinical_only,T0,specificity,0.7410881801125704,0.574108818011257,-0.16697936210131337,-0.2253164556962026,-22.53164556962026,True,comparison - native,808,same paired patients
simplified_baseline_f1_clinical_only,T0-T1,auroc,0.751342316220365,0.7125055432372505,-0.0388367729831145,-0.05168985180880437,-5.168985180880437,True,comparison - native,808,same paired patients
simplified_baseline_f1_clinical_only,T0-T1,auprc,0.6022933145007785,0.563767940166638,-0.038525374334140494,-0.06396447280188214,-6.396447280188214,True,comparison - native,808,same paired patients
simplified_baseline_f1_clinical_only,T0-T1,accuracy,0.7029702970297029,0.6262376237623762,-0.07673267326732669,-0.10915492957746474,-10.915492957746475,True,comparison - native,808,same paired patients
simplified_baseline_f1_clinical_only,T0-T1,sensitivity,0.7018181818181818,0.7272727272727273,0.025454545454545507,0.03626943005181355,3.626943005181355,True,comparison - native,808,same paired patients
simplified_baseline_f1_clinical_only,T0-T1,specificity,0.7035647279549718,0.574108818011257,-0.1294559099437148,-0.184,-18.4,True,comparison - native,808,same paired patients
simplified_baseline_f1_clinical_only,T0-T2,auroc,0.751963158792427,0.7125055432372505,-0.03945761555517657,-0.052472804144476054,-5.247280414447605,True,comparison - native,808,same paired patients
simplified_baseline_f1_clinical_only,T0-T2,auprc,0.6035390522311299,0.563767940166638,-0.03977111206449191,-0.06589650150635365,-6.589650150635365,True,comparison - native,808,same paired patients
simplified_baseline_f1_clinical_only,T0-T2,accuracy,0.6868811881188119,0.6262376237623762,-0.0606435643564357,-0.08828828828828836,-8.828828828828836,True,comparison - native,808,same paired patients
simplified_baseline_f1_clinical_only,T0-T2,sensitivity,0.7127272727272728,0.7272727272727273,0.014545454545454528,0.020408163265306097,2.0408163265306096,True,comparison - native,808,same paired patients
simplified_baseline_f1_clinical_only,T0-T2,specificity,0.6735459662288931,0.574108818011257,-0.09943714821763605,-0.14763231197771592,-14.763231197771592,True,comparison - native,808,same paired patients
simplified_baseline_f2_geometry_only,T0,auroc,0.7242572062084256,0.5917789527545626,-0.132478253453863,-0.18291603082198207,-18.291603082198208,True,comparison - native,808,same paired patients
simplified_baseline_f2_geometry_only,T0,auprc,0.5862963613747281,0.42108653006214847,-0.1652098313125796,-0.281785530657569,-28.1785530657569,True,comparison - native,808,same paired patients
simplified_baseline_f2_geometry_only,T0,accuracy,0.681930693069307,0.6027227722772277,-0.07920792079207928,-0.1161524500907442,-11.61524500907442,True,comparison - native,808,same paired patients
simplified_baseline_f2_geometry_only,T0,sensitivity,0.5672727272727273,0.36,-0.20727272727272728,-0.3653846153846154,-36.53846153846154,True,comparison - native,808,same paired patients
simplified_baseline_f2_geometry_only,T0,specificity,0.7410881801125704,0.7279549718574109,-0.013133208255159512,-0.01772151898734182,-1.7721518987341822,True,comparison - native,808,same paired patients
simplified_baseline_f2_geometry_only,T0-T1,auroc,0.751342316220365,0.5958621865938939,-0.15548012962647106,-0.20693647392125525,-20.693647392125524,True,comparison - native,808,same paired patients
simplified_baseline_f2_geometry_only,T0-T1,auprc,0.6022933145007785,0.4475894797177417,-0.1547038347830368,-0.2568579644807544,-25.685796448075436,True,comparison - native,808,same paired patients
simplified_baseline_f2_geometry_only,T0-T1,accuracy,0.7029702970297029,0.5668316831683168,-0.13613861386138615,-0.19366197183098594,-19.366197183098592,True,comparison - native,808,same paired patients
simplified_baseline_f2_geometry_only,T0-T1,sensitivity,0.7018181818181818,0.52,-0.18181818181818177,-0.2590673575129533,-25.90673575129533,True,comparison - native,808,same paired patients
simplified_baseline_f2_geometry_only,T0-T1,specificity,0.7035647279549718,0.5909943714821764,-0.11257035647279545,-0.15999999999999995,-15.999999999999995,True,comparison - native,808,same paired patients
simplified_baseline_f2_geometry_only,T0-T2,auroc,0.751963158792427,0.6021934163397578,-0.14976974245266927,-0.19917164917119554,-19.917164917119553,True,comparison - native,808,same paired patients
simplified_baseline_f2_geometry_only,T0-T2,auprc,0.6035390522311299,0.44608766151478796,-0.15745139071634195,-0.26088020341730056,-26.088020341730058,True,comparison - native,808,same paired patients
simplified_baseline_f2_geometry_only,T0-T2,accuracy,0.6868811881188119,0.5903465346534653,-0.09653465346534662,-0.14054054054054066,-14.054054054054067,True,comparison - native,808,same paired patients
simplified_baseline_f2_geometry_only,T0-T2,sensitivity,0.7127272727272728,0.44363636363636366,-0.2690909090909091,-0.37755102040816324,-37.755102040816325,True,comparison - native,808,same paired patients
simplified_baseline_f2_geometry_only,T0-T2,specificity,0.6735459662288931,0.6660412757973734,-0.007504690431519689,-0.011142061281337032,-1.1142061281337032,True,comparison - native,808,same paired patients
simplified_baseline_f3_clinical_plus_geometry,T0,auroc,0.7242572062084256,0.7195463073511854,-0.004710898857240187,-0.00650445562275081,-0.650445562275081,True,comparison - native,808,same paired patients
simplified_baseline_f3_clinical_plus_geometry,T0,auprc,0.5862963613747281,0.5784581668536061,-0.007838194521122,-0.013368997383410778,-1.3368997383410777,True,comparison - native,808,same paired patients
simplified_baseline_f3_clinical_plus_geometry,T0,accuracy,0.681930693069307,0.6831683168316832,0.0012376237623762387,0.001814882032667878,0.1814882032667878,True,comparison - native,808,same paired patients
simplified_baseline_f3_clinical_plus_geometry,T0,sensitivity,0.5672727272727273,0.6763636363636364,0.10909090909090913,0.19230769230769237,19.230769230769237,True,comparison - native,808,same paired patients
simplified_baseline_f3_clinical_plus_geometry,T0,specificity,0.7410881801125704,0.6866791744840526,-0.054409005628517804,-0.07341772151898732,-7.341772151898732,True,comparison - native,808,same paired patients
simplified_baseline_f3_clinical_plus_geometry,T0-T1,auroc,0.751342316220365,0.7231349138666212,-0.02820740235374375,-0.03754267761150652,-3.7542677611506523,True,comparison - native,808,same paired patients
simplified_baseline_f3_clinical_plus_geometry,T0-T1,auprc,0.6022933145007785,0.5822191099998659,-0.020074204500912574,-0.033329615351203816,-3.3329615351203814,True,comparison - native,808,same paired patients
simplified_baseline_f3_clinical_plus_geometry,T0-T1,accuracy,0.7029702970297029,0.6584158415841584,-0.04455445544554448,-0.06338028169014075,-6.338028169014074,True,comparison - native,808,same paired patients
simplified_baseline_f3_clinical_plus_geometry,T0-T1,sensitivity,0.7018181818181818,0.6909090909090909,-0.010909090909090868,-0.015544041450777145,-1.5544041450777144,True,comparison - native,808,same paired patients
simplified_baseline_f3_clinical_plus_geometry,T0-T1,specificity,0.7035647279549718,0.6416510318949343,-0.06191369606003749,-0.08799999999999997,-8.799999999999997,True,comparison - native,808,same paired patients
simplified_baseline_f3_clinical_plus_geometry,T0-T2,auroc,0.751963158792427,0.7273443629541191,-0.02461879583830795,-0.03273936435641757,-3.273936435641757,True,comparison - native,808,same paired patients
simplified_baseline_f3_clinical_plus_geometry,T0-T2,auprc,0.6035390522311299,0.5831255085947953,-0.02041354363633463,-0.03382307004140157,-3.3823070041401575,True,comparison - native,808,same paired patients
simplified_baseline_f3_clinical_plus_geometry,T0-T2,accuracy,0.6868811881188119,0.6868811881188119,0.0,0.0,0.0,True,comparison - native,808,same paired patients
simplified_baseline_f3_clinical_plus_geometry,T0-T2,sensitivity,0.7127272727272728,0.6509090909090909,-0.06181818181818188,-0.0867346938775511,-8.67346938775511,True,comparison - native,808,same paired patients
simplified_baseline_f3_clinical_plus_geometry,T0-T2,specificity,0.6735459662288931,0.7054409005628518,0.031894934333958735,0.047353760445682465,4.7353760445682465,True,comparison - native,808,same paired patients
simplified_baseline_f4_timepoint_only,T0,auroc,0.7242572062084256,0.5003752345215761,-0.22388197168684953,-0.3091194257616004,-30.91194257616004,True,comparison - native,808,same paired patients
simplified_baseline_f4_timepoint_only,T0,auprc,0.5862963613747281,0.3405151273641296,-0.24578123401059848,-0.41920989145199344,-41.92098914519934,True,comparison - native,808,same paired patients
simplified_baseline_f4_timepoint_only,T0,accuracy,0.681930693069307,0.34034653465346537,-0.3415841584158416,-0.5009074410163339,-50.09074410163339,True,comparison - native,808,same paired patients
simplified_baseline_f4_timepoint_only,T0,sensitivity,0.5672727272727273,1.0,0.43272727272727274,0.7628205128205129,76.28205128205128,True,comparison - native,808,same paired patients
simplified_baseline_f4_timepoint_only,T0,specificity,0.7410881801125704,0.0,-0.7410881801125704,-1.0,-100.0,True,comparison - native,808,same paired patients
simplified_baseline_f4_timepoint_only,T0-T1,auroc,0.751342316220365,0.5003752345215761,-0.2509670816987889,-0.33402495278221694,-33.40249527822169,True,comparison - native,808,same paired patients
simplified_baseline_f4_timepoint_only,T0-T1,auprc,0.6022933145007785,0.3405151273641296,-0.2617781871366489,-0.43463571790370675,-43.46357179037067,True,comparison - native,808,same paired patients
simplified_baseline_f4_timepoint_only,T0-T1,accuracy,0.7029702970297029,0.34034653465346537,-0.36262376237623756,-0.5158450704225351,-51.58450704225351,True,comparison - native,808,same paired patients
simplified_baseline_f4_timepoint_only,T0-T1,sensitivity,0.7018181818181818,1.0,0.2981818181818182,0.4248704663212436,42.48704663212436,True,comparison - native,808,same paired patients
simplified_baseline_f4_timepoint_only,T0-T1,specificity,0.7035647279549718,0.0,-0.7035647279549718,-1.0,-100.0,True,comparison - native,808,same paired patients
simplified_baseline_f4_timepoint_only,T0-T2,auroc,0.751963158792427,0.5003752345215761,-0.25158792427085097,-0.3345748010778539,-33.45748010778539,True,comparison - native,808,same paired patients
simplified_baseline_f4_timepoint_only,T0-T2,auprc,0.6035390522311299,0.3405151273641296,-0.2630239248670003,-0.4358026608131951,-43.58026608131951,True,comparison - native,808,same paired patients
simplified_baseline_f4_timepoint_only,T0-T2,accuracy,0.6868811881188119,0.34034653465346537,-0.34653465346534656,-0.5045045045045045,-50.45045045045045,True,comparison - native,808,same paired patients
simplified_baseline_f4_timepoint_only,T0-T2,sensitivity,0.7127272727272728,1.0,0.28727272727272724,0.40306122448979587,40.306122448979586,True,comparison - native,808,same paired patients
simplified_baseline_f4_timepoint_only,T0-T2,specificity,0.6735459662288931,0.0,-0.6735459662288931,-1.0,-100.0,True,comparison - native,808,same paired patients
simplified_baseline_f5_static_t0_imaging,T0,auroc,0.7242572062084256,0.5126999829438854,-0.21155722326454018,-0.29210233802445396,-29.210233802445394,True,comparison - native,808,same paired patients
simplified_baseline_f5_static_t0_imaging,T0,auprc,0.5862963613747281,0.3495832918429199,-0.23671306953180815,-0.4037430301917127,-40.37430301917127,True,comparison - native,808,same paired patients
simplified_baseline_f5_static_t0_imaging,T0,accuracy,0.681930693069307,0.4665841584158416,-0.21534653465346537,-0.31578947368421056,-31.578947368421055,True,comparison - native,808,same paired patients
simplified_baseline_f5_static_t0_imaging,T0,sensitivity,0.5672727272727273,0.5709090909090909,0.0036363636363636598,0.006410256410256452,0.6410256410256452,True,comparison - native,808,same paired patients
simplified_baseline_f5_static_t0_imaging,T0,specificity,0.7410881801125704,0.41275797373358347,-0.3283302063789869,-0.44303797468354433,-44.30379746835443,True,comparison - native,808,same paired patients
simplified_baseline_f5_static_t0_imaging,T0-T1,auroc,0.751342316220365,0.5126999829438854,-0.23864233327647955,-0.3176213133807932,-31.762131338079318,True,comparison - native,808,same paired patients
simplified_baseline_f5_static_t0_imaging,T0-T1,auprc,0.6022933145007785,0.3495832918429199,-0.2527100226578586,-0.41957965757485083,-41.957965757485084,True,comparison - native,808,same paired patients
simplified_baseline_f5_static_t0_imaging,T0-T1,accuracy,0.7029702970297029,0.4665841584158416,-0.23638613861386132,-0.33626760563380276,-33.62676056338027,True,comparison - native,808,same paired patients
simplified_baseline_f5_static_t0_imaging,T0-T1,sensitivity,0.7018181818181818,0.5709090909090909,-0.13090909090909086,-0.18652849740932637,-18.652849740932638,True,comparison - native,808,same paired patients
simplified_baseline_f5_static_t0_imaging,T0-T1,specificity,0.7035647279549718,0.41275797373358347,-0.29080675422138835,-0.41333333333333333,-41.333333333333336,True,comparison - native,808,same paired patients
