transition_scope,aggregation,n_transitions,learned_layer_norm_mse,copy_layer_norm_mse,learned_raw_mse,copy_raw_mse,learned_cosine_similarity,copy_cosine_similarity,learned_cosine_error,copy_cosine_error,normalized_transition_gain,percentage_improvement,n_patients
T0->T1,pooled_transition,808,0.18748507324317557,1.5502896742753802,0.03569382026780473,0.2769425453380935,0.8999028488737726,0.22383809250849032,0.10009715112622726,0.7761619074915096,0.8698433024353742,86.98433024353743,
T0->T1,pooled_equal_patient,808,0.18748507324317557,1.5502896742753802,0.03569382026780473,0.2769425453380935,0.8999028488737726,0.22383809250849032,0.10009715112622726,0.7761619074915096,0.8698433024353742,86.98433024353743,808.0
T1->T2,pooled_transition,808,0.22452037791975182,1.5104486461909181,0.04159035693376174,0.2798528369600512,0.8815518990996707,0.243623963647549,0.11844810090032933,0.756376036352451,0.8366213114392237,83.66213114392238,
T1->T2,pooled_equal_patient,808,0.22452037791975182,1.5104486461909181,0.04159035693376174,0.2798528369600512,0.8815518990996707,0.243623963647549,0.11844810090032933,0.756376036352451,0.8366213114392237,83.66213114392238,808.0
T2->T3,pooled_transition,808,0.2531522328810556,1.5165656649556523,0.0458951736083328,0.2836669908506891,0.867479387506559,0.24071968626707418,0.13252061249344094,0.7592803137329257,0.8181337719202657,81.81337719202655,
T2->T3,pooled_equal_patient,808,0.2531522328810556,1.5165656649556523,0.0458951736083328,0.2836669908506891,0.867479387506559,0.24071968626707418,0.13252061249344094,0.7592803137329257,0.8181337719202657,81.81337719202655,808.0
ALL,pooled_transition,2424,0.22171922801466099,1.5257679951406502,0.04105978360329975,0.2801541243829446,0.8829780451600007,0.2360605808077045,0.11702195483999919,0.7639394191922955,0.8415327952649545,84.15327952649545,
ALL,pooled_equal_patient,2424,0.22171922801466099,1.52576799514065,0.04105978360329975,0.2801541243829446,0.8829780451600007,0.2360605808077045,0.11702195483999918,0.7639394191922955,0.8415327952649545,84.15327952649545,808.0
