population,seed,arm,fold,timing,raw_input_dim,train_rows,fit_scope,validation_rows_in_fit,test_rows_in_fit,fitted_transform_sha256,dimension,input_dim,max_components,component_explained_variance_ratio,incremental_explained_variance_ratio,cumulative_explained_variance_ratio
ftv_complete_375,2026,LOCAL0,0,T1,384,247,outer_train_timing_prefix,0,0,800cc2d76a771a37f6e1e0d36d7eabeb4db8489ddc4a13e2515fa280f8a60e5f,32,384,64,0.0007359893799832309,0.02332562446967874,0.98497065513791
ftv_complete_375,2026,LOCAL0,0,T1,384,247,outer_train_timing_prefix,0,0,800cc2d76a771a37f6e1e0d36d7eabeb4db8489ddc4a13e2515fa280f8a60e5f,64,384,64,0.000147184092000286,0.010771065635111043,0.995741720773021
ftv_complete_375,2026,LOCAL0,0,T2,576,247,outer_train_timing_prefix,0,0,c6bce13c38ab5ade80ac3c03c2c9537c4ac9594fd447946e93aba2c3b1a5008d,8,576,64,0.024311075009982454,0.8672313588737236,0.8672313588737236
ftv_complete_375,2026,LOCAL0,0,T2,576,247,outer_train_timing_prefix,0,0,c6bce13c38ab5ade80ac3c03c2c9537c4ac9594fd447946e93aba2c3b1a5008d,16,576,64,0.004385106331509409,0.07755884258670095,0.9447902014604246
ftv_complete_375,2026,LOCAL0,0,T2,576,247,outer_train_timing_prefix,0,0,c6bce13c38ab5ade80ac3c03c2c9537c4ac9594fd447946e93aba2c3b1a5008d,32,576,64,0.0010196580200304269,0.03194298034776884,0.9767331818081936
ftv_complete_375,2026,LOCAL0,0,T2,576,247,outer_train_timing_prefix,0,0,c6bce13c38ab5ade80ac3c03c2c9537c4ac9594fd447946e93aba2c3b1a5008d,64,576,64,0.00023591046744975255,0.015719244147462577,0.9924524259556564
ftv_complete_375,2026,LOCAL0,0,T3,768,247,outer_train_timing_prefix,0,0,ea2cddd145954e1b0f3f2140dd6017135e59267633a96eab7786e9dc658c172a,8,768,64,0.022886257709745148,0.8135193147617844,0.8135193147617846
ftv_complete_375,2026,LOCAL0,0,T3,768,247,outer_train_timing_prefix,0,0,ea2cddd145954e1b0f3f2140dd6017135e59267633a96eab7786e9dc658c172a,16,768,64,0.00618900338023168,0.11195897712787367,0.9254782918896581
ftv_complete_375,2026,LOCAL0,0,T3,768,247,outer_train_timing_prefix,0,0,ea2cddd145954e1b0f3f2140dd6017135e59267633a96eab7786e9dc658c172a,32,768,64,0.0012899966249910217,0.04305365840350315,0.9685319502931612
ftv_complete_375,2026,LOCAL0,0,T3,768,247,outer_train_timing_prefix,0,0,ea2cddd145954e1b0f3f2140dd6017135e59267633a96eab7786e9dc658c172a,64,768,64,0.0003104956163648372,0.020368637139270118,0.9889005874324318
