population,seed,arm,timing,model_key,model_family,representation,dimension,dimension_values,n_folds,fold_sizes,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
ftv_complete_375,2026,LOCAL0,T0,"LateFusion(C+F,M)|PCA32","LateFusion(C+F,M)",late_fusion_candidate,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6222298456260721,0.45298897628086676,0.6203259005145798,0.22850326754121875
ftv_complete_375,2026,LOCAL0,T0,"LateFusion(C+F,M)|PCA64","LateFusion(C+F,M)",late_fusion_candidate,64,[64],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6578044596912521,0.4931893142758429,0.6226415094339622,0.22443828858683462
ftv_complete_375,2026,LOCAL0,T0,"LateFusion(C+F,M)|PCA8","LateFusion(C+F,M)",late_fusion_candidate,8,[8],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6451457975986278,0.472070293250674,0.6157804459691252,0.2025552869305925
ftv_complete_375,2026,LOCAL0,T0,"LateFusion(C+F,M)|PCA_SELECTED","LateFusion(C+F,M)",late_fusion,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6075128644939967,0.4350651165736922,0.6180960548885077,0.2162380931723414
ftv_complete_375,2026,LOCAL0,T0,"LateFusion(C,M)|PCA16","LateFusion(C,M)",late_fusion_candidate,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6508061749571183,0.46932908515807814,0.6215265866209263,0.1984741552100542
ftv_complete_375,2026,LOCAL0,T0,"LateFusion(C,M)|PCA32","LateFusion(C,M)",late_fusion_candidate,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6100514579759863,0.4510584119794526,0.6305317324185249,0.22739174320835348
ftv_complete_375,2026,LOCAL0,T0,"LateFusion(C,M)|PCA64","LateFusion(C,M)",late_fusion_candidate,64,[64],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6720411663807889,0.49649300623010684,0.6586620926243567,0.23607393409270525
ftv_complete_375,2026,LOCAL0,T0,"LateFusion(C,M)|PCA8","LateFusion(C,M)",late_fusion_candidate,8,[8],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6352658662092624,0.47433390505417006,0.613893653516295,0.21208977815656582
ftv_complete_375,2026,LOCAL0,T0,"LateFusion(C,M)|PCA_SELECTED","LateFusion(C,M)",late_fusion,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6031903945111492,0.4341117410895211,0.6210977701543738,0.21692402107543252
ftv_complete_375,2026,LOCAL0,T0,M_residual|PCA16,M_residual,pca,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5242538593481989,0.33533348409169916,0.48833619210977697,0.23099903221611726
