comparison_name,population,seed,arm,timing,reference_selector,comparison_selector,n,reference_auroc,comparison_auroc,delta_auroc,reference_auprc,comparison_auprc,delta_auprc,reference_brier,comparison_brier,delta_brier,brier_improvement
raw_vs_compact_CF_plus_M,ftv_complete_375,2026,LOCAL0,T0,"{""model_key"":""C+F+M|RAW""}","{""model_key"":""C+F+M|PCA_SELECTED""}",375,0.5856260720411663,0.6379073756432247,0.052281303602058404,0.36720766474513,0.47015472123338925,0.10294705648825925,0.24667769235052356,0.2291173983323155,-0.01756029401820805,0.01756029401820805
raw_vs_compact_CF_plus_M,ftv_complete_375,2026,LOCAL0,T1,"{""model_key"":""C+F+M|RAW""}","{""model_key"":""C+F+M|PCA_SELECTED""}",375,0.6471012006861063,0.7132761578044596,0.0661749571183533,0.422152208719028,0.532143382122308,0.10999117340328007,0.21824736186985183,0.18872833076462012,-0.029519031105231713,0.029519031105231713
raw_vs_compact_CF_plus_M,ftv_complete_375,2026,LOCAL0,T2,"{""model_key"":""C+F+M|RAW""}","{""model_key"":""C+F+M|PCA_SELECTED""}",375,0.6190394511149228,0.6841509433962264,0.06511149228130364,0.41238919391103424,0.47903616704618485,0.06664697313515061,0.23788565824297378,0.21536850428950446,-0.022517153953469315,0.022517153953469315
raw_vs_compact_CF_plus_M,ftv_complete_375,2026,LOCAL0,T3,"{""model_key"":""C+F+M|RAW""}","{""model_key"":""C+F+M|PCA_SELECTED""}",375,0.6227444253859349,0.6902572898799313,0.0675128644939964,0.4024634631574642,0.48961370450506225,0.08715024134759808,0.24550206631554208,0.21226387228120847,-0.03323819403433362,0.03323819403433362
raw_vs_compact_CF_plus_M,ftv_complete_375,2026,LOCAL3,T0,"{""model_key"":""C+F+M|RAW""}","{""model_key"":""C+F+M|PCA_SELECTED""}",375,0.5541166380789022,0.6553001715265866,0.10118353344768438,0.32966634473255374,0.4883585337259269,0.15869218899337317,0.2746834136004967,0.2308986525940132,-0.043784761006483486,0.043784761006483486
raw_vs_compact_CF_plus_M,ftv_complete_375,2026,LOCAL3,T1,"{""model_key"":""C+F+M|RAW""}","{""model_key"":""C+F+M|PCA_SELECTED""}",375,0.6482332761578045,0.7005145797598626,0.05228130360205818,0.4209662162244224,0.5116815821766543,0.0907153659522319,0.2187685498014889,0.19842632116132033,-0.020342228640168575,0.020342228640168575
raw_vs_compact_CF_plus_M,ftv_complete_375,2026,LOCAL3,T2,"{""model_key"":""C+F+M|RAW""}","{""model_key"":""C+F+M|PCA_SELECTED""}",375,0.6220583190394511,0.7091252144082333,0.0870668953687822,0.40821731043473697,0.5131599416626581,0.10494263122792113,0.26047565228365027,0.20208173127804496,-0.05839392100560531,0.05839392100560531
raw_vs_compact_CF_plus_M,ftv_complete_375,2026,LOCAL3,T3,"{""model_key"":""C+F+M|RAW""}","{""model_key"":""C+F+M|PCA_SELECTED""}",375,0.6174957118353345,0.6921440823327616,0.07464837049742712,0.3952456199032556,0.5000612201197375,0.10481560021648195,0.24988839076427832,0.2131464639813283,-0.03674192678295002,0.03674192678295002
raw_vs_compact_CF_plus_M,ftv_complete_375,3026,LOCAL0,T0,"{""model_key"":""C+F+M|RAW""}","{""model_key"":""C+F+M|PCA_SELECTED""}",375,0.6305317324185249,0.6195883361921097,-0.010943396226415159,0.4062251239531152,0.4293869432530978,0.023161819299982567,0.23337597353004208,0.23281099631771424,-0.000564977212327844,0.000564977212327844
raw_vs_compact_CF_plus_M,ftv_complete_375,3026,LOCAL0,T1,"{""model_key"":""C+F+M|RAW""}","{""model_key"":""C+F+M|PCA_SELECTED""}",375,0.6482332761578045,0.6895368782161235,0.04130360205831907,0.45992823654230697,0.5020444815193985,0.042116244977091544,0.23782837571301865,0.2022806305016247,-0.03554774521139395,0.03554774521139395
raw_vs_compact_CF_plus_M,ftv_complete_375,3026,LOCAL0,T2,"{""model_key"":""C+F+M|RAW""}","{""model_key"":""C+F+M|PCA_SELECTED""}",375,0.6646998284734134,0.6954373927958835,0.0307375643224701,0.45647681471997587,0.47222674952357896,0.015749934803603094,0.23529230666184514,0.20653532504266855,-0.028756981619176586,0.028756981619176586
raw_vs_compact_CF_plus_M,ftv_complete_375,3026,LOCAL0,T3,"{""model_key"":""C+F+M|RAW""}","{""model_key"":""C+F+M|PCA_SELECTED""}",375,0.6588679245283019,0.6904631217838766,0.03159519725557469,0.4257312372510493,0.49401469264988324,0.06828345539883396,0.24772832731384717,0.20495076912291113,-0.04277755819093604,0.04277755819093604
raw_vs_compact_CF_plus_M,ftv_complete_375,3026,LOCAL3,T0,"{""model_key"":""C+F+M|RAW""}","{""model_key"":""C+F+M|PCA_SELECTED""}",375,0.6299485420240137,0.6562607204116637,0.026312178387649987,0.3981845931354563,0.4960681844590194,0.09788359132356311,0.24243579483623118,0.22910502014905545,-0.013330774687175723,0.013330774687175723
raw_vs_compact_CF_plus_M,ftv_complete_375,3026,LOCAL3,T1,"{""model_key"":""C+F+M|RAW""}","{""model_key"":""C+F+M|PCA_SELECTED""}",375,0.6579759862778731,0.7034991423670669,0.04552315608919377,0.47004982294581216,0.5221427289667038,0.052092906020891616,0.2238766744489745,0.19126695241091587,-0.03260972203805862,0.03260972203805862
raw_vs_compact_CF_plus_M,ftv_complete_375,3026,LOCAL3,T2,"{""model_key"":""C+F+M|RAW""}","{""model_key"":""C+F+M|PCA_SELECTED""}",375,0.675540308747856,0.646106346483705,-0.02943396226415096,0.4665531890879071,0.4265074364857462,-0.04004575260216092,0.23450193072009362,0.24280922267863259,0.008307291958538965,-0.008307291958538965
raw_vs_compact_CF_plus_M,ftv_complete_375,3026,LOCAL3,T3,"{""model_key"":""C+F+M|RAW""}","{""model_key"":""C+F+M|PCA_SELECTED""}",375,0.682572898799314,0.6892624356775299,0.006689536878215829,0.45430504727953414,0.4968621272832051,0.04255708000367098,0.2330489494038298,0.20337733157606697,-0.029671617827762842,0.029671617827762842
