population,seed,arm,fold,timing,raw_input_dim,train_rows,fit_scope,validation_rows_in_fit,test_rows_in_fit,fitted_transform_sha256,artifact_path,artifact_sha256
full_808,2026,LOCAL0,2,T3,768,525,outer_train_timing_prefix,0,0,142ce19b1921b96db788a8a1d7890b5a3476a5e92df6a45fd2ffe6fee659c7e2,features/pca/seed_2026/LOCAL0/fold_2/full_808/T3.private.npz,ddecb67ef8a2f21cd72066b8a1cf3c836d76ff460272b28e0e6560b816e6beb8
ftv_complete_375,2026,LOCAL0,2,T0,192,240,outer_train_timing_prefix,0,0,45856b9902999704aba01d62b3471e54911be063cfc0d168bb78fc1e73dba587,features/pca/seed_2026/LOCAL0/fold_2/ftv_complete_375/T0.private.npz,740c97a58d3aa35db05c18cf9c453b7679137238ed2cfcbeef14403afcb36d7b
ftv_complete_375,2026,LOCAL0,2,T1,384,240,outer_train_timing_prefix,0,0,64f32aaa1ca854f95fb71c25e37724a9c3c90a3dbcd19fed902ffc6d13ca410b,features/pca/seed_2026/LOCAL0/fold_2/ftv_complete_375/T1.private.npz,d259132834969dabe0d1b5150e74b0ccac0c7e2d2972540ac1cec35f8e52ebe2
ftv_complete_375,2026,LOCAL0,2,T2,576,240,outer_train_timing_prefix,0,0,b184ab95ecfb85a7a654ca90ed34dc8baefbe5db3a3be30d671a729756dc0094,features/pca/seed_2026/LOCAL0/fold_2/ftv_complete_375/T2.private.npz,ca0c9ed6d6a5d0f001c7d73d8355645addc338f03129026df25301170283dbde
ftv_complete_375,2026,LOCAL0,2,T3,768,240,outer_train_timing_prefix,0,0,cfe94e2582bf616300d8a51030216dd074220021e84a2efc588a67b29fc5f383,features/pca/seed_2026/LOCAL0/fold_2/ftv_complete_375/T3.private.npz,a098ce020b8da52316f8dd89d9366b2cbf82012dfbcad18fb8eb470d2e29fe2c
full_808,2026,LOCAL0,3,T0,192,526,outer_train_timing_prefix,0,0,76d0dedf698a9d2eb288eebbe6e13d28a997ec9fc17f30df48a6aa2abd43bb3c,features/pca/seed_2026/LOCAL0/fold_3/full_808/T0.private.npz,d07a40ff43ba79a4f52af27ce9256f4d0c20eeef47653d2830e8e4220794afd1
full_808,2026,LOCAL0,3,T1,384,526,outer_train_timing_prefix,0,0,98d0d53733c815cae4a779ae95286047e819a9364ad80cb7fd6de350084d0dec,features/pca/seed_2026/LOCAL0/fold_3/full_808/T1.private.npz,8018074a05207fd87fa3deee9e1fc43f9d79eacfcf993cde5094092cd8556e87
full_808,2026,LOCAL0,3,T2,576,526,outer_train_timing_prefix,0,0,dbbbef8d612f219d009904c93305ff34dfc1265dd9e6dc05258bd014e2730f73,features/pca/seed_2026/LOCAL0/fold_3/full_808/T2.private.npz,b2a3d68c3c2804a2139a49d8e5cfe2c8eaf3f7474c88672e0acd66579fdd74b8
full_808,2026,LOCAL0,3,T3,768,526,outer_train_timing_prefix,0,0,c39bc67bb5667b3871c75df15e90c1f5345fcc7c36eaa7f1ee0d8f40d344ec2c,features/pca/seed_2026/LOCAL0/fold_3/full_808/T3.private.npz,04dbad170133678fea35301066154aefc8afd19721e635a9f5f0fc73f432696d
ftv_complete_375,2026,LOCAL0,3,T0,192,242,outer_train_timing_prefix,0,0,2c66400f69fea7d9a0f6f37ea7485e3e0bb735cada224e96eaa91dbff7130ce3,features/pca/seed_2026/LOCAL0/fold_3/ftv_complete_375/T0.private.npz,f236e075368e4992dd33ca2648d362a18749cceccfd6809d0c248eb645f96ef6
