population,seed,arm,timing,model_key,n_goal2,auroc_goal2,auprc_goal2,brier_goal2,n_compact_audit,auroc_compact_audit,auprc_compact_audit,brier_compact_audit,_merge,abs_diff_auroc,abs_diff_auprc,abs_diff_brier,pass
ftv_complete_375,2026,LOCAL0,T0,C,375,0.6966723842195541,0.5362125873999827,0.2430950945429407,375,0.6966723842195541,0.5362125873999827,0.2430950945429407,both,0.0,0.0,0.0,True
ftv_complete_375,2026,LOCAL0,T0,C+F,375,0.6880274442538593,0.538897485664505,0.2356217123236572,375,0.6880274442538593,0.538897485664505,0.2356217123236572,both,0.0,0.0,0.0,True
ftv_complete_375,2026,LOCAL0,T0,C+F+M|RAW,375,0.5856260720411663,0.36720766474513,0.2466776923505235,375,0.5856260720411663,0.36720766474513,0.24667769235052356,both,0.0,0.0,5.551115123125783e-17,True
ftv_complete_375,2026,LOCAL0,T0,C+M|RAW,375,0.6052830188679246,0.3857867152955808,0.2371506910786505,375,0.6052830188679246,0.38578671529558084,0.2371506910786505,both,0.0,5.551115123125783e-17,0.0,True
ftv_complete_375,2026,LOCAL0,T0,F,375,0.5020926243567754,0.2921751272631997,0.2494843995603369,375,0.5020926243567754,0.2921751272631997,0.24948439956033697,both,0.0,0.0,5.551115123125783e-17,True
ftv_complete_375,2026,LOCAL0,T0,M|RAW,375,0.5169811320754718,0.3107822292406562,0.2825110910137554,375,0.5169811320754718,0.3107822292406562,0.2825110910137554,both,0.0,0.0,0.0,True
ftv_complete_375,2026,LOCAL0,T1,C,375,0.6966723842195541,0.5362125873999827,0.2430950945429407,375,0.6966723842195541,0.5362125873999827,0.2430950945429407,both,0.0,0.0,0.0,True
ftv_complete_375,2026,LOCAL0,T1,C+F,375,0.6971526586620925,0.5259975356624463,0.1979546275883152,375,0.6971526586620925,0.5259975356624463,0.19795462758831528,both,0.0,0.0,8.326672684688674e-17,True
ftv_complete_375,2026,LOCAL0,T1,C+F+M|RAW,375,0.6471012006861063,0.422152208719028,0.2182473618698518,375,0.6471012006861063,0.422152208719028,0.21824736186985183,both,0.0,0.0,2.7755575615628914e-17,True
ftv_complete_375,2026,LOCAL0,T1,C+M|RAW,375,0.6245626072041166,0.3989570334474615,0.223626377847408,375,0.6245626072041166,0.3989570334474615,0.22362637784740802,both,0.0,0.0,2.7755575615628914e-17,True
ftv_complete_375,2026,LOCAL0,T1,F,375,0.6593481989708404,0.4223046318898934,0.1964305978965736,375,0.6593481989708404,0.4223046318898934,0.19643059789657363,both,0.0,0.0,2.7755575615628914e-17,True
ftv_complete_375,2026,LOCAL0,T1,M|RAW,375,0.5129331046312179,0.3114418269349859,0.2823936303150286,375,0.5129331046312179,0.3114418269349859,0.2823936303150286,both,0.0,0.0,0.0,True
ftv_complete_375,2026,LOCAL0,T2,C,375,0.6966723842195541,0.5362125873999827,0.2430950945429407,375,0.6966723842195541,0.5362125873999827,0.2430950945429407,both,0.0,0.0,0.0,True
ftv_complete_375,2026,LOCAL0,T2,C+F,375,0.726106346483705,0.5400010651611841,0.1887354938947084,375,0.726106346483705,0.5400010651611841,0.1887354938947084,both,0.0,0.0,0.0,True
