comparison_name,population,seed,arm,timing,reference_selector,comparison_selector,n,reference_auroc,comparison_auroc,delta_auroc,reference_auprc,comparison_auprc,delta_auprc,reference_brier,comparison_brier,delta_brier,brier_improvement
late_vs_concat_C_M,ftv_complete_375,3026,LOCAL0,T1,"{""model_key"":""C+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",375,0.6288507718696398,0.6689536878216124,0.04010291595197257,0.44098184010586033,0.4929821738117007,0.05200033370584034,0.23545836214383276,0.19437009972938077,-0.04108826241445199,0.04108826241445199
late_vs_concat_C_M,ftv_complete_375,3026,LOCAL0,T2,"{""model_key"":""C+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",375,0.6221269296740994,0.6380789022298456,0.015951972555746208,0.4186912903116265,0.4787201115328205,0.06002882122119402,0.22703375869231202,0.21265756635277996,-0.014376192339532051,0.014376192339532051
late_vs_concat_C_M,ftv_complete_375,3026,LOCAL0,T3,"{""model_key"":""C+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",375,0.6339279588336193,0.6439451114922814,0.010017152658662098,0.448372466765527,0.4643455193355843,0.015973052570057322,0.22820120253026432,0.22401257397464416,-0.004188628555620161,0.004188628555620161
late_vs_concat_C_M,ftv_complete_375,3026,LOCAL3,T0,"{""model_key"":""C+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",375,0.6544082332761577,0.6266209262435678,-0.027787307032589914,0.4873491956826775,0.45906534796051823,-0.02828384772215925,0.2245513811142996,0.21598521684126126,-0.00856616427303833,0.00856616427303833
late_vs_concat_C_M,ftv_complete_375,3026,LOCAL3,T1,"{""model_key"":""C+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",375,0.6380102915951973,0.6457289879931389,0.007718696397941649,0.4389630937315868,0.48929112879424613,0.050328035062659315,0.22677087378471644,0.21948856400496206,-0.007282309779754387,0.007282309779754387
late_vs_concat_C_M,ftv_complete_375,3026,LOCAL3,T2,"{""model_key"":""C+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",375,0.6393138936535163,0.627958833619211,-0.011355060034305309,0.417945790141208,0.44906030556794563,0.031114515426737654,0.23208275864162534,0.23266044447047302,0.0005776858288476794,-0.0005776858288476794
late_vs_concat_C_M,ftv_complete_375,3026,LOCAL3,T3,"{""model_key"":""C+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",375,0.6286106346483704,0.6702572898799314,0.04164665523156097,0.44262439641281315,0.5119917922757458,0.06936739586293261,0.22855471138097538,0.2278380587693258,-0.0007166526116495764,0.0007166526116495764
late_vs_concat_C_M,full_808,2026,LOCAL0,T0,"{""model_key"":""C+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",808,0.6640695889476378,0.6536176019102848,-0.01045198703735295,0.5182865863682665,0.5208397083086831,0.0025531219404165695,0.22804033880909327,0.2211198768966269,-0.006920461912466369,0.006920461912466369
late_vs_concat_C_M,full_808,2026,LOCAL0,T1,"{""model_key"":""C+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",808,0.6673648302916596,0.6627528568991985,-0.004611973392461111,0.5271138331394585,0.5084662720749965,-0.01864756106446197,0.2216320190502964,0.21701387222664828,-0.004618146823648112,0.004618146823648112
late_vs_concat_C_M,full_808,2026,LOCAL0,T2,"{""model_key"":""C+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",808,0.6828790721473649,0.6592665870714651,-0.023612485075899747,0.5391807491775237,0.5293642355711016,-0.009816513606422106,0.228895062557263,0.2353834112268912,0.006488348669628191,-0.006488348669628191
late_vs_concat_C_M,full_808,2026,LOCAL0,T3,"{""model_key"":""C+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",808,0.656394337369947,0.6672556711581101,0.010861333788163119,0.49522673972552345,0.5233729569406245,0.02814621721510102,0.22730764665075856,0.21658705192226102,-0.01072059472849754,0.01072059472849754
late_vs_concat_C_M,full_808,2026,LOCAL3,T0,"{""model_key"":""C+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",808,0.6622411734606857,0.6702370799931776,0.007995906532491937,0.5156510462734701,0.5245716676507379,0.00892062137726779,0.22717586871925008,0.21147107983131166,-0.015704788887938415,0.015704788887938415
late_vs_concat_C_M,full_808,2026,LOCAL3,T1,"{""model_key"":""C+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",808,0.6715196998123828,0.6642537949855022,-0.007265904826880609,0.5405446061850211,0.5128638048728347,-0.02768080131218642,0.22186248689935187,0.22776047301216656,0.005897986112814696,-0.005897986112814696
late_vs_concat_C_M,full_808,2026,LOCAL3,T2,"{""model_key"":""C+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",808,0.6753198021490705,0.6526692819375746,-0.02265052021149594,0.5284829090692255,0.49472752200387926,-0.0337553870653462,0.2309779613242686,0.2199354125740579,-0.011042548750210684,0.011042548750210684
late_vs_concat_C_M,full_808,2026,LOCAL3,T3,"{""model_key"":""C+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",808,0.658318267098755,0.6395087838990279,-0.018809483199727084,0.5165522904432154,0.4991972105204907,-0.01735507992272467,0.23010604055085992,0.22933761933924574,-0.0007684212116141897,0.0007684212116141897
late_vs_concat_C_M,full_808,3026,LOCAL0,T0,"{""model_key"":""C+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",808,0.6683267951560634,0.6818761726078799,0.013549377451816502,0.5020652203461111,0.5386504849145398,0.0365852645684287,0.2159017413177085,0.2057725969559209,-0.010129144361787606,0.010129144361787606
late_vs_concat_C_M,full_808,3026,LOCAL0,T1,"{""model_key"":""C+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",808,0.6672010915913356,0.6428313150264369,-0.024369776564898693,0.49737573978015615,0.49137138799234614,-0.006004351787810003,0.2268620845738679,0.22489459112321386,-0.0019674934506540287,0.0019674934506540287
late_vs_concat_C_M,full_808,3026,LOCAL0,T2,"{""model_key"":""C+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",808,0.6858945932116665,0.6673989425208937,-0.018495650690772747,0.5526810319050532,0.53712866455278,-0.015552367352273277,0.21988963578540305,0.2208623768527602,0.0009727410673571468,-0.0009727410673571468
late_vs_concat_C_M,full_808,3026,LOCAL0,T3,"{""model_key"":""C+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",808,0.6851441241685144,0.6731229745863891,-0.012021149582125301,0.5540148790871375,0.5363882800788389,-0.01762659900829866,0.21774780115197132,0.21220504570260873,-0.005542755449362585,0.005542755449362585
late_vs_concat_C_M,full_808,3026,LOCAL3,T0,"{""model_key"":""C+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",808,0.6736960600375235,0.6503496503496504,-0.02334640968787305,0.5131884608519354,0.5036252355771872,-0.009563225274748177,0.21796850421535574,0.22641497567893498,0.008446471463579242,-0.008446471463579242
late_vs_concat_C_M,full_808,3026,LOCAL3,T1,"{""model_key"":""C+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",808,0.6661572573767696,0.7141940985843425,0.0480368412075729,0.5030833427823737,0.5558102782520049,0.05272693546963125,0.22523757084075546,0.1966297924320012,-0.028607778408754253,0.028607778408754253
late_vs_concat_C_M,full_808,3026,LOCAL3,T2,"{""model_key"":""C+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",808,0.6897151628858946,0.670093808630394,-0.0196213542555006,0.5518623202909534,0.5250232388777626,-0.026839081413190802,0.21929809144502327,0.22728558917722227,0.007987497732199006,-0.007987497732199006
late_vs_concat_C_M,full_808,3026,LOCAL3,T3,"{""model_key"":""C+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",808,0.6930922735800784,0.6699846494968447,-0.023107624083233747,0.5563351194174152,0.5342596578515054,-0.022075461565909782,0.21911824572235986,0.21809676209299345,-0.0010214836293664098,0.0010214836293664098
