comparison_name,population,seed,arm,timing,reference_selector,comparison_selector,n,reference_auroc,comparison_auroc,delta_auroc,reference_auprc,comparison_auprc,delta_auprc,reference_brier,comparison_brier,delta_brier,brier_improvement
delta3_late_C_Mk_vs_C,full_808,2026,LOCAL0,T1,"{""model_key"":""C""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",808,0.6796145318096538,0.6627528568991985,-0.016861674910455315,0.5424197284072237,0.5084662720749965,-0.03395345633222724,0.22583847913185245,0.21701387222664828,-0.008824606905204174,0.008824606905204174
delta3_late_C_Mk_vs_C,full_808,2026,LOCAL0,T2,"{""model_key"":""C""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",808,0.6796145318096538,0.6592665870714651,-0.020347944738188684,0.5424197284072237,0.5293642355711016,-0.013055492836122173,0.22583847913185245,0.2353834112268912,0.009544932095038733,-0.009544932095038733
delta3_late_C_Mk_vs_C,full_808,2026,LOCAL0,T3,"{""model_key"":""C""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",808,0.6796145318096538,0.6672556711581101,-0.01235886065154368,0.5424197284072237,0.5233729569406245,-0.019046771466599277,0.22583847913185245,0.21658705192226102,-0.009251427209591434,0.009251427209591434
delta3_late_C_Mk_vs_C,full_808,2026,LOCAL3,T0,"{""model_key"":""C""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",808,0.6796145318096538,0.6702370799931776,-0.009377451816476201,0.5424197284072237,0.5245716676507379,-0.017848060756485817,0.22583847913185245,0.21147107983131166,-0.01436739930054079,0.01436739930054079
delta3_late_C_Mk_vs_C,full_808,2026,LOCAL3,T1,"{""model_key"":""C""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",808,0.6796145318096538,0.6642537949855022,-0.015360736824151622,0.5424197284072237,0.5128638048728347,-0.029555923534389072,0.22583847913185245,0.22776047301216656,0.0019219938803141101,-0.0019219938803141101
delta3_late_C_Mk_vs_C,full_808,2026,LOCAL3,T2,"{""model_key"":""C""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",808,0.6796145318096538,0.6526692819375746,-0.026945249872079247,0.5424197284072237,0.49472752200387926,-0.047692206403344484,0.22583847913185245,0.2199354125740579,-0.005903066557794545,0.005903066557794545
delta3_late_C_Mk_vs_C,full_808,2026,LOCAL3,T3,"{""model_key"":""C""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",808,0.6796145318096538,0.6395087838990279,-0.04010574791062593,0.5424197284072237,0.4991972105204907,-0.043222517886733036,0.22583847913185245,0.22933761933924574,0.003499140207393281,-0.003499140207393281
delta3_late_C_Mk_vs_C,full_808,3026,LOCAL0,T0,"{""model_key"":""C""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",808,0.6796145318096538,0.6818761726078799,0.0022616407982261055,0.5424197284072237,0.5386504849145398,-0.003769243492683927,0.22583847913185245,0.2057725969559209,-0.020065882175931554,0.020065882175931554
delta3_late_C_Mk_vs_C,full_808,3026,LOCAL0,T1,"{""model_key"":""C""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",808,0.6796145318096538,0.6428313150264369,-0.03678321678321694,0.5424197284072237,0.49137138799234614,-0.0510483404148776,0.22583847913185245,0.22489459112321386,-0.0009438880086385937,0.0009438880086385937
delta3_late_C_Mk_vs_C,full_808,3026,LOCAL0,T2,"{""model_key"":""C""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",808,0.6796145318096538,0.6673989425208937,-0.012215589288760098,0.5424197284072237,0.53712866455278,-0.005291063854443778,0.22583847913185245,0.2208623768527602,-0.004976102279092259,0.004976102279092259
