population,seed,arm,fold,timing,model_family,raw_input_dim,selected_dimension,selected_C,validation_auroc,selection_metric,tie_break,test_used_for_selection
ftv_complete_375,2026,LOCAL0,0,T3,"LateFusion(C,M)",768,64,0.0001,0.8697368421052631,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,0,T3,"LateFusion(C+F,M)",768,64,0.0001,0.8552631578947368,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,1,T0,M,192,8,0.0001,0.6207317073170732,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,1,T0,C+M,192,16,0.1,0.7469512195121951,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,1,T0,"LateFusion(C,M)",192,32,1.0,0.738719512195122,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,1,T1,M,384,8,1.0,0.666158536585366,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,1,T1,C+M,384,32,0.01,0.760670731707317,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,1,T1,"LateFusion(C,M)",384,64,0.01,0.739939024390244,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,1,T2,M,576,32,0.1,0.725609756097561,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,1,T2,C+M,576,32,0.1,0.788109756097561,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,1,T2,"LateFusion(C,M)",576,32,0.0001,0.7582317073170731,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,1,T3,M,768,32,0.0001,0.6746951219512195,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,1,T3,C+M,768,64,0.01,0.7658536585365853,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,1,T3,"LateFusion(C,M)",768,32,0.01,0.7454268292682926,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,1,T0,M,192,32,0.0001,0.5843253968253967,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,1,T0,C+M,192,8,1.0,0.681547619047619,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,1,T0,C+F+M,192,8,1.0,0.6865079365079364,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,1,T0,M_residual,192,32,0.01,0.5833333333333334,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,1,T0,C+F+M_residual,192,8,1.0,0.6865079365079364,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,1,T0,"LateFusion(C,M)",192,32,1.0,0.6815476190476191,validation_auroc,smaller_dimension_then_smaller_C,False
