population,seed,arm,timing,representation,target,n_folds,n,n_positive,n_negative,n_classes,auroc,auprc,balanced_accuracy,brier,class_counts
full_808,2026,LOCAL0,T3,pca16,HER2,5,808,201.0,607.0,2,0.5680001967100248,0.31698870364072385,0.5617874384256641,0.24704783803414349,"{""0"":607,""1"":201}"
full_808,2026,LOCAL0,T3,pca16,HR,5,808,453.0,355.0,2,0.5155986692783634,0.5738135279043735,0.5252619469576844,0.2536729393128526,"{""0"":355,""1"":453}"
full_808,2026,LOCAL0,T3,pca16,subtype_4class,5,808,,,4,0.5395736846562081,0.27390260345224593,0.297544971534827,,"{""HR+/HER2+"":133,""HR+/HER2-"":320,""HR-/HER2+"":68,""HR-/HER2-"":287}"
full_808,2026,LOCAL0,T3,pca32,HER2,5,808,201.0,607.0,2,0.5458949076692321,0.29559907323303847,0.5240273099084478,0.25139106036487296,"{""0"":607,""1"":201}"
full_808,2026,LOCAL0,T3,pca32,HR,5,808,453.0,355.0,2,0.5124832882504742,0.579965843266681,0.5201971209153375,0.2541310419241985,"{""0"":355,""1"":453}"
full_808,2026,LOCAL0,T3,pca32,subtype_4class,5,808,,,4,0.5365762450982078,0.27848867927441356,0.28816499080376695,,"{""HR+/HER2+"":133,""HR+/HER2-"":320,""HR-/HER2+"":68,""HR-/HER2-"":287}"
full_808,2026,LOCAL0,T3,raw,HER2,5,808,201.0,607.0,2,0.5445261337464243,0.3064866073661908,0.5242281180587999,0.25131602506248724,"{""0"":607,""1"":201}"
full_808,2026,LOCAL0,T3,raw,HR,5,808,453.0,355.0,2,0.5347324565494512,0.5839843126785955,0.5243820539128813,0.33290661037345054,"{""0"":355,""1"":453}"
full_808,2026,LOCAL0,T3,raw,subtype_4class,5,808,,,4,0.549915917322843,0.27969429212731417,0.30379337871220374,,"{""HR+/HER2+"":133,""HR+/HER2-"":320,""HR-/HER2+"":68,""HR-/HER2-"":287}"
full_808,2026,LOCAL3,T0,pca16,HER2,5,808,201.0,607.0,2,0.5246420287360561,0.27142156743413837,0.5223470784463187,0.25144500288626126,"{""0"":607,""1"":201}"
full_808,2026,LOCAL3,T0,pca16,HR,5,808,453.0,355.0,2,0.5234275409632185,0.5834917586532535,0.4962379131299941,0.2513058531958302,"{""0"":355,""1"":453}"
full_808,2026,LOCAL3,T0,pca16,subtype_4class,5,808,,,4,0.514764779901805,0.2530438882306282,0.24677123055576533,,"{""HR+/HER2+"":133,""HR+/HER2-"":320,""HR-/HER2+"":68,""HR-/HER2-"":287}"
full_808,2026,LOCAL3,T0,pca32,HER2,5,808,201.0,607.0,2,0.5196751006089815,0.2735654163499701,0.49882383797650953,0.2527004874796762,"{""0"":607,""1"":201}"
full_808,2026,LOCAL3,T0,pca32,HR,5,808,453.0,355.0,2,0.5455399061032864,0.5959568995856344,0.5079532381929546,0.25317776091242167,"{""0"":355,""1"":453}"
full_808,2026,LOCAL3,T0,pca32,subtype_4class,5,808,,,4,0.5161323279993881,0.257169278565722,0.2569623709560846,,"{""HR+/HER2+"":133,""HR+/HER2-"":320,""HR-/HER2+"":68,""HR-/HER2-"":287}"
full_808,2026,LOCAL3,T0,raw,HER2,5,808,201.0,607.0,2,0.524461711213291,0.2576334205046974,0.5383133754620637,0.266509762018985,"{""0"":607,""1"":201}"
full_808,2026,LOCAL3,T0,raw,HR,5,808,453.0,355.0,2,0.5359325933526102,0.5934846044065184,0.5182787675279048,0.27148466474810623,"{""0"":355,""1"":453}"
full_808,2026,LOCAL3,T0,raw,subtype_4class,5,808,,,4,0.5108044567783561,0.25073276372742975,0.23915296221184237,,"{""HR+/HER2+"":133,""HR+/HER2-"":320,""HR-/HER2+"":68,""HR-/HER2-"":287}"
full_808,2026,LOCAL3,T1,pca16,HER2,5,808,201.0,607.0,2,0.5628775398132895,0.30649644539605025,0.5511609989590762,0.24852608331873008,"{""0"":607,""1"":201}"
full_808,2026,LOCAL3,T1,pca16,HR,5,808,453.0,355.0,2,0.4969001647856232,0.5535472306075029,0.5169853558436713,0.2547253109683615,"{""0"":355,""1"":453}"
full_808,2026,LOCAL3,T1,pca16,subtype_4class,5,808,,,4,0.5304633591535803,0.2658507988852706,0.2583523320271626,,"{""HR+/HER2+"":133,""HR+/HER2-"":320,""HR-/HER2+"":68,""HR-/HER2-"":287}"
full_808,2026,LOCAL3,T1,pca32,HER2,5,808,201.0,607.0,2,0.5518699746735843,0.283086715004665,0.5335513536108584,0.24864888805379062,"{""0"":607,""1"":201}"
full_808,2026,LOCAL3,T1,pca32,HR,5,808,453.0,355.0,2,0.498336597954171,0.568072453809981,0.5038957808662128,0.2546411273877174,"{""0"":355,""1"":453}"
full_808,2026,LOCAL3,T1,pca32,subtype_4class,5,808,,,4,0.5242841075431667,0.2651713782078615,0.2727989635359921,,"{""HR+/HER2+"":133,""HR+/HER2-"":320,""HR-/HER2+"":68,""HR-/HER2-"":287}"
full_808,2026,LOCAL3,T1,raw,HER2,5,808,201.0,607.0,2,0.5545173637578171,0.3004974116349242,0.5445056431188375,0.24936077538769022,"{""0"":607,""1"":201}"
full_808,2026,LOCAL3,T1,raw,HR,5,808,453.0,355.0,2,0.4998041227497435,0.5512304062022603,0.5008425830923733,0.31324989156485217,"{""0"":355,""1"":453}"
full_808,2026,LOCAL3,T1,raw,subtype_4class,5,808,,,4,0.5161815153156558,0.2553301134506524,0.27956526561202144,,"{""HR+/HER2+"":133,""HR+/HER2-"":320,""HR-/HER2+"":68,""HR-/HER2-"":287}"
full_808,2026,LOCAL3,T2,pca16,HER2,5,808,201.0,607.0,2,0.55368134615227,0.3120165776993239,0.5443089330940029,0.24767820244954128,"{""0"":607,""1"":201}"
full_808,2026,LOCAL3,T2,pca16,HR,5,808,453.0,355.0,2,0.5428971178061748,0.5863004327368296,0.5131797406958306,0.2548340892185958,"{""0"":355,""1"":453}"
full_808,2026,LOCAL3,T2,pca16,subtype_4class,5,808,,,4,0.5532950870240465,0.28454874310300704,0.30102315677554714,,"{""HR+/HER2+"":133,""HR+/HER2-"":320,""HR-/HER2+"":68,""HR-/HER2-"":287}"
full_808,2026,LOCAL3,T2,pca32,HER2,5,808,201.0,607.0,2,0.5346168662453794,0.2870319621068529,0.5264820870933635,0.2524863405746222,"{""0"":607,""1"":201}"
full_808,2026,LOCAL3,T2,pca32,HR,5,808,453.0,355.0,2,0.5052016292012561,0.5716822145594864,0.519404284426204,0.2561271830152605,"{""0"":355,""1"":453}"
full_808,2026,LOCAL3,T2,pca32,subtype_4class,5,808,,,4,0.5364739273761523,0.27408896191495624,0.27558759142296196,,"{""HR+/HER2+"":133,""HR+/HER2-"":320,""HR-/HER2+"":68,""HR-/HER2-"":287}"
full_808,2026,LOCAL3,T2,raw,HER2,5,808,201.0,607.0,2,0.5637053611678019,0.31930384811848167,0.545198226331276,0.25062198746622244,"{""0"":607,""1"":201}"
full_808,2026,LOCAL3,T2,raw,HR,5,808,453.0,355.0,2,0.538441687653515,0.5835325114169564,0.5285856418866399,0.2999694112672756,"{""0"":355,""1"":453}"
