arm,seed_base,fold,state,eigen_index,eigenvalue,explained_fraction,pcr_labels_used
F1,2026,0,z_R,0,31.53561419685481,0.46345570953406295,False
F1,2026,0,z_R,1,15.000313493311662,0.22044856617917047,False
F1,2026,0,z_R,2,11.173944467301261,0.1642152370669163,False
F1,2026,0,z_R,3,2.1994833478362943,0.03232418779658624,False
F1,2026,0,z_R,4,1.7575432640174933,0.025829319682103367,False
F1,2026,0,z_R,5,1.3148132466691222,0.01932284249598021,False
F1,2026,0,z_R,6,1.232036413976839,0.0181063323151761,False
F1,2026,0,z_R,7,0.6183147919697881,0.009086917376619376,False
F1,2026,0,z_R,8,0.5301953590372573,0.007791890932594753,False
F1,2026,0,z_R,9,0.33309607450959955,0.004895267826121937,False
F1,2026,0,z_R,10,0.2973970947664993,0.00437062619766966,False
F1,2026,0,z_R,11,0.2940897167509807,0.004322020097426577,False
F1,2026,0,z_R,12,0.18953102228162927,0.0027853979269891437,False
F1,2026,0,z_R,13,0.1629189030499668,0.002394299198937565,False
F1,2026,0,z_R,14,0.13624647673214774,0.0020023141820307844,False
F1,2026,0,z_R,15,0.11679099013240779,0.0017163912160112352,False
F1,2026,0,z_R,16,0.1021964125844987,0.001501905452372907,False
F1,2026,0,z_R,17,0.09045549200086954,0.0013293577846565877,False
F1,2026,0,z_R,18,0.07676880146882516,0.0011282145682249762,False
F1,2026,0,z_R,19,0.07154354174786774,0.0010514227722460158,False
F1,2026,0,z_R,20,0.060446022681695626,0.0008883307030452979,False
F1,2026,0,z_R,21,0.05716512940261891,0.0008401138294791667,False
F1,2026,0,z_R,22,0.05311941336193658,0.0007806569187463239,False
F1,2026,0,z_R,23,0.04586513086409066,0.0006740460685116382,False
F1,2026,0,z_R,24,0.043957491312129074,0.0006460108941665077,False
F1,2026,0,z_R,25,0.04066304313117006,0.000597594814184725,False
F1,2026,0,z_R,26,0.03681921563111672,0.000541104910730064,False
F1,2026,0,z_R,27,0.03365498581071512,0.000494602554143988,False
F1,2026,0,z_R,28,0.030114355128632038,0.0004425685111499389,False
F1,2026,0,z_R,29,0.028085962066248377,0.0004127587113447793,False
F1,2026,0,z_R,30,0.02681488518292038,0.0003940786299879407,False
F1,2026,0,z_R,31,0.024537929311944158,0.0003606158855437154,False
F1,2026,0,z_R,32,0.02325842816056917,0.0003418119989202138,False
F1,2026,0,z_R,33,0.021267335983565016,0.0003125503827715353,False
F1,2026,0,z_R,34,0.020162134567946473,0.00029630805106820577,False
F1,2026,0,z_R,35,0.018295757454534448,0.000268879280410529,False
F1,2026,0,z_R,36,0.017716836864434038,0.00026037131062202167,False
F1,2026,0,z_R,37,0.015727044355511692,0.00023112879473849904,False
F1,2026,0,z_R,38,0.01488731975635433,0.0002187879803980415,False
F1,2026,0,z_R,39,0.014495743713155766,0.00021303327551725845,False
F1,2026,0,z_R,40,0.012219956476901831,0.00017958770563735347,False
F1,2026,0,z_R,41,0.01111800232296071,0.00016339309654869567,False
F1,2026,0,z_R,42,0.010155072281594797,0.00014924162251152875,False
F1,2026,0,z_R,43,0.009279719985247504,0.00013637721412983414,False
F1,2026,0,z_R,44,0.009056260297874598,0.00013309319158576083,False
F1,2026,0,z_R,45,0.008802115250544654,0.00012935820889287215,False
F1,2026,0,z_R,46,0.008409549378373475,0.00012358895722425878,False
F1,2026,0,z_R,47,0.00794052729752388,0.00011669608493357192,False
F1,2026,0,z_R,48,0.007481029558452249,0.00010994318488344448,False
F1,2026,0,z_R,49,0.007186571411115828,0.0001056157502328932,False
F1,2026,0,z_R,50,0.006077546737560235,8.931723092183592e-05,False
F1,2026,0,z_R,51,0.005548792685494826,8.154652181690828e-05,False
F1,2026,0,z_R,52,0.00542898348180059,7.978577413778551e-05,False
F1,2026,0,z_R,53,0.005183370933357566,7.617618730054916e-05,False
F1,2026,0,z_R,54,0.005044211717126837,7.413106673007843e-05,False
F1,2026,0,z_R,55,0.004640561148458959,6.819891143612961e-05,False
F1,2026,0,z_R,56,0.00432689863855718,6.358924440464804e-05,False
F1,2026,0,z_R,57,0.004072651643504702,5.98527634611216e-05,False
F1,2026,0,z_R,58,0.0038985414974937204,5.729399480188786e-05,False
F1,2026,0,z_R,59,0.003623412090284583,5.32506204177443e-05,False
F1,2026,0,z_R,60,0.003398813730007811,4.994986363614211e-05,False
F1,2026,0,z_R,61,0.0033012598297332764,4.85161857699898e-05,False
F1,2026,0,z_R,62,0.00324550805158528,4.769684292357895e-05,False
F1,2026,0,z_R,63,0.002880077391597377,4.232637749509569e-05,False
F1,2026,0,z_R,64,0.0027318173446277193,4.014750871407385e-05,False
F1,2026,0,z_R,65,0.002483404405265837,3.6496766592777685e-05,False
F1,2026,0,z_R,66,0.002445264934478549,3.5936258863813295e-05,False
F1,2026,0,z_R,67,0.0021778456444392635,3.2006194396554136e-05,False
F1,2026,0,z_R,68,0.0019172038733505548,2.8175734136605247e-05,False
F1,2026,0,z_R,69,0.0018215069877624108,2.6769347448412042e-05,False
F1,2026,0,z_R,70,0.0016906202856151091,2.484580192830287e-05,False
F1,2026,0,z_R,71,0.0014860730356186995,2.183972155553556e-05,False
F1,2026,0,z_R,72,0.0014479800294132869,2.127989668232996e-05,False
F1,2026,0,z_R,73,0.0013153124477046788,1.9330178886154502e-05,False
F1,2026,0,z_R,74,0.0012493141621402215,1.836025066235736e-05,False
F1,2026,0,z_R,75,0.001129700086424355,1.660237063550547e-05,False
F1,2026,0,z_R,76,0.0011119653005338284,1.6341735541258646e-05,False
F1,2026,0,z_R,77,0.0010379295952283611,1.5253687275605326e-05,False
F1,2026,0,z_R,78,0.0008769225979479091,1.288748594847205e-05,False
F1,2026,0,z_R,79,0.000806358286135058,1.1850454197802375e-05,False
F1,2026,0,z_R,80,0.0007505843017516844,1.103078500269546e-05,False
F1,2026,0,z_R,81,0.0007179530041443868,1.055122684057425e-05,False
F1,2026,0,z_R,82,0.0006469865173307946,9.508284619946331e-06,False
F1,2026,0,z_R,83,0.0006315958383956641,9.282099140203771e-06,False
F1,2026,0,z_R,84,0.0005402349951844606,7.939436075207829e-06,False
F1,2026,0,z_R,85,0.0005223858798340758,7.677120765043586e-06,False
F1,2026,0,z_R,86,0.00038228577179622584,5.618172600242774e-06,False
F1,2026,0,z_R,87,0.00037233956487540525,5.472000518199696e-06,False
F1,2026,0,z_R,88,0.0003274020383496626,4.811586767870046e-06,False
F1,2026,0,z_R,89,0.00030292593933593613,4.451879556708009e-06,False
F1,2026,0,z_R,90,0.00025540117677869584,3.753443102801861e-06,False
F1,2026,0,z_R,91,0.00022173530657947516,3.258680588811643e-06,False
F1,2026,0,z_R,92,0.00019607292557379219,2.881539464396554e-06,False
F1,2026,0,z_R,93,0.00013749765357720284,2.0207018071728827e-06,False
F1,2026,0,z_R,94,0.00010335555213560716,1.5189404731514634e-06,False
F1,2026,0,z_R,95,1.285364635933859e-14,1.88900579401473e-16,False
F1,2026,0,z_P,0,0.32708754650538174,0.19562361084591742,False
F1,2026,0,z_P,1,0.24127470209484897,0.1443009033325908,False
F1,2026,0,z_P,2,0.19808675674218015,0.11847117699427476,False
F1,2026,0,z_P,3,0.13742123807334877,0.08218851217676254,False
F1,2026,0,z_P,4,0.12852041058365235,0.07686513000689944,False
F1,2026,0,z_P,5,0.08678483353019686,0.05190403206488212,False
F1,2026,0,z_P,6,0.08152648157347406,0.048759131539432475,False
F1,2026,0,z_P,7,0.06960560022721132,0.0416295239516875,False
F1,2026,0,z_P,8,0.053952085141197155,0.03226751314976677,False
F1,2026,0,z_P,9,0.04716539375101286,0.02820854762316912,False
F1,2026,0,z_P,10,0.040313911102895825,0.024110831921080322,False
F1,2026,0,z_P,11,0.02911712703446942,0.017414290421015673,False
F1,2026,0,z_P,12,0.02679465177924019,0.016025270874468183,False
F1,2026,0,z_P,13,0.022212974963888812,0.013285074337106854,False
F1,2026,0,z_P,14,0.01913986399595092,0.011447116669500235,False
F1,2026,0,z_P,15,0.016192278176100493,0.009684232733630555,False
F1,2026,0,z_P,16,0.01493187513908053,0.008930414387877826,False
F1,2026,0,z_P,17,0.013646152150671177,0.008161452755961635,False
F1,2026,0,z_P,18,0.012031859560669506,0.007195981129811726,False
F1,2026,0,z_P,19,0.010432430054163578,0.006239398775334817,False
F1,2026,0,z_P,20,0.009920245135555877,0.005933072642562862,False
F1,2026,0,z_P,21,0.008038131841395327,0.004807423553936575,False
F1,2026,0,z_P,22,0.0076879416487560005,0.004597982776692537,False
F1,2026,0,z_P,23,0.0067745433334466575,0.004051700050583148,False
F1,2026,0,z_P,24,0.0062264935116522115,0.0037239239361809232,False
F1,2026,0,z_P,25,0.00551301992905445,0.0032972116386258995,False
F1,2026,0,z_P,26,0.0050380096975745645,0.0030131188394238325,False
F1,2026,0,z_P,27,0.004466465129066532,0.0026712910521984527,False
F1,2026,0,z_P,28,0.0038062077005961803,0.002276406124217604,False
F1,2026,0,z_P,29,0.0034557031279898475,0.002066777323476553,False
F1,2026,0,z_P,30,0.0028785176687713796,0.0017215758480109687,False
F1,2026,0,z_P,31,0.0026874530432231245,0.0016073044477268317,False
F1,2026,0,z_P,32,0.00250495280407814,0.0014981552118625494,False
F1,2026,0,z_P,33,0.002227717959276505,0.0013323473663122115,False
F1,2026,0,z_P,34,0.002160626165421636,0.00129222129268989,False
F1,2026,0,z_P,35,0.0018847093195149326,0.001127201712255947,False
F1,2026,0,z_P,36,0.001780020576917881,0.001064589760010871,False
F1,2026,0,z_P,37,0.0016648704152857114,0.0009957210713412905,False
F1,2026,0,z_P,38,0.0014164457030492773,0.000847143909812918,False
F1,2026,0,z_P,39,0.0013804723436703515,0.0008256290630046262,False
F1,2026,0,z_P,40,0.001200466003909479,0.0007179713715535102,False
F1,2026,0,z_P,41,0.0011178342923229914,0.0006685512271193009,False
F1,2026,0,z_P,42,0.0009377489615338347,0.0005608462929335028,False
F1,2026,0,z_P,43,0.0008639529348958858,0.0005167105703991705,False
F1,2026,0,z_P,44,0.0008266911761199135,0.0004944251612599225,False
F1,2026,0,z_P,45,0.0008138652148665522,0.00048675424599653406,False
F1,2026,0,z_P,46,0.0007327365144822137,0.0004382330183252759,False
F1,2026,0,z_P,47,0.0006583379411153617,0.0003937369263177833,False
F1,2026,0,z_P,48,0.0006406977121076765,0.0003831867071746173,False
F1,2026,0,z_P,49,0.0006001494490077468,0.0003589357146624092,False
F1,2026,0,z_P,50,0.0005068598870049145,0.0003031413526690893,False
F1,2026,0,z_P,51,0.00048647648807765653,0.00029095050608362504,False
F1,2026,0,z_P,52,0.00048140431950870373,0.000287916957601334,False
F1,2026,0,z_P,53,0.0004254869794484244,0.0002544740702509563,False
F1,2026,0,z_P,54,0.0003985829531119742,0.00023838338494526102,False
F1,2026,0,z_P,55,0.00034792298136168736,0.00020808480982363004,False
F1,2026,0,z_P,56,0.0003041957542022585,0.00018193255132097744,False
F1,2026,0,z_P,57,0.0002960094373915305,0.00017703650171238468,False
F1,2026,0,z_P,58,0.0002598854714871802,0.0001554315805718987,False
F1,2026,0,z_P,59,0.00023576233288280957,0.00014100408087298894,False
F1,2026,0,z_P,60,0.00023271983907220122,0.00013918443462975367,False
F1,2026,0,z_P,61,0.00021343867270927805,0.00012765280823329037,False
F1,2026,0,z_P,62,0.00018365574242410485,0.00010984031605434419,False
F1,2026,0,z_P,63,0.00016691318504691814,9.982697386533998e-05,False
F1,2026,0,z_P,64,0.0001595459947887896,9.54208251889939e-05,False
F1,2026,0,z_P,65,0.00013680723932267764,8.182129351024814e-05,False
F1,2026,0,z_P,66,0.00012323505626544765,7.370407998413357e-05,False
F1,2026,0,z_P,67,0.0001124842381121054,6.727426053923445e-05,False
F1,2026,0,z_P,68,0.00010096587904132604,6.038539235541135e-05,False
F1,2026,0,z_P,69,9.876822930204178e-05,5.907102810655328e-05,False
F1,2026,0,z_P,70,7.511395465888838e-05,4.492394526260723e-05,False
F1,2026,0,z_P,71,6.845092880134914e-05,4.093894127411054e-05,False
F1,2026,0,z_P,72,6.30932551859013e-05,3.773463872702301e-05,False
F1,2026,0,z_P,73,5.801658319733129e-05,3.4698396852042146e-05,False
F1,2026,0,z_P,74,5.173314775603355e-05,3.094041724481901e-05,False
F1,2026,0,z_P,75,4.755374993796799e-05,2.844081461223122e-05,False
F1,2026,0,z_P,76,4.087747428365226e-05,2.4447886222099298e-05,False
F1,2026,0,z_P,77,3.748227144518687e-05,2.241729274365276e-05,False
F1,2026,0,z_P,78,3.173206439102399e-05,1.897822488837903e-05,False
F1,2026,0,z_P,79,2.6455870928464984e-05,1.5822653764699967e-05,False
F1,2026,0,z_P,80,1.860019433535498e-05,1.1124352538619356e-05,False
F1,2026,0,z_P,81,1.5326742593813852e-05,9.16657561787806e-06,False
F1,2026,0,z_P,82,1.4075538601756065e-05,8.418259011372395e-06,False
F1,2026,0,z_P,83,1.1519148399059155e-05,6.889340263087162e-06,False
F1,2026,0,z_P,84,9.830662774956493e-06,5.879495473282697e-06,False
F1,2026,0,z_P,85,8.837675110555904e-06,5.285612170445604e-06,False
F1,2026,0,z_P,86,8.127070440950614e-06,4.860615704400481e-06,False
F1,2026,0,z_P,87,5.332883514749459e-06,3.1894761525529118e-06,False
F1,2026,0,z_P,88,4.970523858759003e-06,2.9727570964864616e-06,False
F1,2026,0,z_P,89,3.2397265892285764e-06,1.9376066753675522e-06,False
F1,2026,0,z_P,90,2.7130743372299884e-06,1.6226279600455286e-06,False
F1,2026,0,z_P,91,2.3937539228305617e-06,1.4316496939848771e-06,False
F1,2026,0,z_P,92,2.1893953764270998e-06,1.3094275024591278e-06,False
F1,2026,0,z_P,93,1.4985388126933332e-06,8.96241928694159e-07,False
F1,2026,0,z_P,94,1.4061636631274486e-06,8.409944559499996e-07,False
F1,2026,0,z_P,95,8.267707748768e-15,4.944727674632381e-15,False
F1,2026,1,z_R,0,25.50056472338126,0.35351829387446904,False
F1,2026,1,z_R,1,20.500938050803455,0.28420769191441025,False
F1,2026,1,z_R,2,16.9231414781101,0.2346081417111641,False
F1,2026,1,z_R,3,2.2575737954657216,0.03129709655947289,False
F1,2026,1,z_R,4,1.7117489992610764,0.02373024253871768,False
F1,2026,1,z_R,5,1.053335599612053,0.014602555201872359,False
F1,2026,1,z_R,6,0.6615543519202001,0.009171230846571184,False
F1,2026,1,z_R,7,0.4769071059548178,0.006611437364725263,False
F1,2026,1,z_R,8,0.4055156690437834,0.005621726774085088,False
F1,2026,1,z_R,9,0.37512574227544115,0.005200426493928396,False
F1,2026,1,z_R,10,0.2889324586245124,0.004005515600375675,False
F1,2026,1,z_R,11,0.2620074317879851,0.003632249766735292,False
F1,2026,1,z_R,12,0.19203848027016804,0.0026622593122852967,False
F1,2026,1,z_R,13,0.17346840519784237,0.002404819474073788,False
F1,2026,1,z_R,14,0.14595524676004334,0.0020234002805956685,False
F1,2026,1,z_R,15,0.12050815016642724,0.0016706232237179593,False
F1,2026,1,z_R,16,0.09532382313313556,0.0013214889821133902,False
F1,2026,1,z_R,17,0.0777443718166869,0.001077782315062913,False
F1,2026,1,z_R,18,0.07251878239980908,0.0010053391564433976,False
F1,2026,1,z_R,19,0.06316635018401383,0.0008756849344146172,False
F1,2026,1,z_R,20,0.05689355887222555,0.000788724253095245,False
F1,2026,1,z_R,21,0.054273158276937496,0.0007523972321934488,False
F1,2026,1,z_R,22,0.050033776031101734,0.0006936260169326579,False
F1,2026,1,z_R,23,0.045296882206502714,0.0006279577212967833,False
F1,2026,1,z_R,24,0.040238162713143025,0.0005578279063738098,False
F1,2026,1,z_R,25,0.03686690809625208,0.0005110916794193156,False
F1,2026,1,z_R,26,0.03455411474802047,0.00047902906561369293,False
F1,2026,1,z_R,27,0.03394490143188355,0.0004705834466847575,False
F1,2026,1,z_R,28,0.029339980036510525,0.0004067447053557986,False
F1,2026,1,z_R,29,0.02558748160101744,0.0003547232360639518,False
F1,2026,1,z_R,30,0.02501186587726488,0.0003467433857823718,False
F1,2026,1,z_R,31,0.023474170400666808,0.0003254260742921281,False
F1,2026,1,z_R,32,0.0229780484396743,0.0003185482584042739,False
F1,2026,1,z_R,33,0.0209139017393585,0.0002899326717410817,False
F1,2026,1,z_R,34,0.0191783031485089,0.00026587179860576994,False
F1,2026,1,z_R,35,0.01821927511965413,0.0002525766439213062,False
F1,2026,1,z_R,36,0.015845112242002232,0.00021966325478690627,False
F1,2026,1,z_R,37,0.01478559584051008,0.0002049750141675096,False
F1,2026,1,z_R,38,0.014231416771682649,0.00019729234356636856,False
F1,2026,1,z_R,39,0.013101912875295807,0.00018163385542280497,False
F1,2026,1,z_R,40,0.012937819526647236,0.00017935900381541283,False
F1,2026,1,z_R,41,0.012197984676544052,0.00016910255825059982,False
F1,2026,1,z_R,42,0.010700598622945165,0.00014834406255915565,False
F1,2026,1,z_R,43,0.010296861871355206,0.000142746997194339,False
F1,2026,1,z_R,44,0.009410313348215443,0.00013045663716753004,False
F1,2026,1,z_R,45,0.008703651587046581,0.00012066007529273803,False
F1,2026,1,z_R,46,0.00791251147246252,0.00010969237686890779,False
F1,2026,1,z_R,47,0.007466068049211311,0.00010350326227433824,False
F1,2026,1,z_R,48,0.006959879726176626,9.648589484426224e-05,False
F1,2026,1,z_R,49,0.006406012053196277,8.880754117216863e-05,False
F1,2026,1,z_R,50,0.005916841102765606,8.202608822455432e-05,False
