seed_base,arm,state,task,endpoint,analysis_scope,scale,aggregation,n,spearman,pearson,r2,rmse,mae,b0_rmse,rmse_gain_over_b0,prediction_target_variance_ratio,calibration_slope,calibration_intercept,calibration_mean_bias
2026,F0,F0,delta,T0_to_T1,primary_measurement_valid,natural,pooled_outer_test_oof,375,0.4266382978723405,0.24502448065114943,0.056022463339033046,24.611477234045026,13.124620540669637,25.477864188497076,0.03400547816889661,0.09438183389749878,0.0752755059454824,-9.891020544876676,0.30682701812317753
2026,F0,F0,delta,T1_to_T2,primary_measurement_valid,natural,pooled_outer_test_oof,375,0.3960907953123222,0.428391723300891,0.18348616655204408,15.53607776426824,8.829832185526385,17.219808801872187,0.09777873012276922,0.18279816465965976,0.18315846155191112,-7.111521420216381,-0.09815544581899652
2026,F0,F0,delta,T2_to_T3,primary_measurement_valid,natural,pooled_outer_test_oof,375,0.19766662874047106,0.1155442531411779,0.002368200178744506,27.35719995280258,9.514595073246094,27.537956917151757,0.006563920660235784,0.048084637361743794,0.025336785939890687,-5.682202853644777,-0.40693163481469835
2026,F0,F0,delta,macro,primary_measurement_valid,natural,unweighted_mean_of_pooled_endpoint_metrics,1125,0.34013190730837795,0.26298681903107274,0.08062561002327388,22.501584983705282,10.489682599814039,23.41187663584034,0.0461160429839672,0.10842154530630077,0.0945902511457614,-7.561581606245945,-0.06608668750350578
2026,F0,F0,static,T0,primary_measurement_valid,natural,pooled_outer_test_oof,375,0.7647352372283537,0.5632837629801583,0.26924664968813394,36.47343977874664,15.581282916974349,42.77656700591202,0.14735000184316444,0.2114537308838924,0.25902096003466624,12.940368622465495,-8.244938585247072
2026,F0,F0,static,T1,primary_measurement_valid,natural,pooled_outer_test_oof,375,0.5918388895209922,0.3636854533018577,0.09290382138836639,35.88630718303514,11.632405598688727,37.95576601319648,0.05452291041740081,0.09637910240632319,0.11290609034875888,8.378521928242808,-7.201492628423645
2026,F0,F0,static,T2,primary_measurement_valid,natural,pooled_outer_test_oof,375,0.4272577084992604,0.2706858965690466,0.02213417482940294,30.756795143681895,7.457263860072511,31.345565059981617,0.018783196767168657,0.02070872947695806,0.038953129610927104,2.8032510298697364,-5.824091369120237
2026,F0,F0,static,T3,primary_measurement_valid,natural,pooled_outer_test_oof,375,0.3396981647342232,0.3897157967471986,0.011849630824364743,12.334878578072733,3.157319397207037,12.477635535818399,0.011441026413687671,0.005455341528238509,0.02878451936286779,0.9721140247592868,-2.4899015570106666
2026,F0,F0,static,macro,primary_measurement_valid,natural,unweighted_mean_of_pooled_endpoint_metrics,1500,0.5308824999957074,0.3968427273995653,0.099033569182567,28.862855170884103,9.457067943235657,31.138883403727128,0.058024283860355394,0.08349922607385304,0.109916174839305,6.273563901334331,-5.940106034950405
2026,F1,full,delta,T0_to_T1,primary_measurement_valid,natural,pooled_outer_test_oof,375,0.4425713960632609,0.3543786713691025,0.1252101002889212,23.69238230736238,12.695267785132057,25.477864188497076,0.07007973148474582,0.13959041027408955,0.13240225060561225,-9.517251428360261,0.050603269132046574
