seed_base,arm,state,endpoint,target,n,n_positive,auroc,auprc,brier,auroc_macro_ovr,accuracy,flip_invariant_decodability
2026,F0,F0,T0,label_her2,808,201.0,0.5245190849705345,0.2576575823960554,0.2665105597928669,,,0.5245190849705345
2026,F0,F0,T0,label_hr,808,453.0,0.535976121630445,0.5935078133121516,0.27148269684503495,,,0.535976121630445
2026,F0,F0,T0,subtype,808,,0.519288518396449,,,0.519288518396449,0.2537128712871287,
2026,F0,F0,T1,label_her2,808,201.0,0.53973132689108,0.2779827021582657,0.2560883342994449,,,0.53973132689108
2026,F0,F0,T1,label_hr,808,453.0,0.5154556477940491,0.5761757598808214,0.26968202546003833,,,0.5154556477940491
2026,F0,F0,T1,subtype,808,,0.5113723157249882,,,0.5113723157249882,0.27970297029702973,
2026,F0,F0,T2,label_her2,808,201.0,0.5722786397501782,0.29158800594008416,0.25225918628095434,,,0.5722786397501782
2026,F0,F0,T2,label_hr,808,453.0,0.5475608618599012,0.6122600221314427,0.25044969229065356,,,0.5475608618599012
2026,F0,F0,T2,subtype,808,,0.5453362114719454,,,0.5453362114719454,0.2933168316831683,
2026,F0,F0,T3,label_her2,808,201.0,0.5428786872884344,0.2837949722819203,0.25089064910536923,,,0.5428786872884344
2026,F0,F0,T3,label_hr,808,453.0,0.47441470012125736,0.5563797177545997,0.28107833988876596,,,0.5255852998787427
2026,F0,F0,T3,subtype,808,,0.5058188521249354,,,0.5058188521249354,0.2561881188118812,
2026,F1,z_P,T0,label_her2,808,201.0,0.5294286393403657,0.28421425519387156,0.25197746741285276,,,0.5294286393403657
2026,F1,z_P,T0,label_hr,808,453.0,0.5230420047881106,0.5794217796775493,0.26466292383167594,,,0.5230420047881106
2026,F1,z_P,T0,subtype,808,,0.50840576715328,,,0.50840576715328,0.24752475247524752,
2026,F1,z_P,T1,label_her2,808,201.0,0.5207570057455719,0.259749564074896,0.2540667207376394,,,0.5207570057455719
2026,F1,z_P,T1,label_hr,808,453.0,0.5451419332773685,0.5959065096144985,0.25829694476423437,,,0.5451419332773685
2026,F1,z_P,T1,subtype,808,,0.5254762672097086,,,0.5254762672097086,0.28589108910891087,
2026,F1,z_P,T2,label_her2,808,201.0,0.53422344619571,0.2580122749870235,0.25436452574167195,,,0.53422344619571
2026,F1,z_P,T2,label_hr,808,453.0,0.5762273419768057,0.6306798618166194,0.24984807588305022,,,0.5762273419768057
2026,F1,z_P,T2,subtype,808,,0.5451116530208735,,,0.5451116530208735,0.2871287128712871,
2026,F1,z_P,T3,label_her2,808,201.0,0.5231667035497963,0.2646969183522043,0.25604524238769566,,,0.5231667035497963
2026,F1,z_P,T3,label_hr,808,453.0,0.482367938314212,0.5452297335604483,0.27731478182367875,,,0.517632061685788
2026,F1,z_P,T3,subtype,808,,0.5218687423922653,,,0.5218687423922653,0.2623762376237624,
2026,F1,z_R,T0,label_her2,808,201.0,0.5241748424270738,0.26801041883055476,0.2561871407381481,,,0.5241748424270738
2026,F1,z_R,T0,label_hr,808,453.0,0.5150452383173211,0.577068834599617,0.2565171625853294,,,0.5150452383173211
2026,F1,z_R,T0,subtype,808,,0.5320318262061409,,,0.5320318262061409,0.3032178217821782,
2026,F1,z_R,T1,label_her2,808,201.0,0.5337070823805191,0.2732836955570549,0.2507811269685066,,,0.5337070823805191
2026,F1,z_R,T1,label_hr,808,453.0,0.5063644560519851,0.5669192172290121,0.26344580406502344,,,0.5063644560519851
2026,F1,z_R,T1,subtype,808,,0.5110850073589543,,,0.5110850073589543,0.29826732673267325,
2026,F1,z_R,T2,label_her2,808,201.0,0.5851467538747777,0.2987869175491559,0.24796610479723138,,,0.5851467538747777
2026,F1,z_R,T2,label_hr,808,453.0,0.5498927338867643,0.610047322735577,0.2582151947630176,,,0.5498927338867643
2026,F1,z_R,T2,subtype,808,,0.5597817494447219,,,0.5597817494447219,0.3094059405940594,
2026,F1,z_R,T3,label_her2,808,201.0,0.5531240010819052,0.27919848242101886,0.2584501187637644,,,0.5531240010819052
2026,F1,z_R,T3,label_hr,808,453.0,0.5079687840064671,0.5791370027542122,0.2653273126611614,,,0.5079687840064671
2026,F1,z_R,T3,subtype,808,,0.5241282895336636,,,0.5241282895336636,0.2834158415841584,
2026,F1,z_R+z_P,T0,label_her2,808,201.0,0.5303957969624694,0.2670224838427086,0.2810046149971907,,,0.5303957969624694
2026,F1,z_R+z_P,T0,label_hr,808,453.0,0.5441407828871685,0.5906601867750471,0.2683377957682296,,,0.5441407828871685
2026,F1,z_R+z_P,T0,subtype,808,,0.510522400518849,,,0.510522400518849,0.2871287128712871,
2026,F1,z_R+z_P,T1,label_her2,808,201.0,0.5346824362536575,0.2700236725058089,0.2662903487148246,,,0.5346824362536575
