arm,seed_base,fold,state,dimension,variance,std,pcr_labels_used
F1,2026,0,z_R,0,1.0457794508999956,1.0226335858458764,False
F1,2026,0,z_R,1,0.43330682222557376,0.6582604516645169,False
F1,2026,0,z_R,2,0.4840681954526563,0.695750095546279,False
F1,2026,0,z_R,3,0.48758787252735414,0.6982749261768992,False
F1,2026,0,z_R,4,1.180834706582522,1.0866621860461152,False
F1,2026,0,z_R,5,0.338772723562455,0.5820418572254533,False
F1,2026,0,z_R,6,0.5678090880054993,0.7535310796546479,False
F1,2026,0,z_R,7,0.27813825072178827,0.5273881404826888,False
F1,2026,0,z_R,8,0.7368257607262516,0.8583855548215217,False
F1,2026,0,z_R,9,0.9091724144939625,0.9535053300815693,False
F1,2026,0,z_R,10,0.7394671730957032,0.8599227715880672,False
F1,2026,0,z_R,11,0.9975369857697842,0.998767733644707,False
F1,2026,0,z_R,12,0.9774275778825505,0.9886493705467831,False
F1,2026,0,z_R,13,0.5617216558158296,0.7494809242507974,False
F1,2026,0,z_R,14,0.6789872515946566,0.8240068273956573,False
F1,2026,0,z_R,15,0.7051083200775096,0.8397072823773232,False
F1,2026,0,z_R,16,0.286728914397774,0.5354707409352765,False
F1,2026,0,z_R,17,0.22882569140235084,0.4783572842576465,False
F1,2026,0,z_R,18,0.4307131956368256,0.6562874337032713,False
F1,2026,0,z_R,19,0.34462860259901346,0.5870507666284182,False
F1,2026,0,z_R,20,0.4978577853686735,0.7055903807228905,False
F1,2026,0,z_R,21,0.4253765334053343,0.6522089645238973,False
F1,2026,0,z_R,22,0.6223344189964329,0.7888817522268042,False
F1,2026,0,z_R,23,0.3479162473238419,0.5898442568372112,False
F1,2026,0,z_R,24,0.23329156637615814,0.483002656696791,False
F1,2026,0,z_R,25,0.24604873252015333,0.49603299539461415,False
F1,2026,0,z_R,26,0.30538590031082,0.552617318142329,False
F1,2026,0,z_R,27,0.2967902887531199,0.5447846260249273,False
F1,2026,0,z_R,28,0.2398566991193708,0.48975167086940175,False
F1,2026,0,z_R,29,0.2278386100266651,0.47732442848304457,False
F1,2026,0,z_R,30,0.2063770366855427,0.45428739437226595,False
F1,2026,0,z_R,31,0.26964178723576343,0.5192704374752749,False
F1,2026,0,z_R,32,0.573114522270621,0.7570432763525616,False
F1,2026,0,z_R,33,0.14333889651499732,0.37860123681123564,False
F1,2026,0,z_R,34,0.3773361899938967,0.6142769652151191,False
F1,2026,0,z_R,35,0.3251022768557558,0.570177408229891,False
F1,2026,0,z_R,36,0.25793790275606804,0.5078758733746545,False
F1,2026,0,z_R,37,2.2426725531731986,1.497555525906535,False
F1,2026,0,z_R,38,0.6892180361485974,0.8301915659343917,False
F1,2026,0,z_R,39,0.663504956309201,0.8145581356227443,False
F1,2026,0,z_R,40,0.3053307871067741,0.5525674502780399,False
F1,2026,0,z_R,41,0.6338268184129985,0.7961324126130015,False
F1,2026,0,z_R,42,0.6955273667236693,0.8339828335905178,False
F1,2026,0,z_R,43,0.4910115198990692,0.7007221417217164,False
F1,2026,0,z_R,44,0.1492413229438584,0.3863176451365617,False
F1,2026,0,z_R,45,1.0583035499906086,1.0287388152444763,False
F1,2026,0,z_R,46,0.7334794062288178,0.8564341225271316,False
F1,2026,0,z_R,47,0.8937221096082035,0.9453687691098133,False
F1,2026,0,z_R,48,0.7313594639034489,0.8551955705588336,False
F1,2026,0,z_R,49,0.8396780551287337,0.9163394868326551,False
F1,2026,0,z_R,50,0.8351186373022811,0.9138482572628134,False
F1,2026,0,z_R,51,0.6867448320889216,0.8287006890843772,False
F1,2026,0,z_R,52,0.5246817890745523,0.724349217625416,False
F1,2026,0,z_R,53,0.43201083784297434,0.657275313580979,False
F1,2026,0,z_R,54,1.19731829367337,1.0942204045224937,False
F1,2026,0,z_R,55,0.571977743802613,0.7562921021686085,False
F1,2026,0,z_R,56,0.6990608583925434,0.8360985937032447,False
F1,2026,0,z_R,57,0.6451235028725346,0.8031958060601005,False
F1,2026,0,z_R,58,1.0312443572532997,1.0155020222792763,False
F1,2026,0,z_R,59,1.1273959019607072,1.0617890100960299,False
F1,2026,0,z_R,60,1.6892430087138972,1.2997088168947293,False
F1,2026,0,z_R,61,0.16154455919074429,0.40192606184563884,False
F1,2026,0,z_R,62,0.9321314470612435,0.9654695474541097,False
F1,2026,0,z_R,63,1.9720189282922291,1.404285914011897,False
F1,2026,0,z_R,64,0.7311733164904883,0.8550867303908348,False
F1,2026,0,z_R,65,2.1099484668700264,1.4525661660902152,False
F1,2026,0,z_R,66,0.8401796888841742,0.9166131620722965,False
F1,2026,0,z_R,67,1.8972249326529964,1.3773978846553367,False
F1,2026,0,z_R,68,0.1906507502934086,0.43663571806874507,False
F1,2026,0,z_R,69,0.9087648342306335,0.9532915788102995,False
F1,2026,0,z_R,70,0.09490087711214257,0.30805985962494786,False
F1,2026,0,z_R,71,1.316522416272472,1.1473981071417505,False
F1,2026,0,z_R,72,0.2863902887483876,0.5351544531706596,False
F1,2026,0,z_R,73,0.46732573673447775,0.6836122707606102,False
F1,2026,0,z_R,74,1.3805793994310722,1.1749805953423538,False
F1,2026,0,z_R,75,0.5274720175935371,0.7262726881781644,False
F1,2026,0,z_R,76,0.30452918906830273,0.5518416340475796,False
F1,2026,0,z_R,77,0.17332582713822856,0.41632418514689795,False
F1,2026,0,z_R,78,1.1291166109792974,1.0625989887908314,False
F1,2026,0,z_R,79,0.37184207806873876,0.6097885519331588,False
F1,2026,0,z_R,80,1.8679746758035154,1.3667387006313663,False
F1,2026,0,z_R,81,1.4559640680440162,1.2066333610687283,False
F1,2026,0,z_R,82,0.4093151765725484,0.6397774430007269,False
F1,2026,0,z_R,83,0.7027896604621883,0.8383255098481665,False
F1,2026,0,z_R,84,0.4089260607933392,0.6394732682398375,False
F1,2026,0,z_R,85,0.8155753967393867,0.9030921308146731,False
F1,2026,0,z_R,86,0.10446089271330047,0.3232041038002155,False
F1,2026,0,z_R,87,0.8819852817539462,0.939140714565153,False
F1,2026,0,z_R,88,1.6997563584944724,1.3037470454403617,False
F1,2026,0,z_R,89,0.8393678034168183,0.9161701825626166,False
F1,2026,0,z_R,90,1.218365178447985,1.1037958046885235,False
F1,2026,0,z_R,91,0.9212195925420547,0.9598018506660917,False
F1,2026,0,z_R,92,0.9240223462808479,0.9612608107484919,False
F1,2026,0,z_R,93,0.6523021294210971,0.8076522329697957,False
F1,2026,0,z_R,94,0.5021344837841552,0.7086144817770486,False
F1,2026,0,z_R,95,1.2689224541402144,1.1264645818401102,False
F1,2026,0,z_P,0,0.02425167734598753,0.15572950056423968,False
F1,2026,0,z_P,1,0.015927072829903733,0.12620250722510917,False
F1,2026,0,z_P,2,0.0258373890286221,0.16074012886837594,False
F1,2026,0,z_P,3,0.018056322541815797,0.134373816429451,False
F1,2026,0,z_P,4,0.01781568690438201,0.1334754168541234,False
F1,2026,0,z_P,5,0.008425665079883444,0.09179142160291148,False
F1,2026,0,z_P,6,0.02009817199144924,0.14176802175190722,False
F1,2026,0,z_P,7,0.014900549804682488,0.12206780822429183,False
F1,2026,0,z_P,8,0.012185817259415026,0.1103893892519341,False
F1,2026,0,z_P,9,0.015291071148733697,0.12365707075915108,False
F1,2026,0,z_P,10,0.014372085082373472,0.1198836314196958,False
F1,2026,0,z_P,11,0.026630630118041083,0.16318893993785571,False
F1,2026,0,z_P,12,0.012920805807520358,0.11366972247489812,False
F1,2026,0,z_P,13,0.008059271426487949,0.08977344499621226,False
F1,2026,0,z_P,14,0.011856581180760236,0.10888792945391255,False
F1,2026,0,z_P,15,0.016751461331195608,0.1294274365472623,False
F1,2026,0,z_P,16,0.014972496553721952,0.1223621532734773,False
F1,2026,0,z_P,17,0.012595302361322138,0.1122287947067157,False
F1,2026,0,z_P,18,0.02781279726312653,0.166771692031731,False
F1,2026,0,z_P,19,0.008281585803364787,0.0910032186428853,False
F1,2026,0,z_P,20,0.010283533952169441,0.10140776080837917,False
F1,2026,0,z_P,21,0.01783246144656579,0.13353823964155656,False
F1,2026,0,z_P,22,0.01130035728910013,0.1063031386606253,False
F1,2026,0,z_P,23,0.019383174657145046,0.13922347020939052,False
F1,2026,0,z_P,24,0.017886784200841808,0.13374148272260858,False
F1,2026,0,z_P,25,0.025205167212649,0.15876135301971006,False
F1,2026,0,z_P,26,0.02479102259181556,0.15745165160078683,False
F1,2026,0,z_P,27,0.014966308869990192,0.1223368663567536,False
F1,2026,0,z_P,28,0.014983148887481569,0.12240567342848765,False
F1,2026,0,z_P,29,0.018973440960160896,0.1377441140672112,False
F1,2026,0,z_P,30,0.013635306066973848,0.1167703132948347,False
F1,2026,0,z_P,31,0.01976197067897772,0.14057727653848512,False
F1,2026,0,z_P,32,0.011156837840297808,0.10562593355941433,False
F1,2026,0,z_P,33,0.010862824114233826,0.10422487281946582,False
F1,2026,0,z_P,34,0.013503907698349818,0.11620631522576481,False
F1,2026,0,z_P,35,0.017100178236817202,0.13076764980994804,False
F1,2026,0,z_P,36,0.02130793511560014,0.14597237791993437,False
F1,2026,0,z_P,37,0.014422695009176114,0.12009452530892537,False
F1,2026,0,z_P,38,0.0208976615231453,0.14456023493044448,False
F1,2026,0,z_P,39,0.018101366966335356,0.13454132066519697,False
F1,2026,0,z_P,40,0.017974195674214096,0.1340678771153407,False
F1,2026,0,z_P,41,0.009029282680601923,0.09502253775079848,False
F1,2026,0,z_P,42,0.015359968195367892,0.12393533876731,False
F1,2026,0,z_P,43,0.013179951380503147,0.11480396935865565,False
F1,2026,0,z_P,44,0.01821534012720677,0.1349642179513028,False
F1,2026,0,z_P,45,0.017146459212779006,0.130944489050815,False
F1,2026,0,z_P,46,0.042094165619553946,0.2051686272790115,False
F1,2026,0,z_P,47,0.018872520524194854,0.13737729260760256,False
F1,2026,0,z_P,48,0.02365308683606033,0.1537956008345503,False
F1,2026,0,z_P,49,0.03522188836105313,0.1876749540057307,False
F1,2026,0,z_P,50,0.010289643731535156,0.10143788114671538,False
F1,2026,0,z_P,51,0.018200693281948236,0.13490994508170343,False
F1,2026,0,z_P,52,0.019372857178416563,0.13918641161556167,False
F1,2026,0,z_P,53,0.029644365149505778,0.1721753906616906,False
F1,2026,0,z_P,54,0.006480487300632118,0.08050147390347656,False
F1,2026,0,z_P,55,0.017412784792989314,0.13195751131704975,False
F1,2026,0,z_P,56,0.023892549619721495,0.1545721502073433,False
F1,2026,0,z_P,57,0.019527893132982102,0.13974223818510315,False
F1,2026,0,z_P,58,0.00841624617750039,0.09174010125076378,False
F1,2026,0,z_P,59,0.021198462120285522,0.1455969165892105,False
F1,2026,0,z_P,60,0.015640802328621247,0.12506319334089167,False
F1,2026,0,z_P,61,0.018071733163442665,0.13443114655258528,False
F1,2026,0,z_P,62,0.01136813845913,0.10662147278634825,False
F1,2026,0,z_P,63,0.0062601423180346895,0.07912106115336605,False
F1,2026,0,z_P,64,0.009049357194817555,0.0951281093831763,False
F1,2026,0,z_P,65,0.022184635268994696,0.14894507467182222,False
F1,2026,0,z_P,66,0.024289859468406862,0.15585204351694226,False
F1,2026,0,z_P,67,0.013454968644737744,0.11599555441799372,False
F1,2026,0,z_P,68,0.014276481875554917,0.11948423274873936,False
F1,2026,0,z_P,69,0.014388619286341595,0.11995257098679292,False
F1,2026,0,z_P,70,0.014410350047030018,0.12004311744964814,False
F1,2026,0,z_P,71,0.007641355673674371,0.08741484813047708,False
F1,2026,0,z_P,72,0.011634427291501933,0.10786300242206283,False
F1,2026,0,z_P,73,0.01914183068722962,0.1383540049555112,False
