schema_version,split,group,endpoint,analysis_unit,x,y,n,spearman_rho,ci_low,ci_high,p_raw_two_sided,permutation_method,permutation_replicates,permutation_extreme_count,permutation_identity_included,permutation_status,decision_endpoint,decision_family,decision_family_size,p_holm,holm_rank,status,bootstrap_method,bootstrap_requested,bootstrap_finite,bootstrap_nonfinite,bootstrap_finite_fraction,resampling_bundle_sha256,contains_patient_ids
1,train,encoder_stage_3,negative_fraction,seed_fold_run,base_degradation,negative_fraction,25,-0.18637212714901344,-0.7615540115723961,0.4915766675440937,0.3567361111111111,exact_crossed_seed_order_x_fold_order,14400,5137,True,ok,,,0,,,ok,crossed_seed_fold_cartesian_percentile,20000,19998,2,0.9999,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,train,encoder_stage_3,weighted_gradient_norm_ratio,seed_fold_run,base_degradation,weighted_gradient_norm_ratio,25,-0.08461538461538462,-0.6681250042711387,0.5319515836251882,0.6935416666666666,exact_crossed_seed_order_x_fold_order,14400,9987,True,ok,,,0,,,ok,crossed_seed_fold_cartesian_percentile,20000,20000,0,1.0,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,train,encoder_stage_3,base_descent_margin,seed_fold_run,base_degradation,base_descent_margin,25,0.08615384615384615,-0.5710788348295348,0.6889859278153603,0.6449305555555556,exact_crossed_seed_order_x_fold_order,14400,9287,True,ok,,,0,,,ok,crossed_seed_fold_cartesian_percentile,20000,20000,0,1.0,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,train,encoder_stage_4,gradient_cosine,seed_fold_run,base_degradation,gradient_cosine,25,0.03923076923076923,-0.6673511293634496,0.7414750198255352,0.8461111111111111,exact_crossed_seed_order_x_fold_order,14400,12184,True,ok,,,0,,,ok,crossed_seed_fold_cartesian_percentile,20000,20000,0,1.0,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,train,encoder_stage_4,negative_fraction,seed_fold_run,base_degradation,negative_fraction,25,0.03256547889602266,-0.6138048270879436,0.7002795418939206,0.8636111111111111,exact_crossed_seed_order_x_fold_order,14400,12436,True,ok,,,0,,,ok,crossed_seed_fold_cartesian_percentile,20000,19999,1,0.99995,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,train,encoder_stage_4,weighted_gradient_norm_ratio,seed_fold_run,base_degradation,weighted_gradient_norm_ratio,25,-0.13,-0.6645669291338582,0.5622479350982762,0.5320138888888889,exact_crossed_seed_order_x_fold_order,14400,7661,True,ok,,,0,,,ok,crossed_seed_fold_cartesian_percentile,20000,20000,0,1.0,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,train,encoder_stage_4,base_descent_margin,seed_fold_run,base_degradation,base_descent_margin,25,-0.02923076923076923,-0.7493515111921054,0.7149613574997169,0.8831944444444444,exact_crossed_seed_order_x_fold_order,14400,12718,True,ok,,,0,,,ok,crossed_seed_fold_cartesian_percentile,20000,20000,0,1.0,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,train,response_projection,gradient_cosine,seed_fold_run,base_degradation,gradient_cosine,25,0.2684615384615385,-0.5233941316415543,0.7988023952095809,0.15444444444444444,exact_crossed_seed_order_x_fold_order,14400,2224,True,ok,,,0,,,ok,crossed_seed_fold_cartesian_percentile,20000,20000,0,1.0,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,train,response_projection,negative_fraction,seed_fold_run,base_degradation,negative_fraction,25,-0.13400073350991995,-0.7715834032958409,0.6293193862918393,0.47034722222222225,exact_crossed_seed_order_x_fold_order,14400,6773,True,ok,,,0,,,ok,crossed_seed_fold_cartesian_percentile,20000,19997,3,0.99985,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,train,response_projection,weighted_gradient_norm_ratio,seed_fold_run,base_degradation,weighted_gradient_norm_ratio,25,-0.004615384615384616,-0.6917057902973396,0.7295178361426891,0.9847222222222223,exact_crossed_seed_order_x_fold_order,14400,14180,True,ok,,,0,,,ok,crossed_seed_fold_cartesian_percentile,20000,20000,0,1.0,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
