schema_version,seed_base,fold,effective_seed,base_gate,base_degradation,split,group,parameter_tensors,parameter_count,selected_epoch,last_epoch,selected_checkpoint_sha256,last_checkpoint_sha256,last_minus_selected_gradient_cosine,last_minus_selected_gradient_cosine_mean,last_minus_selected_negative_fraction,last_minus_selected_strong_negative_fraction,last_minus_selected_very_strong_negative_fraction,last_minus_selected_weighted_gradient_norm_ratio,last_minus_selected_weighted_gradient_norm_ratio_mean,last_minus_selected_base_descent_margin,last_minus_selected_base_descent_margin_mean,last_minus_selected_base_descent_failure_fraction,last_minus_selected_ftv_descent_margin,last_minus_selected_ftv_descent_margin_mean,selected_n_batches,last_n_batches,selected_n_undefined,last_n_undefined,source_contract_sha256,public_manifest_sha256,contains_patient_ids
1,3026,1,3027,PASS,0.0185237851018827,train,all_shared,32,917824,2,6,1493b9e72b6d074aadaa8e9906dfe2ce01727db4cf342092dd5d1448e19ac19f,a2daf0d50d8a9a701bc431a71d7250aa4e134aa2b8c3c22ce778443723acea1d,-0.3667725046806377,-0.2793076469028527,0.5,0.25,0.0,-0.5921734943231984,-0.5427987690479428,-0.2689539214839394,-0.2507766340463742,0.0,-0.4968001779564184,-1.1057848534134482,8,8,0,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,3026,1,3027,PASS,0.0185237851018827,train,encoder_overall,28,892672,2,6,1493b9e72b6d074aadaa8e9906dfe2ce01727db4cf342092dd5d1448e19ac19f,a2daf0d50d8a9a701bc431a71d7250aa4e134aa2b8c3c22ce778443723acea1d,-0.3987204227368083,-0.2997891866638236,0.5,0.25,0.0,-0.6120855541916894,-0.5551415745780587,-0.27612425598830526,-0.2704280955339742,0.0,-0.5427430977281873,-1.3080837909737217,8,8,0,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,3026,1,3027,PASS,0.0185237851018827,train,encoder_stage_1,7,10112,2,6,1493b9e72b6d074aadaa8e9906dfe2ce01727db4cf342092dd5d1448e19ac19f,a2daf0d50d8a9a701bc431a71d7250aa4e134aa2b8c3c22ce778443723acea1d,-0.8517510098073915,-0.47784175371224513,0.375,0.5,0.5,-0.563447277081861,-0.3975453252762109,-0.1963159195470341,-0.2001255587817633,0.0,-2.2714745674216075,-6.213441919880082,8,8,0,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,3026,1,3027,PASS,0.0185237851018827,train,encoder_stage_2,7,42112,2,6,1493b9e72b6d074aadaa8e9906dfe2ce01727db4cf342092dd5d1448e19ac19f,a2daf0d50d8a9a701bc431a71d7250aa4e134aa2b8c3c22ce778443723acea1d,-0.3502878348149544,-0.2820467491856741,0.375,0.125,0.25,-0.6249231902266861,-0.5147229703448928,-0.24891976483670875,-0.23595964862856245,0.0,-0.415085410294327,-3.1945484436709406,8,8,0,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,3026,1,3027,PASS,0.0185237851018827,train,encoder_stage_3,7,168192,2,6,1493b9e72b6d074aadaa8e9906dfe2ce01727db4cf342092dd5d1448e19ac19f,a2daf0d50d8a9a701bc431a71d7250aa4e134aa2b8c3c22ce778443723acea1d,-0.30242918204347297,-0.25656027682244514,0.375,0.125,0.0,-0.6483590012134361,-0.5714364579936018,-0.2542887588024778,-0.2644910549180597,0.0,-0.34324389008871115,-0.8330758156959603,8,8,0,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,3026,1,3027,PASS,0.0185237851018827,train,encoder_stage_4,7,672256,2,6,1493b9e72b6d074aadaa8e9906dfe2ce01727db4cf342092dd5d1448e19ac19f,a2daf0d50d8a9a701bc431a71d7250aa4e134aa2b8c3c22ce778443723acea1d,-0.2809429996070322,-0.2891832610777942,0.5,0.125,0.0,-0.4765825682942979,-0.5362168549559017,-0.3692764428787436,-0.3248372687609975,0.0,-0.28411105443055895,-0.30584633710122766,8,8,0,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,3026,1,3027,PASS,0.0185237851018827,train,response_projection,4,25152,2,6,1493b9e72b6d074aadaa8e9906dfe2ce01727db4cf342092dd5d1448e19ac19f,a2daf0d50d8a9a701bc431a71d7250aa4e134aa2b8c3c22ce778443723acea1d,-0.015565626795830595,-0.032647374296063715,0.25,0.0,0.0,-0.21332629434893313,-0.27101755084240176,-0.03873768032915237,-0.0451024103669575,0.0,0.0007898694376020643,-0.0015013021617145128,8,8,0,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,3026,1,3027,PASS,0.0185237851018827,validation,all_shared,32,917824,2,6,1493b9e72b6d074aadaa8e9906dfe2ce01727db4cf342092dd5d1448e19ac19f,a2daf0d50d8a9a701bc431a71d7250aa4e134aa2b8c3c22ce778443723acea1d,-0.3559712593792604,-0.3501258918300876,0.625,0.625,0.25,-0.16674193508396484,-0.2330038483587194,-0.1683165117015304,-0.2221415599634946,0.0,-0.6017385644344027,-0.7466226729302836,8,8,0,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,3026,1,3027,PASS,0.0185237851018827,validation,encoder_overall,28,892672,2,6,1493b9e72b6d074aadaa8e9906dfe2ce01727db4cf342092dd5d1448e19ac19f,a2daf0d50d8a9a701bc431a71d7250aa4e134aa2b8c3c22ce778443723acea1d,-0.38647035466058577,-0.37568458430391416,0.625,0.75,0.375,-0.1779884455099412,-0.24998526945948896,-0.17419814765286668,-0.23617056939572945,0.0,-0.6957026564233297,-0.8266287600171396,8,8,0,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,3026,1,3027,PASS,0.0185237851018827,validation,encoder_stage_1,7,10112,2,6,1493b9e72b6d074aadaa8e9906dfe2ce01727db4cf342092dd5d1448e19ac19f,a2daf0d50d8a9a701bc431a71d7250aa4e134aa2b8c3c22ce778443723acea1d,-0.03654046683841747,-0.20981083572144776,0.375,0.375,-0.125,-0.05538213649909035,-0.1889590949526263,-0.027209132868205588,-0.09164470837927663,0.0,-0.7183313685393852,-1.4187208260517967,8,8,0,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
