schema_version,seed_base,fold,effective_seed,base_gate,base_degradation,checkpoint_kind,checkpoint_epoch,checkpoint_sha256,split,group,parameter_tensors,parameter_count,gradient_cosine,gradient_cosine_mean,negative_fraction,strong_negative_fraction,very_strong_negative_fraction,weighted_gradient_norm_ratio,weighted_gradient_norm_ratio_mean,base_descent_margin,base_descent_margin_mean,base_descent_failure_fraction,ftv_descent_margin,ftv_descent_margin_mean,n_batches,n_undefined,source_contract_sha256,public_manifest_sha256,contains_patient_ids
1,3026,1,3027,PASS,0.0185237851018827,last,6,a2daf0d50d8a9a701bc431a71d7250aa4e134aa2b8c3c22ce778443723acea1d,train,all_shared,32,917824,-0.04251665477363595,-0.001867789265899214,0.625,0.25,0.0,0.2660154364670557,0.3837356463373394,0.9952949750457265,1.0254424161236413,0.0,0.7924766183363614,0.28254548180066197,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,3026,1,3027,PASS,0.0185237851018827,last,6,a2daf0d50d8a9a701bc431a71d7250aa4e134aa2b8c3c22ce778443723acea1d,train,encoder_overall,28,892672,-0.043091628118696795,-0.0021366956503818813,0.625,0.25,0.0,0.25028675317134463,0.37102558026249166,0.9969206088886231,1.0274047256345522,0.0,0.7714678653577314,0.1143532281621405,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,3026,1,3027,PASS,0.0185237851018827,last,6,a2daf0d50d8a9a701bc431a71d7250aa4e134aa2b8c3c22ce778443723acea1d,train,encoder_stage_1,7,10112,-0.2697620862157113,-0.1700203279140534,0.75,0.75,0.625,0.14247529710334356,0.24770773666188095,0.9788702446283872,0.9815830751080502,0.0,-0.6916833657381635,-4.347005867582721,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,3026,1,3027,PASS,0.0185237851018827,last,6,a2daf0d50d8a9a701bc431a71d7250aa4e134aa2b8c3c22ce778443723acea1d,train,encoder_stage_2,7,42112,0.047661866464602,0.04313029984510584,0.5,0.25,0.25,0.1664051491313388,0.3165852811394634,1.0318905413577886,1.0626982483652174,0.0,0.9986845446273008,-1.5872158411789665,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,3026,1,3027,PASS,0.0185237851018827,last,6,a2daf0d50d8a9a701bc431a71d7250aa4e134aa2b8c3c22ce778443723acea1d,train,encoder_stage_3,7,168192,0.034926382410701604,0.053436278429164714,0.5,0.125,0.0,0.2783858597319102,0.37535177892181876,1.0352360107044718,1.054841236230889,0.0,0.9926519861418519,0.6117502407656727,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,3026,1,3027,PASS,0.0185237851018827,last,6,a2daf0d50d8a9a701bc431a71d7250aa4e134aa2b8c3c22ce778443723acea1d,train,encoder_stage_4,7,672256,0.017775858489352498,0.006143979614133575,0.5,0.125,0.0,0.6113185257832034,0.5890591337695148,1.000181701342484,1.012840051517479,0.0,1.008520782898879,1.0013854081091975,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,3026,1,3027,PASS,0.0185237851018827,last,6,a2daf0d50d8a9a701bc431a71d7250aa4e134aa2b8c3c22ce778443723acea1d,train,response_projection,4,25152,0.044955592078545506,0.024104485264611862,0.25,0.0,0.0,0.8335486802137253,0.769546409889313,1.016817140826439,1.015179085920066,0.0,1.0580771792134316,1.0574268741750457,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,3026,1,3027,PASS,0.0185237851018827,last,6,a2daf0d50d8a9a701bc431a71d7250aa4e134aa2b8c3c22ce778443723acea1d,validation,all_shared,32,917824,-0.13848573991800822,-0.1473699442326986,0.875,0.625,0.25,0.44525189298074597,0.4249820898602927,0.9414386722808272,0.936183405518048,0.0,0.6512893181332204,0.5338038013273463,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,3026,1,3027,PASS,0.0185237851018827,last,6,a2daf0d50d8a9a701bc431a71d7250aa4e134aa2b8c3c22ce778443723acea1d,validation,encoder_overall,28,892672,-0.15565008378364895,-0.1585388119701947,0.875,0.75,0.375,0.4194745103659878,0.40235826627401194,0.9395708986267486,0.9347086818710464,0.0,0.5748298983270077,0.4720914608058297,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,3026,1,3027,PASS,0.0185237851018827,last,6,a2daf0d50d8a9a701bc431a71d7250aa4e134aa2b8c3c22ce778443723acea1d,validation,encoder_stage_1,7,10112,-0.24224271510652615,-0.3167343852072764,0.875,0.875,0.375,0.2775800439464637,0.25070755798990807,0.9401728952473569,0.9201602971265777,0.0,-0.5198199427442777,-1.069240506845507,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
