schema_version,group,validation_D_cos,validation_D_mbase,validation_D_ratio,train_D_cos,train_D_mbase,train_D_ratio,train_cosine_direction_replicated,train_mbase_direction_replicated,train_ratio_direction_replicated,cosine_rank,mbase_rank,ratio_rank,localization_score,localization_rank,family_id,validation_cosine_p_raw,validation_cosine_p_holm,validation_cosine_holm_rank,validation_cosine_holm_status,validation_mbase_p_raw,validation_mbase_p_holm,validation_mbase_holm_rank,validation_mbase_holm_status,validation_ratio_p_raw,validation_ratio_p_holm,validation_ratio_holm_rank,validation_ratio_holm_status,holm_family_size,layer_crosses_direction_threshold,widespread_layer_count,widespread_conflict,contains_patient_ids
1,encoder_stage_1,-0.17424973851595732,0.05112057060636843,0.35871888231692295,-0.13203079282630836,-0.008999358003610292,0.34860159405729413,True,True,True,1.0,5.0,1.0,2.3333333333333335,1.5,layer_localization_validation_5x3,0.3861111111111111,1.0,8,ok,0.17722222222222223,1.0,4,ok,0.024444444444444446,0.3666666666666667,1,ok,15,True,1,False,False
1,encoder_stage_2,-0.09949037857291984,0.016095532219833952,0.30868097278813633,-0.0732192619576232,0.012475015780972765,0.2911903863080382,True,False,True,2.0,3.0,2.0,2.3333333333333335,1.5,layer_localization_validation_5x3,0.5722222222222222,1.0,10,ok,0.675,1.0,12,ok,0.03166666666666667,0.44333333333333336,2,ok,15,False,1,False,False
1,encoder_stage_3,-0.013071868010716456,0.017117587801807943,0.21217832699418115,0.029398289264152735,0.024656946597517715,0.027710410389317208,False,False,True,4.0,4.0,3.0,3.6666666666666665,4.0,layer_localization_validation_5x3,0.8238888888888889,1.0,14,ok,0.38055555555555554,1.0,7,ok,0.08388888888888889,1.0,3,ok,15,False,1,False,False
1,encoder_stage_4,-0.06620404057741465,-0.02158450738078277,0.03479822462109711,-0.0573969220859184,-0.01675058548660857,-0.06618663740254033,True,True,False,3.0,1.0,4.0,2.6666666666666665,3.0,layer_localization_validation_5x3,0.32055555555555554,1.0,6,ok,0.2688888888888889,1.0,5,ok,0.7311111111111112,1.0,13,ok,15,False,1,False,False
1,response_projection,0.014811869970341451,0.0025573167448702527,-0.054447176180068946,0.036537126360074806,0.009720444757062907,-0.04102616064907877,False,False,False,5.0,2.0,5.0,4.0,5.0,layer_localization_validation_5x3,0.6038888888888889,1.0,11,ok,0.9038888888888889,1.0,15,ok,0.5644444444444444,1.0,9,ok,15,False,1,False,False
