schema_version,endpoint,family_id,family_size,analysis_unit,x,y,n,spearman_rho,ci_low,ci_high,p_raw_two_sided,permutation_method,permutation_replicates,permutation_extreme_count,permutation_identity_included,permutation_status,p_holm,holm_rank,status,bootstrap_method,bootstrap_requested,bootstrap_finite,bootstrap_nonfinite,bootstrap_finite_fraction,confidence_level,resampling_bundle_sha256,source_existing_metrics_sha256,contains_patient_ids
1,degradation_vs_static_delta_spearman,phase_a_gain_associations,3,seed_fold_run,base_degradation,static_ftv_delta_spearman,25,0.057692307692307696,-0.6625116475019823,0.844766758134065,0.8304166666666667,exact_crossed_seed_order_x_fold_order,14400,11958,True,ok,1.0,3,ok,crossed_seed_fold_cartesian_percentile,20000,20000,0,1.0,0.95,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,ed92780aef48d0e2608493a276481e893dd9983ea4649f6adb96d328a11043e2,False
1,degradation_vs_observed_delta_spearman,phase_a_gain_associations,3,seed_fold_run,base_degradation,delta_ftv_delta_spearman,25,0.19999999999999998,-0.515400410677618,0.8502548020384163,0.32902777777777775,exact_crossed_seed_order_x_fold_order,14400,4738,True,ok,0.9870833333333333,1,ok,crossed_seed_fold_cartesian_percentile,20000,20000,0,1.0,0.95,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,ed92780aef48d0e2608493a276481e893dd9983ea4649f6adb96d328a11043e2,False
1,degradation_vs_observed_delta_r2,phase_a_gain_associations,3,seed_fold_run,base_degradation,delta_ftv_delta_r2,25,0.1446153846153846,-0.5123663580857939,0.6962759950308951,0.5272916666666667,exact_crossed_seed_order_x_fold_order,14400,7593,True,ok,1.0,2,ok,crossed_seed_fold_cartesian_percentile,20000,20000,0,1.0,0.95,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,ed92780aef48d0e2608493a276481e893dd9983ea4649f6adb96d328a11043e2,False
