schema_version,seed_base,fold,effective_seed,base_gate,base_degradation,checkpoint_kind,checkpoint_epoch,checkpoint_sha256,split,group,parameter_tensors,parameter_count,gradient_cosine,gradient_cosine_mean,negative_fraction,strong_negative_fraction,very_strong_negative_fraction,weighted_gradient_norm_ratio,weighted_gradient_norm_ratio_mean,base_descent_margin,base_descent_margin_mean,base_descent_failure_fraction,ftv_descent_margin,ftv_descent_margin_mean,n_batches,n_undefined,source_contract_sha256,public_manifest_sha256,contains_patient_ids
1,2026,0,2026,PASS,-0.0177200475909053,selected,3,a218617238d7b0bdeec85f42dd8d68fdccb0b927535dc809d230508a47642e5c,train,all_shared,32,917824,0.0621888906103247,0.007576850206513497,0.375,0.25,0.25,0.24738739056460876,0.4541289447992807,1.016319496905921,1.019363284508643,0.0,1.0929596380476414,1.7553247197949635,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,2026,0,2026,PASS,-0.0177200475909053,selected,3,a218617238d7b0bdeec85f42dd8d68fdccb0b927535dc809d230508a47642e5c,train,encoder_overall,28,892672,0.06534878968252165,0.008870188837485027,0.375,0.25,0.25,0.2492190945333243,0.4580807464511137,1.0163425463321443,1.0223505706403073,0.0,1.0991267512056644,1.8124171123450112,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,2026,0,2026,PASS,-0.0177200475909053,selected,3,a218617238d7b0bdeec85f42dd8d68fdccb0b927535dc809d230508a47642e5c,train,encoder_stage_1,7,10112,0.115442973465328,-0.03455918566379221,0.375,0.375,0.25,0.29561020702879726,0.43091529728437605,1.0186469104263953,0.9900469612431434,0.0,1.1831589726635725,1.9631021192982647,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,2026,0,2026,PASS,-0.0177200475909053,selected,3,a218617238d7b0bdeec85f42dd8d68fdccb0b927535dc809d230508a47642e5c,train,encoder_stage_2,7,42112,0.0827256903112962,0.004029106610308447,0.375,0.25,0.25,0.32648028581262295,0.47880026067475545,1.0154088696398176,1.039110016833487,0.0,1.1957348944194277,1.9493399370218327,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,2026,0,2026,PASS,-0.0177200475909053,selected,3,a218617238d7b0bdeec85f42dd8d68fdccb0b927535dc809d230508a47642e5c,train,encoder_stage_3,7,168192,0.09826476656149916,0.04261029470013643,0.375,0.25,0.125,0.26561061014612225,0.5094952195500857,1.0185286310782862,1.0445787613973199,0.0,1.1577126890592238,1.858212976153046,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,2026,0,2026,PASS,-0.0177200475909053,selected,3,a218617238d7b0bdeec85f42dd8d68fdccb0b927535dc809d230508a47642e5c,train,encoder_stage_4,7,672256,0.01651996111263755,0.02569999228689472,0.375,0.125,0.0,0.30317518460724324,0.5241633372692932,1.007372159394086,1.009594422847158,0.0,1.0217732214055495,1.201903010152019,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,2026,0,2026,PASS,-0.0177200475909053,selected,3,a218617238d7b0bdeec85f42dd8d68fdccb0b927535dc809d230508a47642e5c,train,response_projection,4,25152,0.01107686189035555,0.008053891757380463,0.375,0.0,0.0,0.4530309773941829,0.5243510680529929,1.0037151909246296,0.9997905170623723,0.0,1.0383881710719438,1.0527473374302905,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,2026,0,2026,PASS,-0.0177200475909053,selected,3,a218617238d7b0bdeec85f42dd8d68fdccb0b927535dc809d230508a47642e5c,validation,all_shared,32,917824,0.1409572137020912,0.10785416789671196,0.125,0.0,0.0,0.07942629311955784,0.18643257410039657,1.0094530567943956,1.0274498771631033,0.0,1.7333276430957425,2.375127241726208,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,2026,0,2026,PASS,-0.0177200475909053,selected,3,a218617238d7b0bdeec85f42dd8d68fdccb0b927535dc809d230508a47642e5c,validation,encoder_overall,28,892672,0.1495292001680818,0.11640584217166164,0.125,0.0,0.0,0.07496801823148874,0.17907718568594802,1.0095369385153412,1.0291385441738017,0.0,1.8486991553826493,2.5391425701932766,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,2026,0,2026,PASS,-0.0177200475909053,selected,3,a218617238d7b0bdeec85f42dd8d68fdccb0b927535dc809d230508a47642e5c,validation,encoder_stage_1,7,10112,0.3862435043257423,0.2572501789893156,0.25,0.125,0.0,0.030673284907122348,0.10086910894790298,1.0099100689491054,1.0388637295548533,0.0,6.5534050408510325,7.375619558358072,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,2026,0,2026,PASS,-0.0177200475909053,selected,3,a218617238d7b0bdeec85f42dd8d68fdccb0b927535dc809d230508a47642e5c,validation,encoder_stage_2,7,42112,0.28632575501460666,0.2716252245904158,0.125,0.0,0.0,0.0419021149158356,0.12103142554155469,1.0093005571441287,1.0581266475585438,0.0,5.310541341083107,6.10947115836348,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,2026,0,2026,PASS,-0.0177200475909053,selected,3,a218617238d7b0bdeec85f42dd8d68fdccb0b927535dc809d230508a47642e5c,validation,encoder_stage_3,7,168192,0.1127236943412948,0.10416331250286813,0.25,0.0,0.0,0.08835807849119551,0.18740917205051558,1.0084277517011886,1.0355170727707796,0.0,1.8256220593816974,2.0485472720817075,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,2026,0,2026,PASS,-0.0177200475909053,selected,3,a218617238d7b0bdeec85f42dd8d68fdccb0b927535dc809d230508a47642e5c,validation,encoder_stage_4,7,672256,0.0127344602490745,-0.0028107507365038482,0.375,0.125,0.0,0.24612021852379415,0.3450174438708832,1.0064387029021584,1.0034155684386499,0.0,1.0190589097852223,0.9329726539202893,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
