schema_version,fold,split,n_runs,pass_n,fail_n,median_gradient_cosine,median_base_descent_margin,median_norm_ratio,cosine_rank_ascending,mbase_rank_ascending,ratio_rank_descending,cosine_minus_other_runs,mbase_minus_other_runs,ratio_minus_other_runs,is_fold3,fold3_strictly_worst_cosine,fold3_strictly_worst_mbase,fold3_crosses_practical_threshold,fold3_special_signature,contains_patient_ids
1,0,train,5,4,1,-0.0858761192075248,0.9745970822362512,0.2473873905646087,1.0,1.0,4.0,-0.20494099231609864,-0.04720683202374654,-0.14403495334108105,False,False,False,False,False,False
1,1,train,5,3,2,0.2217547832490226,1.078266299975417,0.4146455222372385,4.0,5.0,1.0,0.15760606757474294,0.06542402401913128,0.10109244865708567,False,False,False,False,False,False
1,2,train,5,3,2,-0.0045142063912972,0.9949980116882527,0.2853778612725451,2.0,2.0,3.0,-0.0813729434758578,-0.023899501806350476,-0.08663692970269271,False,False,False,False,False,False
1,3,train,5,3,2,0.0385209474818683,1.0070916004516797,0.4111433018092774,3.0,3.0,2.0,-0.11274436896763557,-0.014712313808318056,0.052639615663050754,True,False,False,True,False,False
1,4,train,5,4,1,0.327940072222056,1.0722741763622756,0.2350189671604543,5.0,4.0,5.0,0.28624249423088033,0.05968140433396929,-0.1369958238147835,False,False,False,False,False,False
1,0,validation,5,4,1,0.1327872726635069,1.0133991309015682,0.15651086083713,3.0,3.0,5.0,0.03258316784405291,-0.013931063770393992,-0.10993784456070127,False,False,False,False,False,False
1,1,validation,5,3,2,0.0992789067653747,1.044075469963218,0.321287487621601,2.0,5.0,1.0,-0.02882359888547746,0.029026504306867373,0.13287144532861656,False,False,False,False,False,False
1,2,validation,5,3,2,-0.1249051729611721,0.98308056818969,0.190029412272153,1.0,1.0,4.0,-0.26177741614397115,-0.04172303552591716,-0.04540383958131486,False,False,False,False,False,False
1,3,validation,5,3,2,0.2563583968783605,1.0264118707006755,0.2279441814266479,5.0,4.0,3.0,0.14408487612249513,0.011362905044324911,0.011468314150427511,True,False,False,False,False,False
1,4,validation,5,4,1,0.1912246670052222,1.0111630889428032,0.2429223222802878,4.0,2.0,2.0,0.07895114624935684,-0.013640514772804035,0.03393552543088732,False,False,False,False,False,False
