seed_base,fold,effective_seed,selected_epoch,last_epoch,last_minus_selected_epoch,selection_mode,base_degradation,base_gate_pass,base_gate,static_ftv_delta_spearman,delta_ftv_delta_spearman,delta_ftv_delta_r2,representation_std,g1_val_state_loss,g3_val_state_loss,available_train_loss,available_train_base_loss,available_train_state_loss,available_train_sigreg_loss,available_val_loss,available_val_state_loss,available_val_base_objective,available_ftv_loss,available_val_ftv_loss,selected_epoch_grounded_exposure,cumulative_grounded_exposure_to_selected,history_grounded_exposure_mean,history_grounded_exposure_sd,history_train_total_slope,history_train_base_slope,history_train_ftv_slope,post_selected_val_state_slope,post_selected_val_ftv_slope,selected_to_last_val_state_change,selected_to_last_val_ftv_change,history_rows
2026,0,2026,3,7,4,primary,-0.01772004759090534,True,PASS,0.0515436609426379,0.0473267567896723,0.018897830719729024,0.6447945237159729,0.1015323326607381,0.0997331748939742,1.0202563206354778,0.9819883477120172,0.1591002834694726,9.143200511024112,0.8796792488452817,0.0997331748939742,0.8422460501844232,0.1522551068089536,0.1548238096095748,244.0,730.0,244.28571428571428,1.2535663410560176,-0.18483055965835515,-0.1820148503293794,-0.012023105912102424,0.05886664510019557,-0.005044322435633628,0.2284422092570747,-0.021507872742111495,7
2026,1,2027,2,6,4,primary,-0.029493934017496413,True,PASS,0.0159230585042702,0.0558038683587411,0.07388843852033565,0.2226199358701706,0.0926399040074387,0.0899075887912561,1.4460989350364322,1.410946318081447,0.220509315530459,13.227077438717796,1.2169076214151937,0.0899075887912561,1.190317498750923,0.1376910633898737,0.1060285528284915,237.0,471.0,235.66666666666666,1.0327955589886446,-0.2544076471912618,-0.2507473909125037,-0.014718477520801597,0.039827416923420476,0.00715135395310928,0.1599604684459276,0.024098648649195004,6
2026,2,2028,2,6,4,primary,0.011640441859720985,True,PASS,0.0671046555560219,0.087898632858962,0.09335706881690856,0.2385825663805008,0.0788244033647962,0.0797419542492913,1.4359925531205675,1.4015965064366658,0.2096906123416764,13.243398348490397,1.2120776605014958,0.0797419542492913,1.1764987460837877,0.1388914105105907,0.1444131078628393,235.0,472.0,237.0,1.4142135623730951,-0.2454171538352969,-0.24230971895918557,-0.012496409675700846,0.04831181992430332,0.001050848915026728,0.19884393709011317,0.0179183557629585,6
2026,3,2029,3,7,4,fallback_base_gate_failed,0.09591459634646068,False,FAIL,0.0811547366390121,0.0920852359208523,0.056105074245816934,0.6809554100036621,0.1023272176173107,0.1121418913903315,0.998357784180414,0.9661493982587542,0.1625936591909045,8.92839679263887,0.8491599254371706,0.1121418913903315,0.8182978107909525,0.1295902185802218,0.1231862409193007,237.0,714.0,238.42857142857142,1.2724180205607036,-0.16816764431340334,-0.16598077148807266,-0.00924079805533818,0.07124805655484359,0.016791180057115253,0.2841957187480178,0.0637406171833883,7
2026,4,2030,2,6,4,primary,0.02641069113885147,True,PASS,0.063258074314063,0.0834666396679154,0.017130539667199587,0.4914873838424682,0.1147982580972112,0.1178301594350948,1.372291826066517,1.33527326016199,0.2607063324678512,11.939631870814733,1.0783608821797963,0.1178301594350948,1.0418647640992786,0.1473023868524111,0.1503487317399545,221.0,443.0,222.5,1.224744871391589,-0.24053620764998357,-0.2366143370972199,-0.016657807052244854,0.050313302326547224,0.0036460814150897,0.1930069539788341,0.0038301536079609066,6
3026,0,3026,3,7,4,primary,0.033594748540793355,True,PASS,0.014760686883449,0.0126050420168067,0.020427682086222324,0.6600756645202637,0.0823835141895231,0.085151167632627,1.0654941712106978,1.0262640714645386,0.1454231086231413,9.787121409461612,0.9210565287219592,0.085151167632627,0.8892456514776246,0.1553272091244396,0.1321289757171929,247.0,733.0,244.0,1.632993161855452,-0.19913641672556068,-0.19780608352755172,-0.005041714773095033,0.060613156855106355,0.01571333695645051,0.2406896895244102,0.0693425743887991,7
3026,1,3027,2,6,4,primary,0.01852378510188273,True,PASS,0.0843343443211748,0.0799345518397318,0.06659213162764935,0.5468807816505432,0.1120681402481292,0.1141440663948532,1.350694219271342,1.3069632677804857,0.2430491050084432,11.821268036251976,1.0158463573652852,0.1141440663948532,0.9779866687522448,0.1746740495249376,0.1499240968538367,236.0,472.0,235.66666666666666,1.505545305418162,-0.21211200587603518,-0.20877608928550664,-0.013691529363293382,0.05201877033538068,-0.0027695184384567335,0.1967205705721516,-0.007553519762080713,6
3026,2,3028,3,7,4,primary,0.0141430331895514,True,PASS,0.0851087275933,0.0825741992359683,0.04568920501260426,0.6367073059082031,0.1197580813376371,0.1214518238567123,1.0696879909152075,1.0322693785031636,0.1555035277491524,9.741842360723586,0.9708725130262452,0.1214518238567123,0.933152365290429,0.1488168328186544,0.150267363167726,238.0,708.0,236.28571428571428,1.3801311186847085,-0.19083414546080968,-0.18787306557301728,-0.011364618630228165,0.07744233268351594,0.0016839921474456926,0.31133281624267906,0.0024203377274367166,7
3026,3,3029,2,6,4,fallback_base_gate_failed,0.18062120226823075,False,FAIL,0.0414817673162261,0.1118614273157973,0.06193176020283121,0.1794731765985489,0.0478395028424657,0.0564803313617863,1.418870732897804,1.384441580091204,0.182045219199998,13.359959057399204,1.2051421310290815,0.0564803313617863,1.1768057666534235,0.1400252912503977,0.113500995103453,240.0,479.0,239.0,0.8944271909999159,-0.24791503025560974,-0.24665719570756778,-0.0053633017916070854,0.030897622795636997,0.014085360030170347,0.1257826820139058,0.03073161254163649,6
3026,4,3030,3,7,4,primary,-0.00813060668186494,True,PASS,0.1241824440619621,0.0666396679153589,0.05712943154166006,0.5603751540184021,0.0982466141793353,0.0974478096016182,1.1111480593681335,1.0783277608099435,0.1575626475470406,10.230723108564105,1.0060948158098646,0.0974478096016182,0.9637094829693312,0.133063160217129,0.1714477995128342,223.0,666.0,221.42857142857142,0.9759000729485331,-0.18944889844274812,-0.18754696045197575,-0.007715649578451523,0.07275803916094717,-0.007364088816173139,0.2856836412563797,-0.025025655600157598,7
