schema_version,endpoint,split,coverage_variable,analysis_unit,n,spearman_rho,ci_low,ci_high,p_raw_two_sided,permutation_method,permutation_replicates,permutation_extreme_count,permutation_identity_included,permutation_status,status,bootstrap_method,bootstrap_requested,bootstrap_finite,bootstrap_nonfinite,bootstrap_finite_fraction,resampling_bundle_sha256,contains_patient_ids
1,train_pool_ftv_proportion,train,pool_ftv_proportion,fold,5,0.3,-1.0,1.0,0.6833333333333333,exact_fold_label_orders,120,82,True,ok,ok,fold_level_percentile_synchronized_fold_draws,20000,19970,30,0.9985,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,validation_pool_ftv_proportion,validation,pool_ftv_proportion,fold,5,-0.6,-1.0,1.0,0.35,exact_fold_label_orders,120,42,True,ok,ok,fold_level_percentile_synchronized_fold_draws,20000,19970,30,0.9985,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,train_batch_ftv_count_sd,train,batch_ftv_sd,fold,5,,,,,exact_fold_label_orders,120,0,True,constant_input,constant_input,fold_level_percentile_synchronized_fold_draws,20000,0,20000,0.0,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,validation_batch_ftv_count_sd,validation,batch_ftv_sd,fold,5,,,,,exact_fold_label_orders,120,0,True,constant_input,constant_input,fold_level_percentile_synchronized_fold_draws,20000,0,20000,0.0,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
