scope,selection_scope,fold,feature,transition,n,median_delta,iqr_delta,median_abs_delta,robust_scale_start_visit_iqr,median_standardized_abs_change,proportion_delta_positive,proportion_delta_negative,proportion_near_zero,near_zero_definition,mean_within_patient_variance,pooled_total_variance,within_to_total_variance_ratio,between_patient_variance_fraction
fold_train,True,2,SPH,T2→T3,240,0.02481569,0.09532739274999999,0.052846180000000006,0.15101298500000004,0.34994460906788905,0.6166666666666667,0.35833333333333334,0.025,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",0.005310714189630106,0.014296160342033876,0.37147835940363866,0.6285216405963614
fold_train,True,2,BPE,T0→T1,240,-4.337199999999999,10.779035,6.238150000000001,19.165025,0.3254965751414361,0.2708333333333333,0.7125,0.016666666666666666,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",76.08354227534397,208.80969105177664,0.3643678695759299,0.6356321304240701
fold_train,True,2,BPE,T1→T2,240,-1.7511999999999999,9.0579475,4.59995,16.663775,0.2760448937890724,0.3375,0.6458333333333334,0.016666666666666666,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",76.08354227534397,208.80969105177664,0.3643678695759299,0.6356321304240701
fold_train,True,2,BPE,T2→T3,240,-1.3564999999999996,7.6701675,4.417,12.136424999999997,0.36394572536805536,0.3958333333333333,0.5958333333333333,0.008333333333333333,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",76.08354227534397,208.80969105177664,0.3643678695759299,0.6356321304240701
fold_train,True,3,FTV,T0→T1,242,-5.22802725,11.065972599999998,6.728778000000001,24.14716185,0.2786570960926409,0.1322314049586777,0.8512396694214877,0.01652892561983471,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",469.9391680037793,1460.0029609572982,0.3218754896878075,0.6781245103121925
fold_train,True,3,FTV,T1→T2,242,-4.749977080000001,10.712925299999998,5.45743405,16.274413425,0.33533829499602996,0.08677685950413223,0.8925619834710744,0.02066115702479339,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",469.9391680037793,1460.0029609572982,0.3218754896878075,0.6781245103121925
fold_train,True,3,FTV,T2→T3,242,-0.9000509000000001,3.1209296824999995,1.0878548545,5.312261615,0.20478186756244687,0.1652892561983471,0.78099173553719,0.05371900826446281,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",469.9391680037793,1460.0029609572982,0.3218754896878075,0.6781245103121925
fold_train,True,3,LD,T0→T1,242,-0.3999999999999999,1.0000000000000007,0.5999999999999996,2.475,0.24242424242424226,0.1446280991735537,0.7272727272727273,0.128099173553719,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",2.348188739669421,4.9555405125162215,0.47385118409154253,0.5261488159084575
fold_train,True,3,LD,T1→T2,242,-0.8999999999999997,1.5,1.0,2.374999999999999,0.4210526315789475,0.13636363636363635,0.8057851239669421,0.05785123966942149,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",2.348188739669421,4.9555405125162215,0.47385118409154253,0.5261488159084575
fold_train,True,3,LD,T2→T3,242,-0.4,1.4749999999999996,0.6,2.375,0.25263157894736843,0.10330578512396695,0.6611570247933884,0.23553719008264462,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",2.348188739669421,4.9555405125162215,0.47385118409154253,0.5261488159084575
