file,file_sha256,sheet,sheet_dimension,column,dtype,role,feature,visit_or_interval,unit,definition,n_rows,n_nonmissing,n_missing,missing_pct,n_infinite,n_unique,n_zero,min,median,max
/data/data/Breast_Cancer/I-SPY2/Multi-feature-MRI-NACT-Data.xlsx,f714c7784b1e57daa74d7cfb20db71cd432b4e4596b9b4eacdd5a76b7f8a58dc,datawith4visits,A1:AC385,BPE_5slice_mean_T2,float64,formal_candidate,BPE,T2,percent enhancement；工作簿未单列单位,对侧乳腺中央连续 5 层纤维腺体组织的平均早期 PE,384,384,0,0.0,0,384,1,0.0,18.09035,82.4273
/data/data/Breast_Cancer/I-SPY2/Multi-feature-MRI-NACT-Data.xlsx,f714c7784b1e57daa74d7cfb20db71cd432b4e4596b9b4eacdd5a76b7f8a58dc,datawith4visits,A1:AC385,BPE_5slice_mean_T3,float64,formal_candidate,BPE,T3,percent enhancement；工作簿未单列单位,对侧乳腺中央连续 5 层纤维腺体组织的平均早期 PE,384,384,0,0.0,0,381,4,0.0,17.0219,81.1376
/data/data/Breast_Cancer/I-SPY2/Multi-feature-MRI-NACT-Data.xlsx,f714c7784b1e57daa74d7cfb20db71cd432b4e4596b9b4eacdd5a76b7f8a58dc,datawith4visits,A1:AC385,FTV_pch_T0_T1,float64,derived_baseline_percent_change_non_candidate,FTV,T0→T1,%（由 raw measurement 相对 T0 派生）,100 × (X_Tk − X_T0) / X_T0；非独立 measurement,384,384,0,0.0,0,384,0,-98.661328652025,-46.45426028045425,1485.88555437614
/data/data/Breast_Cancer/I-SPY2/Multi-feature-MRI-NACT-Data.xlsx,f714c7784b1e57daa74d7cfb20db71cd432b4e4596b9b4eacdd5a76b7f8a58dc,datawith4visits,A1:AC385,FTV_pch_T0_T2,float64,derived_baseline_percent_change_non_candidate,FTV,T0→T2,%（由 raw measurement 相对 T0 派生）,100 × (X_Tk − X_T0) / X_T0；非独立 measurement,384,384,0,0.0,0,384,0,-99.6949087855684,-88.13182280033035,1991.07774510284
/data/data/Breast_Cancer/I-SPY2/Multi-feature-MRI-NACT-Data.xlsx,f714c7784b1e57daa74d7cfb20db71cd432b4e4596b9b4eacdd5a76b7f8a58dc,datawith4visits,A1:AC385,FTV_pch_T0_T3,float64,derived_baseline_percent_change_non_candidate,FTV,T0→T3,%（由 raw measurement 相对 T0 派生）,100 × (X_Tk − X_T0) / X_T0；非独立 measurement,384,384,0,0.0,0,384,0,-99.9020568014516,-94.5771321490008,321.144893804913
/data/data/Breast_Cancer/I-SPY2/Multi-feature-MRI-NACT-Data.xlsx,f714c7784b1e57daa74d7cfb20db71cd432b4e4596b9b4eacdd5a76b7f8a58dc,datawith4visits,A1:AC385,Sphericity_pch_T0_T1,float64,derived_baseline_percent_change_non_candidate,SPH,T0→T1,%（由 raw measurement 相对 T0 派生）,100 × (X_Tk − X_T0) / X_T0；非独立 measurement,384,384,0,0.0,0,384,0,-92.5189924125286,-1.76677826729284,207.272488144065
/data/data/Breast_Cancer/I-SPY2/Multi-feature-MRI-NACT-Data.xlsx,f714c7784b1e57daa74d7cfb20db71cd432b4e4596b9b4eacdd5a76b7f8a58dc,datawith4visits,A1:AC385,Sphericity_pch_T0_T2,float64,derived_baseline_percent_change_non_candidate,SPH,T0→T2,%（由 raw measurement 相对 T0 派生）,100 × (X_Tk − X_T0) / X_T0；非独立 measurement,384,384,0,0.0,0,384,0,-92.1858118309253,9.476352112437855,431.611148235871
/data/data/Breast_Cancer/I-SPY2/Multi-feature-MRI-NACT-Data.xlsx,f714c7784b1e57daa74d7cfb20db71cd432b4e4596b9b4eacdd5a76b7f8a58dc,datawith4visits,A1:AC385,Sphericity_pch_T0_T3,float64,derived_baseline_percent_change_non_candidate,SPH,T0→T3,%（由 raw measurement 相对 T0 派生）,100 × (X_Tk − X_T0) / X_T0；非独立 measurement,384,384,0,0.0,0,384,0,-73.6691448013286,25.552609788653648,524.10189073345
/data/data/Breast_Cancer/I-SPY2/Multi-feature-MRI-NACT-Data.xlsx,f714c7784b1e57daa74d7cfb20db71cd432b4e4596b9b4eacdd5a76b7f8a58dc,datawith4visits,A1:AC385,LD_pch_T0_T1,float64,derived_baseline_percent_change_non_candidate,LD,T0→T1,%（由 raw measurement 相对 T0 派生）,100 × (X_Tk − X_T0) / X_T0；非独立 measurement,384,384,0,0.0,0,245,47,-100.0,-14.2857142857143,482.352941176471
/data/data/Breast_Cancer/I-SPY2/Multi-feature-MRI-NACT-Data.xlsx,f714c7784b1e57daa74d7cfb20db71cd432b4e4596b9b4eacdd5a76b7f8a58dc,datawith4visits,A1:AC385,LD_pch_T0_T2,float64,derived_baseline_percent_change_non_candidate,LD,T0→T2,%（由 raw measurement 相对 T0 派生）,100 × (X_Tk − X_T0) / X_T0；非独立 measurement,384,384,0,0.0,0,245,8,-100.0,-41.8648310387985,316.666666666667
/data/data/Breast_Cancer/I-SPY2/Multi-feature-MRI-NACT-Data.xlsx,f714c7784b1e57daa74d7cfb20db71cd432b4e4596b9b4eacdd5a76b7f8a58dc,datawith4visits,A1:AC385,LD_pch_T0_T3,float64,derived_baseline_percent_change_non_candidate,LD,T0→T3,%（由 raw measurement 相对 T0 派生）,100 × (X_Tk − X_T0) / X_T0；非独立 measurement,384,384,0,0.0,0,208,4,-100.0,-67.0542635658915,261.538461538462
/data/data/Breast_Cancer/I-SPY2/Multi-feature-MRI-NACT-Data.xlsx,f714c7784b1e57daa74d7cfb20db71cd432b4e4596b9b4eacdd5a76b7f8a58dc,datawith4visits,A1:AC385,BPE_pch_T0_T1,float64,derived_baseline_percent_change_non_candidate,BPE,T0→T1,%（由 raw measurement 相对 T0 派生）,100 × (X_Tk − X_T0) / X_T0；非独立 measurement,384,384,0,0.0,0,384,0,-75.7501089312602,-15.8761633337004,338.540168923864
/data/data/Breast_Cancer/I-SPY2/Multi-feature-MRI-NACT-Data.xlsx,f714c7784b1e57daa74d7cfb20db71cd432b4e4596b9b4eacdd5a76b7f8a58dc,datawith4visits,A1:AC385,BPE_pch_T0_T2,float64,derived_baseline_percent_change_non_candidate,BPE,T0→T2,%（由 raw measurement 相对 T0 派生）,100 × (X_Tk − X_T0) / X_T0；非独立 measurement,384,384,0,0.0,0,384,0,-100.0,-23.81782675324445,147.838772720183
/data/data/Breast_Cancer/I-SPY2/Multi-feature-MRI-NACT-Data.xlsx,f714c7784b1e57daa74d7cfb20db71cd432b4e4596b9b4eacdd5a76b7f8a58dc,datawith4visits,A1:AC385,BPE_pch_T0_T3,float64,derived_baseline_percent_change_non_candidate,BPE,T0→T3,%（由 raw measurement 相对 T0 派生）,100 × (X_Tk − X_T0) / X_T0；非独立 measurement,384,384,0,0.0,0,381,0,-100.0,-28.94880492828115,407.272835218334
