scope,selection_scope,fold,candidate,visit,n,spearman,abs_spearman,pearson,abs_pearson,fold_median_abs_spearman
all_workbook_descriptive,False,-1,LD,T0,384,0.6184416635367852,0.6184416635367852,0.4874966203194513,0.4874966203194513,0.5686567787771559
all_workbook_descriptive,False,-1,LD,T1,384,0.5880427628079112,0.5880427628079112,0.3782254088824788,0.3782254088824788,0.5686567787771559
all_workbook_descriptive,False,-1,LD,T2,384,0.5492707947464005,0.5492707947464005,0.44965479967466965,0.44965479967466965,0.5686567787771559
all_workbook_descriptive,False,-1,LD,T3,384,0.3912963872207764,0.3912963872207764,0.4519668994645938,0.4519668994645938,0.5686567787771559
all_workbook_descriptive,False,-1,SPH,T0,384,-0.5871566749177715,0.5871566749177715,-0.42160207015840184,0.42160207015840184,0.6413788316774609
all_workbook_descriptive,False,-1,SPH,T1,384,-0.5385123851344478,0.5385123851344478,-0.3524488448123908,0.3524488448123908,0.6413788316774609
all_workbook_descriptive,False,-1,SPH,T2,384,-0.6956009884371503,0.6956009884371503,-0.28581425088688184,0.28581425088688184,0.6413788316774609
all_workbook_descriptive,False,-1,SPH,T3,384,-0.7702962752564498,0.7702962752564498,-0.3000657480930383,0.3000657480930383,0.6413788316774609
all_workbook_descriptive,False,-1,BPE,T0,384,0.18266950086467057,0.18266950086467057,0.0734543234061163,0.0734543234061163,0.1898731816486386
all_workbook_descriptive,False,-1,BPE,T1,384,0.189285078498525,0.189285078498525,0.05842715275810475,0.05842715275810475,0.1898731816486386
all_workbook_descriptive,False,-1,BPE,T2,384,0.19046128479875218,0.19046128479875218,0.005635457454637749,0.005635457454637749,0.1898731816486386
all_workbook_descriptive,False,-1,BPE,T3,384,0.27758908721519676,0.27758908721519676,0.16343286496877585,0.16343286496877585,0.1898731816486386
fold_train,True,0,LD,T0,247,0.6711616348316274,0.6711616348316274,0.6180113151704808,0.6180113151704808,0.6130451968827453
fold_train,True,0,LD,T1,247,0.613736818554152,0.613736818554152,0.5171842107988532,0.5171842107988532,0.6130451968827453
fold_train,True,0,LD,T2,247,0.6123535752113386,0.6123535752113386,0.5680799161238614,0.5680799161238614,0.6130451968827453
fold_train,True,0,LD,T3,247,0.44639206389143915,0.44639206389143915,0.4454326891611867,0.4454326891611867,0.6130451968827453
fold_train,True,0,SPH,T0,247,-0.5753574761815268,0.5753574761815268,-0.42453864439486044,0.42453864439486044,0.6362363308561908
fold_train,True,0,SPH,T1,247,-0.5421501766277947,0.5421501766277947,-0.3964711781106677,0.3964711781106677,0.6362363308561908
fold_train,True,0,SPH,T2,247,-0.6971151855308548,0.6971151855308548,-0.3045340152148927,0.3045340152148927,0.6362363308561908
fold_train,True,0,SPH,T3,247,-0.7375537802078629,0.7375537802078629,-0.27680549136174637,0.27680549136174637,0.6362363308561908
fold_train,True,0,BPE,T0,247,0.0741852664706613,0.0741852664706613,0.058344355969059646,0.058344355969059646,0.1301992915776095
fold_train,True,0,BPE,T1,247,0.12623551859130971,0.12623551859130971,0.060643046191367816,0.060643046191367816,0.1301992915776095
fold_train,True,0,BPE,T2,247,0.1341630645639093,0.1341630645639093,0.005464519121098352,0.005464519121098352,0.1301992915776095
fold_train,True,0,BPE,T3,247,0.24056309090800504,0.24056309090800504,0.09224650161741925,0.09224650161741925,0.1301992915776095
fold_train,True,1,LD,T0,239,0.648978380121634,0.648978380121634,0.4836957576108262,0.4836957576108262,0.6015255698269437
fold_train,True,1,LD,T1,239,0.6195804579458839,0.6195804579458839,0.4100284095844943,0.4100284095844943,0.6015255698269437
fold_train,True,1,LD,T2,239,0.5834706817080035,0.5834706817080035,0.47016304507969015,0.47016304507969015,0.6015255698269437
fold_train,True,1,LD,T3,239,0.42186136286020826,0.42186136286020826,0.4954360864669352,0.4954360864669352,0.6015255698269437
fold_train,True,1,SPH,T0,239,-0.569560669456067,0.569560669456067,-0.41186357977409854,0.41186357977409854,0.6280853345522309
fold_train,True,1,SPH,T1,239,-0.5416309201504869,0.5416309201504869,-0.3649756445570183,0.3649756445570183,0.6280853345522309
fold_train,True,1,SPH,T2,239,-0.6866099996483949,0.6866099996483949,-0.3055826125974695,0.3055826125974695,0.6280853345522309
fold_train,True,1,SPH,T3,239,-0.7751364173061124,0.7751364173061124,-0.29462695711402326,0.29462695711402326,0.6280853345522309
fold_train,True,1,BPE,T0,239,0.16817270841390947,0.16817270841390947,0.025323964817035763,0.025323964817035763,0.22803039625892196
fold_train,True,1,BPE,T1,239,0.2307109454660525,0.2307109454660525,0.025787271927101642,0.025787271927101642,0.22803039625892196
fold_train,True,1,BPE,T2,239,0.2253498470517914,0.2253498470517914,-0.016670719867198813,0.016670719867198813,0.22803039625892196
fold_train,True,1,BPE,T3,239,0.27818698278321036,0.27818698278321036,0.1784889222337684,0.1784889222337684,0.22803039625892196
fold_train,True,2,LD,T0,240,0.5964061149507441,0.5964061149507441,0.43191156590117225,0.43191156590117225,0.5528024479683624
fold_train,True,2,LD,T1,240,0.5808598231726853,0.5808598231726853,0.23516431394532641,0.23516431394532641,0.5528024479683624
fold_train,True,2,LD,T2,240,0.5247450727640396,0.5247450727640396,0.2318815402676398,0.2318815402676398,0.5528024479683624
fold_train,True,2,LD,T3,240,0.37652674996280344,0.37652674996280344,0.4066520832817314,0.4066520832817314,0.5528024479683624
fold_train,True,2,SPH,T0,240,-0.6279301723988263,0.6279301723988263,-0.3954838413111901,0.3954838413111901,0.6794011180749665
fold_train,True,2,SPH,T1,240,-0.5680636816611399,0.5680636816611399,-0.30018797387727864,0.30018797387727864,0.6794011180749665
fold_train,True,2,SPH,T2,240,-0.7308720637511067,0.7308720637511067,-0.26593432868772293,0.26593432868772293,0.6794011180749665
fold_train,True,2,SPH,T3,240,-0.7800118057605165,0.7800118057605165,-0.29111835663402486,0.29111835663402486,0.6794011180749665
fold_train,True,2,BPE,T0,240,0.22931908540078816,0.22931908540078816,0.0802998783513237,0.0802998783513237,0.23337171372831955
fold_train,True,2,BPE,T1,240,0.22599611104359446,0.22599611104359446,0.023125882182316468,0.023125882182316468,0.23337171372831955
fold_train,True,2,BPE,T2,240,0.2672676608968905,0.2672676608968905,0.04224666391644877,0.04224666391644877,0.23337171372831955
fold_train,True,2,BPE,T3,240,0.23742434205585095,0.23742434205585095,0.13224018870540194,0.13224018870540194,0.23337171372831955
fold_train,True,3,LD,T0,242,0.6161113562829221,0.6161113562829221,0.4094766114198058,0.4094766114198058,0.578858375566432
fold_train,True,3,LD,T1,242,0.6062963996798652,0.6062963996798652,0.43510281071021356,0.43510281071021356,0.578858375566432
